7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1726226940, +3.51, +29.763,  +104.2, +1145.0,   -29.0,  +336.0
1726227540, +3.51, +29.771,  +101.6, +1136.0,    +0.0,  +448.0
1726228140, +3.51, +29.779,   +93.1, +1129.0,   +32.0,  +408.0
1726228740, +3.51, +29.795,   +89.1, +1127.0,   +19.0,  +504.0
1726229340, +3.51, +29.803,   +89.3, +1128.0,   -48.0,  +243.0
1726229940, +3.51, +29.836,   +81.9, +1132.0,    +0.0,  +528.0
1726230540, +3.51, +29.868,   +40.1, +1134.0,   -32.0,  +348.0
1726231140, +3.51, +29.884,   +65.3, +1127.0,    +0.0,  +432.0
1726231740, +3.51, +29.916,   +71.6, +1120.0,   -20.0,  +543.0
1726232340, +3.51, +29.941,   +66.1, +1136.0,    -8.0,  +534.0
1726232940, +3.51, +29.949,   +55.3, +1137.0,   -40.0,  +384.0
1726233540, +3.51, +29.981,   +51.5, +1121.0,   -32.0,  +476.0
1726234140, +3.51, +30.005,   +50.8, +1129.0,   +19.0,  +408.0
1726234740, +3.51, +30.021,   +39.8, +1126.0,   -50.0,  +399.0
1726235340, +3.51, +30.030,   +36.4, +1129.0,   -40.0,  +521.0
1726235940, +3.51, +30.030,   +30.4, +1124.0,   -13.0,  +423.0
1726236540, +3.51, +30.038,   +25.9, +1128.0,   -74.0,  +409.0
1726237140, +3.51, +30.030,   +24.9, +1137.0,   -56.0,  +505.0
1726237740, +3.51, +29.989,   +20.5, +1132.0,    +6.0,  +387.0
1726238340, +3.51, +29.933,   +16.8, +1132.0,   -29.0,  +438.0
1726238940, +3.51, +29.892,   +14.6, +1120.0,   -13.0,  +520.0
1726239540, +3.52, +29.852,   +11.2, +1136.0,    +4.0,  +384.0
1726240140, +3.52, +29.852,    +8.6, +1159.0,    +3.0,  +204.0
1726240740, +3.51, +29.844,    +6.8, +1136.0,   +32.0,  +448.0
1726241340, +3.51, +29.852,    +5.0, +1128.0,   -50.0,  +214.0
1726241940, +3.51, +29.844,    +3.1, +1143.0,    -8.0,  +463.0
1726242540, +3.51, +29.860,    +1.7, +1135.0,   +36.0,  +358.0
1726243140, +3.51, +29.876,    +0.6, +1123.0,   +40.0,  +551.0
1726243740, +3.51, +29.892,    +0.2, +1116.0,   -40.0,  +398.0
1726244340, +3.51, +29.852,    +0.1, +1120.0,    +6.0,  +326.0
1726244940, +3.51, +29.811,    +0.0, +1166.0,   +24.0,  +335.0
1726245540, +3.52, +29.787,    -0.1, +1126.0,   +32.0,  +470.0
1726246140, +3.51, +29.771,    +0.0, +1128.0,    +0.0,  +372.0
1726246740, +3.51, +29.755,    -0.1, +1126.0,   -80.0,  +391.0
1726247340, +3.51, +29.755,    +0.0, +1132.0,   -25.0,  +416.0
1726247940, +3.51, +29.747,    -0.0, +1128.0,    -4.0,  +496.0
1726248540, +3.51, +29.738,    -0.0, +1126.0,   -52.0,  +524.0
1726249140, +3.51, +29.738,    +0.0, +1132.0,   -88.0,  +462.0
1726249740, +3.51, +29.730,    -0.1, +1124.0,   +16.0,  +377.0
1726250340, +3.51, +29.730,    -0.1, +1128.0,   +31.0,  +508.0
1726250940, +3.51, +29.714,    +0.1, +1124.0,   -24.0,  +294.0
1726251540, +3.51, +29.706,    +0.1, +1134.0,    +1.0,  +448.0
1726252140, +3.51, +29.706,    -0.1, +1137.0,   -52.0,  +516.0
1726252740, +3.52, +29.698,    -0.0, +1134.0,   -80.0,  +376.0
1726253340, +3.51, +29.682,    -0.0, +1139.0,   -93.0,  +430.0
1726253940, +3.51, +29.682,    -0.1, +1137.0,   -32.0,  +480.0
1726254540, +3.51, +29.674,    -0.0, +1136.0,   -40.0,  +360.0
1726255140, +3.51, +29.674,    +0.1, +1127.0,   +35.0,  +408.0
1726255740, +3.51, +29.666,    -0.0, +1128.0,   -10.0,  +428.0
1726256340, +3.51, +29.657,    -0.0, +1127.0,   -72.0,  +344.0
1726256940, +3.51, +29.666,    -0.1, +1127.0,   -40.0,  +344.0
1726257540, +3.51, +29.657,    +0.0, +1136.0,   -26.0,  +416.0
1726258140, +3.51, +29.649,    -0.1, +1132.0,   +28.0,  +344.0
1726258740, +3.51, +29.666,    -0.1, +1123.0,   -64.0,  +524.0
1726259340, +3.51, +29.666,    +0.1, +1143.0,    +6.0,  +463.0
1726259940, +3.51, +29.657,    -0.0, +1124.0,    +0.0,  +563.0
1726260540, +3.51, +29.649,    -0.1, +1132.0,   +22.0,  +368.0
1726261140, +3.51, +29.649,    +0.0, +1137.0,   -80.0,  +470.0
1726261740, +3.51, +29.649,    -0.0, +1144.0,   -40.0,  +502.0
1726262340, +3.51, +29.641,    -0.1, +1128.0,   -10.0,  +324.0
1726262940, +3.51, +29.641,    -0.1, +1129.0,   -16.0,  +504.0
1726263540, +3.51, +29.649,    +0.0, +1136.0,    +0.0,  +400.0
1726264140, +3.51, +29.641,    -0.1, +1128.0,   -52.0,  +422.0
1726264740, +3.51, +29.641,    -0.1, +1136.0,   -29.0,  +481.0
1726265340, +3.51, +29.641,    -0.0, +1144.0,   -16.0,  +371.0
1726265940, +3.51, +29.633,    -0.1, +1139.0,   -50.0,  +422.0
