7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1723308540, +3.52, +30.601,    +0.3, +1168.0,   -72.0,  +284.0
1723309140, +3.52, +30.545,    +0.1, +1168.0,   -72.0,  +225.0
1723309740, +3.52, +30.529,    -0.1, +1139.0,   -16.0,  +428.0
1723310340, +3.52, +30.545,    -0.0, +1142.0,   -80.0,  +310.0
1723310940, +3.52, +30.456,    -0.1, +1168.0,   -56.0,  +334.0
1723311540, +3.52, +30.424,    +0.0, +1167.0,   -36.0,  +248.0
1723312140, +3.52, +30.416,    +0.1, +1171.0,   -84.0,  +288.0
1723312740, +3.52, +30.464,    -0.1, +1166.0,   -32.0,  +393.0
1723313340, +3.52, +30.537,    -0.1, +1167.0,   -40.0,  +316.0
1723313940, +3.52, +30.641,    -0.1, +1136.0,   -24.0,  +463.0
1723314540, +3.52, +30.745,    -0.1, +1168.0,   -44.0,  +352.0
1723315140, +3.52, +30.825,    +0.0, +1167.0,   -57.0,  +408.0
1723315740, +3.52, +30.857,    +0.0, +1136.0,   -44.0,  +400.0
1723316340, +3.52, +30.905,    +0.0, +1139.0,   -40.0,  +408.0
1723316940, +3.52, +30.873,    +0.0, +1164.0,   -72.0,  +166.0
1723317540, +3.52, +30.881,    -0.0, +1168.0,   -32.0,  +256.0
1723318140, +3.52, +30.841,    +0.0, +1160.0,   -77.0,  +180.0
1723318740, +3.52, +30.865,    -0.1, +1168.0,   -80.0,  +224.0
1723319340, +3.52, +30.913,    -0.2, +1168.0,   -56.0,  +231.0
1723319940, +3.52, +30.945,    -0.0, +1168.0,   -64.0,  +268.0
1723320540, +3.52, +31.009,    -0.0, +1144.0,   -16.0,  +318.0
1723321140, +3.52, +31.065,    +0.0, +1135.0,   -80.0,  +368.0
1723321740, +3.52, +31.081,    +0.0, +1136.0,   -32.0,  +440.0
1723322340, +3.52, +31.073,    -0.0, +1136.0,   -80.0,  +415.0
1723322940, +3.52, +31.049,    -0.0, +1159.0,   -13.0,  +392.0
1723323540, +3.52, +31.033,    +0.1, +1168.0,   -36.0,  +296.0
1723324140, +3.52, +30.865,    +0.1, +1171.0,   -56.0,  +352.0
1723324740, +3.52, +30.713,    -0.0, +1168.0,   -44.0,  +284.0
1723325340, +3.52, +30.633,    +0.0, +1168.0,   -72.0,  +348.0
1723325940, +3.52, +30.553,    -0.0, +1169.0,   -96.0,  +342.0
1723326540, +3.52, +30.480,    -0.1, +1166.0,   -32.0,  +344.0
1723327140, +3.52, +30.416,    -0.1, +1168.0,   -96.0,  +216.0
1723327740, +3.52, +30.368,    -0.1, +1167.0,   -56.0,  +399.0
1723328340, +3.52, +30.360,    -0.0, +1172.0,   -64.0,  +280.0
1723328940, +3.52, +30.360,    -0.0, +1171.0,   -80.0,  +359.0
1723329540, +3.52, +30.392,    -0.1, +1171.0,   -93.0,  +307.0
1723330140, +3.52, +30.432,    +0.0, +1169.0,  -104.0,  +280.0
1723330740, +3.52, +30.464,    +0.0, +1168.0,   -84.0,  +376.0
1723331340, +3.52, +30.505,    +0.0, +1167.0,   -45.0,  +384.0
1723331940, +3.52, +30.529,    +0.1, +1168.0,   -98.0,  +348.0
1723332540, +3.52, +30.561,    +0.0, +1168.0,   -72.0,  +244.0
1723333140, +3.52, +30.561,    -0.0, +1172.0,  -109.0,  +318.0
1723333740, +3.52, +30.577,    -0.1, +1167.0,  -144.0,  +259.0
1723334340, +3.52, +30.585,    +0.0, +1160.0,  -112.0,  +150.0
1723334940, +3.52, +30.585,    +0.0, +1171.0,   -74.0,  +320.0
1723335540, +3.52, +30.585,    -0.1, +1167.0,  -104.0,  +204.0
1723336140, +3.52, +30.569,    -0.1, +1166.0,  -144.0,  +248.0
1723336740, +3.52, +30.553,    -0.1, +1168.0,   -58.0,  +344.0
1723337340, +3.52, +30.561,    -0.1, +1156.0,   -90.0,  +128.0
1723337940, +3.52, +30.569,    -0.1, +1144.0,   -50.0,  +342.0
1723338540, +3.52, +30.593,    -0.1, +1167.0,   -36.0,  +364.0
1723339140, +3.52, +30.617,    -0.1, +1168.0,   -80.0,  +252.0
1723339740, +3.52, +30.689,    -0.1, +1168.0,   -96.0,  +344.0
1723340340, +3.52, +30.729,    -0.1, +1169.0,  -128.0,  +332.0
1723340940, +3.52, +30.889,    +0.1, +1168.0,   -88.0,  +231.0
1723341540, +3.52, +30.897,    -0.1, +1168.0,   -26.0,  +294.0
1723342140, +3.52, +30.873,    +0.0, +1168.0,   -93.0,  +342.0
1723342740, +3.52, +31.120,    -0.0, +1129.0,   -72.0,  +496.0
1723343340, +3.52, +31.399,    +0.0, +1121.0,   -49.0,  +387.0
1723343940, +3.52, +31.573,    -0.1, +1168.0,   -24.0,  +327.0
1723344540, +3.52, +31.628,    +0.1, +1159.0,   -52.0,  +454.0
1723345140, +3.52, +31.605,    +0.1, +1168.0,   -72.0,  +376.0
1723345740, +3.52, +31.589,    +0.8, +1120.0,    +0.0,  +451.0
1723346340, +3.52, +31.518,    +2.1, +1168.0,   -88.0,  +320.0
1723346940, +3.52, +31.430,    +4.5, +1123.0,   -32.0,  +420.0
1723347540, +3.52, +31.311,    +6.9, +1128.0,   -56.0,  +336.0
1723348140, +3.52, +31.264,   +10.8, +1132.0,   -77.0,  +288.0
1723348740, +3.52, +31.208,   +16.7, +1136.0,   -56.0,  +432.0
1723349340, +3.52, +31.168,   +15.3, +1134.0,   -72.0,  +334.0
1723349940, +3.52, +31.120,   +26.2, +1135.0,   -64.0,  +323.0
1723350540, +3.52, +31.073,   +31.0, +1136.0,   -64.0,  +423.0
