7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1725744540, +3.52, +30.729,    -0.1, +1132.0,    -4.0,  +440.0
1725745140, +3.52, +30.721,    -0.1, +1132.0,   -16.0,  +323.0
1725745740, +3.52, +30.729,    +0.0, +1166.0,   -20.0,  +230.0
1725746340, +3.52, +30.729,    +0.0, +1167.0,   -64.0,  +415.0
1725746940, +3.52, +30.729,    +0.1, +1116.0,   -24.0,  +408.0
1725747540, +3.52, +30.737,    -0.0, +1089.0,   -72.0,  +336.0
1725748140, +3.52, +30.737,    +0.0, +1168.0,   -52.0,  +371.0
1725748740, +3.52, +30.737,    +0.0, +1166.0,   -98.0,  +408.0
1725749340, +3.52, +30.745,    +0.1, +1161.0,   -63.0,  +223.0
1725749940, +3.52, +30.729,    -0.1, +1168.0,   -50.0,  +398.0
1725750540, +3.52, +30.737,    -0.2, +1168.0,   -61.0,  +358.0
1725751140, +3.52, +30.721,    -0.1, +1166.0,   -40.0,  +336.0
1725751740, +3.52, +30.737,    -0.1, +1168.0,   -60.0,  +320.0
1725752340, +3.52, +30.737,    -0.1, +1167.0,   -36.0,  +404.0
1725752940, +3.52, +30.729,    -0.0, +1167.0,   -40.0,  +359.0
1725753540, +3.52, +30.721,    -0.0, +1169.0,   -72.0,  +351.0
1725754140, +3.52, +30.721,    +0.0, +1159.0,    -8.0,  +228.0
1725754740, +3.52, +30.713,    +0.0, +1166.0,   -36.0,  +227.0
1725755340, +3.52, +30.713,    +0.1, +1089.0,   -32.0,  +344.0
1725755940, +3.52, +30.705,    -0.1, +1168.0,   -52.0,  +348.0
1725756540, +3.52, +30.705,    +0.0, +1166.0,   -73.0,  +273.0
1725757140, +3.52, +30.697,    +0.0, +1111.0,    +0.0,  +380.0
1725757740, +3.52, +30.697,    -0.0, +1163.0,   -64.0,  +195.0
1725758340, +3.52, +30.697,    +0.1, +1110.0,   -32.0,  +542.0
1725758940, +3.52, +30.689,    -0.0, +1167.0,   -39.0,  +363.0
1725759540, +3.52, +30.681,    +0.0, +1088.0,   -32.0,  +428.0
1725760140, +3.52, +30.673,    +0.0, +1087.0,   -24.0,  +360.0
1725760740, +3.52, +30.665,    +0.1, +1086.0,   -26.0,  +358.0
1725761340, +3.52, +30.657,    +0.0, +1167.0,   -20.0,  +271.0
1725761940, +3.52, +30.665,    -0.1, +1166.0,   -64.0,  +398.0
1725762540, +3.52, +30.657,    -0.0, +1167.0,   -56.0,  +307.0
1725763140, +3.52, +30.657,    -0.1, +1134.0,   -36.0,  +448.0
1725763740, +3.52, +30.657,    -0.1, +1127.0,    +7.0,  +487.0
1725764340, +3.52, +30.649,    -0.0, +1119.0,   -26.0,  +436.0
1725764940, +3.52, +30.649,    -0.1, +1091.0,   -40.0,  +412.0
1725765540, +3.52, +30.641,    +0.3, +1112.0,   -25.0,  +451.0
1725766140, +3.52, +30.641,    +1.2, +1127.0,    +0.0,  +515.0
1725766740, +3.52, +30.641,    +3.2, +1120.0,   -20.0,  +376.0
