7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1719480540, +3.52, +29.333,  +413.2, +1086.0,  -144.0,  +328.0
1719481140, +3.52, +29.325,  +433.0, +1088.0,   -48.0,  +432.0
1719481740, +3.52, +29.300,  +402.6, +1088.0,   -36.0,  +374.0
1719482340, +3.52, +29.292,  +380.1, +1091.0,   -56.0,  +448.0
1719482940, +3.52, +29.284,  +354.7, +1087.0,   -50.0,  +384.0
1719483540, +3.52, +29.300,  +334.2, +1089.0,   -72.0,  +456.0
1719484140, +3.52, +29.317,  +309.7, +1087.0,   -40.0,  +496.0
1719484740, +3.52, +29.333,  +295.7, +1088.0,   -50.0,  +455.0
1719485340, +3.52, +29.357,  +289.4, +1088.0,   -49.0,  +404.0
1719485940, +3.52, +29.398,  +293.4, +1089.0,   -96.0,  +392.0
1719486540, +3.52, +29.422,  +286.2, +1091.0,   -64.0,  +432.0
1719487140, +3.52, +29.430,  +291.8, +1087.0,   -49.0,  +464.0
1719487740, +3.52, +29.438,  +305.5, +1088.0,   -61.0,  +464.0
1719488340, +3.52, +29.447,  +308.8, +1087.0,   -76.0,  +345.0
1719488940, +3.52, +29.455,  +354.6, +1087.0,   -36.0,  +414.0
1719489540, +3.52, +29.495,  +336.7, +1089.0,   -56.0,  +449.0
1719490140, +3.52, +29.520,  +345.1, +1088.0,   -63.0,  +371.0
1719490740, +3.52, +29.552,  +320.4, +1087.0,   -98.0,  +460.0
1719491340, +3.53, +29.593,  +331.8, +1087.0,   -32.0,  +404.0
1719491940, +3.52, +29.609,  +308.6, +1086.0,   -49.0,  +356.0
1719492540, +3.53, +29.617,  +302.9, +1088.0,   -40.0,  +398.0
1719493140, +3.53, +29.617,  +283.8, +1089.0,   -92.0,  +412.0
1719493740, +3.52, +29.601,  +254.2, +1088.0,   -40.0,  +432.0
1719494340, +3.53, +29.633,  +237.7, +1087.0,   -48.0,  +408.0
1719494940, +3.53, +29.706,  +208.0, +1088.0,   -80.0,  +436.0
1719495540, +3.53, +29.803,  +194.4, +1088.0,   -44.0,  +430.0
1719496140, +3.53, +29.860,  +180.6, +1087.0,   -39.0,  +358.0
1719496740, +3.53, +29.852,  +172.0, +1087.0,   -72.0,  +377.0
1719497340, +3.53, +29.827,  +167.5, +1088.0,   -64.0,  +480.0
1719497940, +3.53, +29.819,  +143.8, +1089.0,   -64.0,  +435.0
1719498540, +3.53, +29.827,  +149.0, +1088.0,   -20.0,  +416.0
1719499140, +3.53, +29.844,  +144.5, +1088.0,   -68.0,  +454.0
1719499740, +3.53, +29.844,   +78.6, +1089.0,   -32.0,  +408.0
1719500340, +3.53, +29.836,   +99.0, +1089.0,   -48.0,  +414.0
1719500940, +3.53, +29.844,   +76.8, +1087.0,   -16.0,  +392.0
1719501540, +3.53, +29.836,   +60.6, +1089.0,   -80.0,  +359.0
1719502140, +3.53, +29.819,   +69.3, +1092.0,   -61.0,  +380.0
1719502740, +3.53, +29.795,   +53.1, +1089.0,   -29.0,  +432.0
1719503340, +3.53, +29.787,   +39.7, +1080.0,  -114.0,  +268.0
1719503940, +3.53, +29.779,   +34.5, +1088.0,   -40.0,  +467.0
1719504540, +3.53, +29.771,   +28.9, +1089.0,   -40.0,  +428.0
1719505140, +3.53, +29.763,   +20.9, +1089.0,   -32.0,  +428.0
1719505740, +3.53, +29.755,   +13.7, +1087.0,   -36.0,  +376.0
1719506340, +3.53, +29.738,    +8.6, +1087.0,   -32.0,  +504.0
1719506940, +3.53, +29.722,    +5.0, +1088.0,   -40.0,  +432.0
1719507540, +3.53, +29.722,    +2.2, +1087.0,   -16.0,  +438.0
1719508140, +3.53, +29.714,    +0.4, +1089.0,   -25.0,  +460.0
1719508740, +3.53, +29.706,    +0.1, +1086.0,    -8.0,  +336.0
1719509340, +3.53, +29.698,    -0.2, +1087.0,   -80.0,  +360.0
1719509940, +3.53, +29.690,    +0.0, +1087.0,   -32.0,  +428.0
1719510540, +3.53, +29.690,    -0.0, +1088.0,   -45.0,  +355.0
1719511140, +3.53, +29.682,    -0.2, +1091.0,   -56.0,  +414.0
1719511740, +3.53, +29.682,    -0.1, +1084.0,    -8.0,  +535.0
1719512340, +3.53, +29.674,    -0.0, +1088.0,   -58.0,  +412.0
1719512940, +3.53, +29.674,    -0.0, +1088.0,   -40.0,  +451.0
1719513540, +3.53, +29.666,    +0.0, +1087.0,   -24.0,  +435.0
1719514140, +3.53, +29.657,    +0.1, +1091.0,   -16.0,  +428.0
1719514740, +3.53, +29.657,    -0.2, +1091.0,   -40.0,  +416.0
1719515340, +3.53, +29.666,    +0.1, +1089.0,   -24.0,  +462.0
1719515940, +3.53, +29.657,    -0.0, +1089.0,   -40.0,  +400.0
1719516540, +3.53, +29.666,    +0.0, +1088.0,   -31.0,  +380.0
1719517140, +3.53, +29.666,    -0.0, +1091.0,   -18.0,  +408.0
1719517740, +3.53, +29.666,    +0.0, +1088.0,   -48.0,  +355.0
1719518340, +3.53, +29.657,    +0.0, +1087.0,   -13.0,  +400.0
1719518940, +3.53, +29.625,    +0.0, +1088.0,   -42.0,  +360.0
1719519540, +3.53, +29.584,    -0.1, +1087.0,   -12.0,  +327.0
1719520140, +3.53, +29.552,    -0.0, +1091.0,   -18.0,  +454.0
1719520740, +3.53, +29.528,    +0.0, +1088.0,   -20.0,  +403.0
1719521340, +3.53, +29.511,    +0.0, +1087.0,   -31.0,  +435.0
1719521940, +3.53, +29.511,    +0.1, +1091.0,   -32.0,  +432.0
