7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1727049540, +3.51, +29.260,    -0.1, +1110.0,  -104.0,  +430.0
1727050140, +3.51, +29.251,    -0.1, +1088.0,   -58.0,  +380.0
1727050740, +3.51, +29.243,    +0.0, +1087.0,   +24.0,  +684.0
1727051340, +3.51, +29.235,    -0.0, +1103.0,   -88.0,  +376.0
1727051940, +3.51, +29.235,    -0.0, +1112.0,  -109.0,  +359.0
1727052540, +3.51, +29.243,    -0.0, +1112.0,   +44.0,  +536.0
1727053140, +3.51, +29.243,    -0.1, +1039.0,  -332.0,  +140.0
1727053740, +3.51, +29.235,    -0.1, +1112.0,   -82.0,  +360.0
1727054340, +3.51, +29.211,    -0.0, +1103.0,   +28.0,  +576.0
1727054940, +3.51, +29.203,    +0.1, +1120.0,  -176.0,  +417.0
1727055540, +3.51, +29.186,    -0.2, +1107.0,  -136.0,  +591.0
1727056140, +3.51, +29.186,    -0.0, +1103.0,   -45.0,  +592.0
1727056740, +3.51, +29.186,    +0.0, +1112.0,   -40.0,  +600.0
1727057340, +3.51, +29.203,    -0.1, +1103.0,   -48.0,  +566.0
1727057940, +3.51, +29.203,    +0.0, +1095.0,   -56.0,  +416.0
1727058540, +3.51, +29.203,    -0.0, +1095.0,   -68.0,  +502.0
1727059140, +3.51, +29.203,    -0.1, +1111.0,   -80.0,  +359.0
1727059740, +3.51, +29.186,    -0.1, +1073.0,  -122.0,  +208.0
1727060340, +3.51, +29.154,    -0.1, +1112.0,   -40.0,  +472.0
1727060940, +3.51, +29.113,    -0.1, +1120.0,   -61.0,  +335.0
1727061540, +3.51, +29.080,    -0.1, +1080.0,    +0.0,  +769.0
1727062140, +3.51, +29.072,    +0.0, +1128.0,   -45.0,  +560.0
1727062740, +3.51, +29.056,    +0.5, +1132.0,   -96.0,  +364.0
1727063340, +3.51, +29.056,    +1.3, +1132.0,    +8.0,  +440.0
1727063940, +3.51, +29.056,    +2.5, +1121.0,   +44.0,  +592.0
1727064540, +3.51, +29.064,    +3.6, +1164.0,  -168.0,  +216.0
1727065140, +3.51, +29.072,    +4.6, +1161.0,   +39.0,  +368.0
1727065740, +3.51, +29.072,    +8.5, +1126.0,   -25.0,  +463.0
1727066340, +3.51, +29.064,   +13.2, +1059.0,   +38.0,  +822.0
1727066940, +3.51, +29.056,   +15.5, +1087.0,   -48.0,  +787.0
1727067540, +3.51, +29.032,   +17.9, +1139.0,  -143.0,  +268.0
1727068140, +3.51, +29.023,   +16.5, +1132.0,  -113.0,  +352.0
1727068740, +3.51, +29.023,   +25.2, +1139.0,   -98.0,  +452.0
1727069340, +3.51, +29.023,   +24.4, +1112.0,  -196.0,  +252.0
1727069940, +3.51, +29.023,   +29.9, +1139.0,   -16.0,  +438.0
1727070540, +3.51, +29.015,   +14.7, +1120.0,    +0.0,  +615.0
1727071140, +3.51, +28.966,   +17.8, +1132.0,   -57.0,  +425.0
1727071740, +3.51, +28.942,   +49.7, +1126.0,  -112.0,  +350.0
1727072340, +3.51, +28.934,   +66.6, +1144.0,   -84.0,  +464.0
1727072940, +3.51, +28.966,   +46.1, +1132.0,   -25.0,  +540.0
1727073540, +3.51, +29.032,   +73.6, +1139.0,  -119.0,  +455.0
1727074140, +3.51, +29.040,   +33.4, +1136.0,   -36.0,  +472.0
1727074740, +3.51, +29.048,   +17.7, +1132.0,   -20.0,  +412.0
1727075340, +3.51, +29.023,   +21.2, +1126.0,  -184.0,  +296.0
