7530-872651
OS REV: 1.08 Sensor Cal: 1702281600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1724265540, +3.52, +31.351,    +0.1, +1168.0,   -87.0,  +287.0
1724266140, +3.52, +31.303,    -0.0, +1164.0,    -8.0,  +288.0
1724266740, +3.52, +31.311,    -0.1, +1164.0,    -8.0,  +328.0
1724267340, +3.52, +31.383,    -0.0, +1139.0,   -32.0,  +424.0
1724267940, +3.52, +31.399,    -0.2, +1148.0,    +0.0,  +422.0
1724268540, +3.52, +31.383,    -0.1, +1164.0,   -47.0,  +352.0
1724269140, +3.52, +31.327,    -0.1, +1166.0,    +0.0,  +268.0
1724269740, +3.52, +31.280,    +0.0, +1166.0,    -8.0,  +368.0
1724270340, +3.52, +31.256,    +0.0, +1160.0,   -25.0,  +291.0
1724270940, +3.52, +31.200,    -0.0, +1167.0,   -52.0,  +248.0
1724271540, +3.52, +31.184,    -0.1, +1158.0,   -32.0,  +270.0
1724272140, +3.52, +31.192,    +0.0, +1167.0,   -16.0,  +312.0
1724272740, +3.52, +31.192,    +0.0, +1164.0,    +7.0,  +368.0
1724273340, +3.52, +31.200,    -0.1, +1166.0,   -26.0,  +248.0
1724273940, +3.52, +31.200,    -0.1, +1168.0,   -40.0,  +318.0
1724274540, +3.52, +31.208,    -0.1, +1167.0,   -24.0,  +300.0
1724275140, +3.52, +31.224,    -0.1, +1164.0,   -40.0,  +272.0
1724275740, +3.52, +31.232,    +0.0, +1169.0,   -57.0,  +304.0
1724276340, +3.52, +31.232,    -0.1, +1168.0,    +0.0,  +321.0
1724276940, +3.52, +31.256,    +0.1, +1144.0,   -16.0,  +380.0
1724277540, +3.52, +31.264,    +0.0, +1166.0,    -8.0,  +329.0
1724278140, +3.52, +31.280,    -0.1, +1163.0,   -48.0,  +316.0
1724278740, +3.52, +31.303,    +0.0, +1144.0,   -18.0,  +432.0
1724279340, +3.52, +31.399,    +0.0, +1151.0,   -40.0,  +344.0
1724279940, +3.52, +31.470,    +0.0, +1143.0,    +0.0,  +414.0
1724280540, +3.52, +31.502,    -0.1, +1139.0,   -24.0,  +438.0
1724281140, +3.52, +31.541,    -0.1, +1127.0,    +0.0,  +476.0
1724281740, +3.52, +31.565,    -0.1, +1132.0,   -32.0,  +376.0
1724282340, +3.52, +31.573,    -0.0, +1139.0,   -32.0,  +417.0
1724282940, +3.52, +31.533,    +0.0, +1132.0,   -58.0,  +400.0
1724283540, +3.52, +31.533,    -0.0, +1144.0,   -56.0,  +328.0
1724284140, +3.52, +31.502,    -0.1, +1158.0,    +0.0,  +387.0
1724284740, +3.52, +31.494,    +0.1, +1144.0,   -56.0,  +368.0
1724285340, +3.52, +31.462,    +0.0, +1144.0,   -72.0,  +292.0
1724285940, +3.52, +31.462,    -0.1, +1142.0,   -10.0,  +384.0
1724286540, +3.52, +31.399,    +0.1, +1159.0,   -13.0,  +368.0
1724287140, +3.52, +31.391,    -0.1, +1145.0,   -15.0,  +398.0
1724287740, +3.52, +31.351,    +0.0, +1155.0,    +0.0,  +384.0
1724288340, +3.52, +31.311,    -0.0, +1145.0,   -32.0,  +444.0
1724288940, +3.52, +31.327,    -0.1, +1161.0,   -20.0,  +339.0
1724289540, +3.52, +31.327,    -0.0, +1150.0,   -63.0,  +286.0
1724290140, +3.52, +31.343,    -0.0, +1150.0,   -52.0,  +316.0
1724290740, +3.52, +31.351,    +0.0, +1168.0,   -32.0,  +312.0
1724291340, +3.52, +31.319,    -0.1, +1167.0,   -36.0,  +326.0
1724291940, +3.52, +31.335,    -0.0, +1144.0,   -16.0,  +403.0
1724292540, +3.52, +31.295,    +0.0, +1128.0,   -68.0,  +335.0
1724293140, +3.52, +31.224,    -0.0, +1123.0,   -32.0,  +387.0
1724293740, +3.52, +31.200,    -0.1, +1136.0,   -25.0,  +464.0
1724294340, +3.52, +31.176,    -0.0, +1120.0,    -8.0,  +393.0
1724294940, +3.52, +31.160,    -0.1, +1135.0,   -48.0,  +376.0
1724295540, +3.52, +31.200,    -0.0, +1132.0,   -45.0,  +467.0
1724296140, +3.52, +31.224,    +0.3, +1168.0,   -36.0,  +296.0
1724296740, +3.52, +31.272,    +1.2, +1171.0,   -48.0,  +288.0
1724297340, +3.52, +31.295,    +2.7, +1129.0,   -16.0,  +387.0
1724297940, +3.52, +31.256,    +5.7, +1134.0,    -8.0,  +472.0
