"gene_id","moduleColor","GS.10","GS.25","GS.5","p.GS.10","p.GS.25","p.GS.5","MM.black","p.MM.black","MM.green","p.MM.green","MM.salmon","p.MM.salmon","MM.brown","p.MM.brown","MM.yellow","p.MM.yellow","MM.midnightblue","p.MM.midnightblue","MM.lightgreen","p.MM.lightgreen","MM.lightcyan","p.MM.lightcyan","MM.turquoise","p.MM.turquoise","MM.magenta","p.MM.magenta","MM.purple","p.MM.purple","MM.blue","p.MM.blue","MM.greenyellow","p.MM.greenyellow","MM.tan","p.MM.tan","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.cyan","p.MM.cyan","MM.grey60","p.MM.grey60","MM.grey","p.MM.grey","moduleCluster"
"ACROYT_G000273","MEblack",0.864375685768811,-0.51842740839239,-0.37007454662712,7.64179005819808e-06,0.0330036050464192,0.143702880395336,0.884185194269486,2.48247948479544e-06,0.413262358994762,0.0991862283769449,0.458672633581992,0.064048916015137,0.484077589547905,0.0489567826282973,0.373184920602213,0.140105314388937,0.027864737951652,0.915457038555368,0.150592512153016,0.56399295112584,-0.144385856137897,0.580342986670713,0.0161440206456751,0.950963520987772,-0.220028244917345,0.396120730326483,0.191531891588327,0.461478520715758,-0.385281438581723,0.126704614365188,-0.563422511837971,0.0185117881291679,-0.573630766151734,0.0160584547722328,-0.0967670738327179,0.711785252520819,-0.504794772405871,0.0387691773110769,0.109739518665962,0.675016237786757,-0.0436347517819048,0.867932600636552,0.131591160968671,0.614657900246766,"5"
"ACROYT_G000280","MEblack",0.68197715966197,-0.597381951680292,-0.112395817244294,0.00256496475171833,0.0113340000075487,0.667569122045223,0.836706376839712,2.82657844618047e-05,0.232116411589599,0.369998786707105,0.150216650499775,0.564977389979953,0.318880937791498,0.212207665795305,0.134919422458885,0.605654816249949,-0.054888665155367,0.834268381249998,0.331605931719818,0.19350940257588,0.396687426906923,0.114912257899516,0.507682241502533,0.0374884733546378,-0.0697024170876696,0.790375715595901,-0.0163702907015284,0.95027703184324,-0.252165233023296,0.328860540742118,-0.503214649772353,0.0394839527180592,-0.57570731721815,0.0155922701495014,-0.161834464353273,0.53489707794693,-0.364914786459822,0.149809788843955,-0.128544885454941,0.622944080738167,-0.213299157308534,0.41108226224273,0.166660999970041,0.52261749399649,"5"
"ACROYT_G000290","MEblack",0.876116873366561,-0.451812632051562,-0.445330431356813,4.01500609796401e-06,0.0686568216594705,0.0732307200278388,0.9022169090628,7.36384102659628e-07,0.531947907525924,0.0279578148720375,0.433679338082738,0.0820065144625404,0.413522016900733,0.0989528165835257,0.428099643288499,0.086469179957088,-0.0399801726115917,0.878913772386524,0.0162147956790162,0.950748790453636,-0.141342007349394,0.588433239144898,-0.0471589988713395,0.857364605816967,-0.0967733541433271,0.711767297982344,0.0348804529771349,0.894271794763694,-0.530770844257263,0.0283718288047312,-0.527288578170472,0.0296243613999578,-0.521691817138339,0.0317260507767287,-0.103533396985829,0.692526024550447,-0.563689008428578,0.0184442236472666,-0.0598125622686865,0.819621130767219,-0.110530181897121,0.672796540373175,0.190118373888355,0.464854044723706,"5"
"ACROYT_G000294","MEblack",0.419237504852476,-0.525265440758123,0.0815834423339913,0.0939139412357423,0.0303713402483204,0.75559193907387,0.557593545580934,0.0200386564594435,0.212379573249647,0.413149913804118,0.552085883153661,0.0215700029517045,0.0142250365262782,0.956786863642544,-0.171746259381691,0.50982183940522,0.479138939844768,0.0516571499689785,0.1270340551511,0.627069697371163,0.206912151212078,0.425556479715555,0.210224940090832,0.418016068108073,-0.0499145926720418,0.849117375686131,-0.0563601005592305,0.829885641817995,-0.0909626831551787,0.728439322267951,-0.362649653553601,0.152545862498752,-0.499033910665036,0.0414234055524156,-0.0574917654039278,0.82651814158567,-0.296757396897152,0.247413439329328,-0.24939175162911,0.334386614783523,-0.314336131812402,0.219159345545832,-0.0236308537553974,0.928268996389366,"5"
"ACROYT_G000930","MEblack",0.495186242430758,-0.151609325101193,-0.350632422765998,0.0432713368140302,0.56133348059186,0.167631012608234,0.50988077312413,0.0365351356863681,0.150324119873063,0.564695835784655,0.0782637007317174,0.765269471908284,0.096969253929383,0.711207319558277,0.485111031421248,0.048405391062071,-0.312505190615673,0.222000809056711,-0.205041654915908,0.429845202873918,-0.250968960540107,0.331237536266698,-0.309542014327415,0.226649249127046,0.0863105292055988,0.74187119348226,0.559676906888871,0.0194820511930931,-0.129404297023175,0.620602003133225,-0.130753315763988,0.616932590224673,-0.164220821174577,0.528809497832165,0.0846455918033796,0.746695653934347,-0.0239339230976897,0.927351302857896,0.193576639699839,0.456617396421144,0.117010773741203,0.654700592488346,0.106653509839822,0.683703973880345,"5"
"ACROYT_G001577","MEblack",0.61796800548645,-0.101847399726496,-0.520860320035294,0.00819946969592411,0.69730882710239,0.0320478017234174,0.671510515781879,0.00315931491427231,0.373447350384567,0.139804644699097,0.266218831223995,0.301682731789749,0.699498370849403,0.00177577070182393,0.552385282386449,0.0214844863435351,-0.00698969066737371,0.978759498390445,0.084928598937456,0.74587495599416,0.216687769696599,0.403510791489914,0.456676824896741,0.0653652224159047,-0.484412537945441,0.0487775573301848,0.076299900908578,0.771009827679824,-0.384555844667471,0.127482231668532,-0.673940968311611,0.00301220285076376,-0.648370118637952,0.00487524919503308,-0.0120892392294649,0.963270565355315,-0.430701559848866,0.084366838248714,-0.0841934230579733,0.748007440923606,0.159142366015227,0.541802356955595,0.201725740083509,0.437502954412545,"5"
"ACROYT_G001674","MEblack",-0.149988138573236,0.109522542266557,0.0455624918430054,0.565576259047816,0.675625818517353,0.862149244634685,-0.462984447191701,0.0612721224750108,-0.401036611268576,0.110626426062457,0.0608290459182873,0.816604217949102,0.22075043057519,0.394532744135167,0.13374949904349,0.608813477948791,0.638537040330028,0.00580182931259845,-0.160636505417452,0.537964946355613,-0.455811930258863,0.0659418076978477,0.0429830408129108,0.869889227065214,-0.338876495466236,0.18332861981738,0.055979541551873,0.831018705303726,0.101180625880449,0.699203306648776,-0.0954681897852317,0.715501647092201,-0.318326131970617,0.213048548730346,0.541142333164489,0.0248819540478092,0.271230630297631,0.292325240837686,0.184732216978747,0.477828224493001,0.456306958551818,0.0656113381151118,-0.266647503573418,0.300875457713715,"5"
"ACROYT_G002192","MEblack",-0.460642460889226,0.0649345424389584,0.398729803923899,0.0627690525991869,0.80444430693905,0.112885315786058,-0.54099860851849,0.0249279245570376,-0.221796267835066,0.392239220377357,0.0780450920110974,0.765907918702391,-0.204440117209006,0.431229185289381,-0.167070978830527,0.52158044992088,0.579894054779778,0.0146847437419456,-0.517351261787515,0.0334332798286859,-0.452748703155219,0.0680141070574584,-0.244707133338917,0.343841391611726,0.109591554671855,0.675431912075258,-0.204345873432456,0.431446225292506,0.185923162110421,0.474944303686091,0.28923191108232,0.260175302394907,-0.0653913094257252,0.803093991464345,0.247298764230379,0.338592083014941,0.210141491053803,0.418205140342874,0.198667701239754,0.444626989459199,0.156684189068808,0.548142198819422,-0.492506907728571,0.0445944853008541,"5"
"ACROYT_G002193","MEblack",-0.5722472075557,0.25835882651459,0.325911731872646,0.0163750942005382,0.316712968055256,0.201737495777504,-0.740179033564091,0.000680217424046118,-0.201265883430766,0.438570463834753,-0.0147403312716134,0.95522293738429,-0.211027829661152,0.416199250470679,-0.134876685320104,0.605770085943273,0.374797629190319,0.138264637368245,-0.525614052438721,0.0302416054235501,-0.50467322770932,0.0388238068363797,-0.345409645685363,0.174489126412961,0.097962473422053,0.708370360407514,-0.209688467553145,0.419232351954573,0.189527059566594,0.466269760914698,0.389445827335394,0.122305516866054,0.180407498567389,0.488372366319181,0.239399988709265,0.354735055062778,0.257949466959795,0.317507601115419,0.174066030441822,0.504034027490397,0.219268994227355,0.397793938472862,-0.416659524868415,0.096163394397502,"5"
"ACROYT_G002219","MEblack",0.539951642677225,-0.588273169179512,0.0209448163923835,0.0252647855564192,0.0129936586057976,0.936405925258912,0.70638375464455,0.00152621340131913,-0.0213803332300399,0.935086170761806,-0.239438794426918,0.354654700326218,-0.00407589076010821,0.987613183990594,-0.0920075082082899,0.725432759634081,-0.0978770169264372,0.708614310160022,0.175319405660571,0.500919850180642,0.484689118640603,0.0486299354719248,0.356275065329318,0.160427906227139,-0.0844398595438634,0.747292422607371,-0.248986322240144,0.335198884011625,-0.338827377298476,0.183396181159794,-0.333175044426233,0.191281437305501,-0.278631332851427,0.27883084383672,0.073374127811414,0.779582912774059,-0.0782562987849797,0.765291086959984,-0.182764022932028,0.48261301409669,-0.206405265690153,0.426716463599372,-0.00523753240595016,0.984083275688141,"5"
