moduleColor,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GOSLIM_ID,GOSLIM_Name
MEblue,GO:0001067,transcription regulatory region nucleic acid binding,10/121,60/2350,0.166666666666667,3.23691460055096,4.08871130956095,7.5963691821948e-4,0.0242403541963173,0.0209094089665442,ACROYT_G000539/ACROYT_G001336/ACROYT_G004486/ACROYT_G013062/ACROYT_G027661/ACROYT_G032910/ACROYT_G036390/ACROYT_G037591/ACROYT_G039193/ACROYT_G044428,10,NA,NA
MEblue,GO:0043434,response to peptide hormone,11/121,71/2350,0.154929577464789,3.0089628681178,4.00412918623142,7.8484590517244e-4,0.0244662366638775,0.0211042521959103,ACROYT_G001336/ACROYT_G004471/ACROYT_G005185/ACROYT_G010556/ACROYT_G012773/ACROYT_G013062/ACROYT_G019635/ACROYT_G020457/ACROYT_G020555/ACROYT_G029061/ACROYT_G036390,11,NA,NA
MEblue,GO:0019899,enzyme binding,26/121,269/2350,0.0966542750929368,1.87716980552398,3.56125385950994,8.1147140450708e-4,0.0244662366638775,0.0211042521959103,ACROYT_G001336/ACROYT_G001485/ACROYT_G004471/ACROYT_G005185/ACROYT_G009447/ACROYT_G010556/ACROYT_G013062/ACROYT_G017838/ACROYT_G019632/ACROYT_G019635/ACROYT_G020457/ACROYT_G021858/ACROYT_G021859/ACROYT_G021860/ACROYT_G022776/ACROYT_G027735/ACROYT_G029061/ACROYT_G032171/ACROYT_G036390/ACROYT_G037441/ACROYT_G037729/ACROYT_G038405/ACROYT_G039381/ACROYT_G039997/ACROYT_G044428/ACROYT_G044601,26,NA,NA
MEblue,GO:0010558,negative regulation of macromolecule biosynthetic process,16/121,131/2350,0.122137404580153,2.37209008895338,3.76459952683385,8.1815097768282e-4,0.0244662366638775,0.0211042521959103,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004486/ACROYT_G010556/ACROYT_G013062/ACROYT_G020457/ACROYT_G021828/ACROYT_G021859/ACROYT_G021860/ACROYT_G029061/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G044428,16,NA,NA
MEblue,GO:0009890,negative regulation of biosynthetic process,17/121,144/2350,0.118055555555556,2.2928145087236,3.7298714891495,8.2836405698494e-4,0.0244662366638775,0.0211042521959103,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004471/ACROYT_G004486/ACROYT_G010556/ACROYT_G013062/ACROYT_G020457/ACROYT_G021828/ACROYT_G021859/ACROYT_G021860/ACROYT_G029061/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G044428,17,NA,NA
MEblue,GO:0045893,positive regulation of DNA-templated transcription,17/121,144/2350,0.118055555555556,2.2928145087236,3.7298714891495,8.2836405698494e-4,0.0244662366638775,0.0211042521959103,ACROYT_G000539/ACROYT_G001336/ACROYT_G006013/ACROYT_G010556/ACROYT_G013062/ACROYT_G017839/ACROYT_G020457/ACROYT_G021828/ACROYT_G027661/ACROYT_G032248/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G037591/ACROYT_G038405/ACROYT_G039193/ACROYT_G044428,17,GO:0006355,regulation of DNA-templated transcription
MEblue,GO:0016301,kinase activity,12/121,83/2350,0.144578313253012,2.80792591855023,3.9063673043166798,8.5883172416356e-4,0.0244662366638775,0.0211042521959103,ACROYT_G004471/ACROYT_G006438/ACROYT_G016868/ACROYT_G018812/ACROYT_G020457/ACROYT_G020555/ACROYT_G021441/ACROYT_G021449/ACROYT_G022776/ACROYT_G029061/ACROYT_G039171/ACROYT_G039997,12,GO:0003824;GO:0016740,catalytic activity;transferase activity
MEblue,GO:0051345,positive regulation of hydrolase activity,12/121,83/2350,0.144578313253012,2.80792591855023,3.9063673043166798,8.5883172416356e-4,0.0244662366638775,0.0211042521959103,ACROYT_G013062/ACROYT_G021594/ACROYT_G021859/ACROYT_G021860/ACROYT_G025724/ACROYT_G026620/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G039381/ACROYT_G039997/ACROYT_G044428,12,NA,NA
MEblue,GO:1902679,negative regulation of RNA biosynthetic process,15/121,119/2350,0.126050420168067,2.4480866726856,3.77656889154995,8.6180743591535e-4,0.0244662366638775,0.0211042521959103,ACROYT_G000539/ACROYT_G001336/ACROYT_G001485/ACROYT_G004486/ACROYT_G013062/ACROYT_G020457/ACROYT_G021828/ACROYT_G021859/ACROYT_G021860/ACROYT_G029061/ACROYT_G032910/ACROYT_G036390/ACROYT_G037441/ACROYT_G039193/ACROYT_G044428,15,NA,NA
MEblue,GO:0009408,response to heat,8/121,41/2350,0.195121951219512,3.78955855674259,4.19753768139998,8.9259422814894e-4,0.0244662366638775,0.0211042521959103,ACROYT_G001485/ACROYT_G009447/ACROYT_G010556/ACROYT_G010799/ACROYT_G013062/ACROYT_G021859/ACROYT_G021860/ACROYT_G040108,8,NA,NA
