7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1725653880, +3.51, +30.320,    -0.0, +1159.0,   -20.0,  +435.0
1725654480, +3.51, +30.312,    -0.0, +1159.0,   -49.0,  +422.0
1725655080, +3.51, +30.320,    +0.0, +1148.0,   -72.0,  +428.0
1725655680, +3.51, +30.312,    +0.0, +1166.0,   -16.0,  +440.0
1725656280, +3.51, +30.320,    +0.0, +1168.0,   -40.0,  +435.0
1725656880, +3.51, +30.320,    -0.0, +1161.0,   -18.0,  +446.0
1725657480, +3.51, +30.304,    +0.0, +1176.0,   -52.0,  +419.0
1725658080, +3.51, +30.312,    +0.0, +1164.0,   -40.0,  +430.0
1725658680, +3.51, +30.304,    -0.0, +1174.0,   -36.0,  +432.0
1725659280, +3.51, +30.312,    -0.1, +1171.0,   -48.0,  +441.0
1725659880, +3.51, +30.304,    -0.0, +1175.0,   -52.0,  +428.0
1725660480, +3.51, +30.304,    +0.1, +1180.0,   -47.0,  +424.0
1725661080, +3.51, +30.304,    -0.0, +1171.0,   -48.0,  +432.0
1725661680, +3.51, +30.304,    -0.0, +1161.0,   -72.0,  +424.0
1725662280, +3.51, +30.320,    -0.0, +1164.0,   -56.0,  +435.0
1725662880, +3.51, +30.312,    +0.1, +1184.0,   -15.0,  +432.0
1725663480, +3.51, +30.328,    -0.0, +1160.0,   -40.0,  +435.0
1725664080, +3.51, +30.336,    -0.1, +1175.0,   -42.0,  +433.0
1725664680, +3.51, +30.328,    -0.0, +1167.0,   -48.0,  +428.0
1725665280, +3.51, +30.344,    -0.1, +1176.0,   -64.0,  +423.0
1725665880, +3.51, +30.344,    +0.0, +1164.0,   -24.0,  +440.0
1725666480, +3.51, +30.344,    -0.0, +1155.0,   -40.0,  +432.0
1725667080, +3.51, +30.344,    -0.0, +1172.0,   -32.0,  +440.0
1725667680, +3.51, +30.336,    +0.1, +1161.0,   -48.0,  +422.0
1725668280, +3.51, +30.336,    -0.1, +1164.0,   -16.0,  +448.0
1725668880, +3.51, +30.336,    +0.0, +1151.0,   -45.0,  +440.0
1725669480, +3.51, +30.328,    +0.0, +1153.0,   -64.0,  +432.0
