7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1719824880, +3.52, +27.943,  +129.4, +1206.0,   -40.0,  +390.0
1719825480, +3.52, +27.959,  +127.5, +1238.0,    -8.0,  +248.0
1719826080, +3.52, +27.959,  +126.9, +1238.0,    +3.0,  +236.0
1719826680, +3.52, +27.976,  +122.5, +1240.0,   -40.0,  +220.0
1719827280, +3.52, +27.976,  +119.9, +1240.0,   -52.0,  +237.0
1719827880, +3.52, +27.984,  +116.9, +1203.0,   -20.0,  +387.0
1719828480, +3.52, +27.984,  +120.9, +1200.0,    +0.0,  +396.0
1719829080, +3.52, +28.000,  +122.8, +1206.0,   -64.0,  +364.0
1719829680, +3.52, +28.025,  +120.3, +1204.0,   -58.0,  +391.0
1719830280, +3.52, +28.058,  +118.7, +1240.0,   -32.0,  +236.0
1719830880, +3.52, +28.099,  +119.7, +1240.0,   -46.0,  +242.0
1719831480, +3.52, +28.115,  +120.3, +1240.0,   -40.0,  +220.0
1719832080, +3.52, +28.115,  +129.7, +1240.0,   -32.0,  +232.0
1719832680, +3.52, +28.140,  +130.0, +1240.0,   -60.0,  +232.0
1719833280, +3.52, +28.165,  +121.5, +1244.0,   -32.0,  +212.0
1719833880, +3.52, +28.181,   +85.0, +1240.0,   -52.0,  +240.0
1719834480, +3.52, +28.214,  +115.0, +1240.0,   -50.0,  +218.0
1719835080, +3.52, +28.222,  +118.1, +1238.0,   -24.0,  +232.0
1719835680, +3.52, +28.230,   +88.0, +1240.0,   -30.0,  +215.0
1719836280, +3.52, +28.247,  +101.5, +1238.0,   -32.0,  +240.0
1719836880, +3.52, +28.320,  +104.5, +1238.0,   -24.0,  +240.0
1719837480, +3.52, +28.370,   +99.4, +1240.0,   -45.0,  +240.0
1719838080, +3.52, +28.402,   +91.9, +1238.0,   -52.0,  +256.0
1719838680, +3.52, +28.443,   +99.0, +1236.0,   -24.0,  +262.0
1719839280, +3.52, +28.452,   +86.2, +1235.0,   -28.0,  +272.0
1719839880, +3.52, +28.468,   +64.9, +1233.0,   +16.0,  +280.0
1719840480, +3.52, +28.476,   +62.7, +1236.0,   -32.0,  +243.0
1719841080, +3.52, +28.484,   +57.5, +1232.0,   -72.0,  +288.0
1719841680, +3.52, +28.501,   +57.0, +1236.0,   -52.0,  +256.0
1719842280, +3.52, +28.542,   +46.7, +1232.0,    +0.0,  +312.0
1719842880, +3.52, +28.542,   +41.3, +1233.0,   -26.0,  +274.0
1719843480, +3.52, +28.542,   +41.0, +1235.0,   -80.0,  +296.0
1719844080, +3.52, +28.550,   +34.9, +1238.0,   -55.0,  +256.0
1719844680, +3.52, +28.533,   +32.0, +1233.0,   -32.0,  +268.0
1719845280, +3.52, +28.525,   +26.9, +1240.0,   -32.0,  +258.0
1719845880, +3.52, +28.501,   +13.1, +1232.0,    +8.0,  +272.0
1719846480, +3.52, +28.476,   +11.3, +1235.0,   -24.0,  +264.0
1719847080, +3.52, +28.476,   +12.8, +1235.0,   -48.0,  +280.0
1719847680, +3.52, +28.460,   +14.8, +1235.0,   -40.0,  +256.0
1719848280, +3.52, +28.452,   +12.7, +1235.0,   -16.0,  +268.0
1719848880, +3.52, +28.460,    +9.6, +1240.0,   -47.0,  +256.0
1719849480, +3.52, +28.468,    +9.3, +1238.0,   -48.0,  +248.0
1719850080, +3.52, +28.476,    +5.3, +1236.0,   -31.0,  +256.0
1719850680, +3.52, +28.484,    +3.9, +1235.0,   -20.0,  +272.0
1719851280, +3.52, +28.492,    +2.9, +1235.0,    +4.0,  +272.0
1719851880, +3.52, +28.492,    +1.7, +1239.0,   -31.0,  +232.0
1719852480, +3.52, +28.509,    +1.0, +1200.0,   -40.0,  +408.0
1719853080, +3.52, +28.517,    +0.5, +1240.0,   -16.0,  +248.0
1719853680, +3.52, +28.525,    +0.0, +1238.0,   -32.0,  +260.0
1719854280, +3.52, +28.509,    +0.0, +1196.0,   -18.0,  +416.0
1719854880, +3.52, +28.533,    +0.1, +1240.0,   -24.0,  +256.0
1719855480, +3.52, +28.533,    -0.1, +1235.0,   -29.0,  +264.0
1719856080, +3.52, +28.533,    -0.0, +1196.0,   -40.0,  +424.0
1719856680, +3.52, +28.542,    -0.0, +1238.0,   -24.0,  +230.0
1719857280, +3.52, +28.558,    +0.0, +1200.0,   -52.0,  +396.0
1719857880, +3.52, +28.566,    -0.0, +1238.0,   -48.0,  +248.0
1719858480, +3.52, +28.566,    -0.1, +1238.0,   -26.0,  +249.0
1719859080, +3.52, +28.558,    +0.0, +1239.0,   -40.0,  +246.0
1719859680, +3.52, +28.574,    -0.0, +1238.0,   -52.0,  +268.0
1719860280, +3.52, +28.574,    -0.0, +1235.0,   -24.0,  +252.0
1719860880, +3.52, +28.591,    -0.1, +1236.0,   -40.0,  +256.0
1719861480, +3.52, +28.591,    -0.1, +1238.0,   -16.0,  +270.0
1719862080, +3.52, +28.599,    -0.0, +1236.0,   -16.0,  +252.0
1719862680, +3.52, +28.599,    -0.1, +1238.0,   -36.0,  +259.0
1719863280, +3.52, +28.607,    +0.0, +1239.0,   -40.0,  +240.0
1719863880, +3.52, +28.615,    -0.0, +1239.0,   -24.0,  +240.0
1719864480, +3.52, +28.615,    -0.1, +1240.0,   -40.0,  +252.0
1719865080, +3.52, +28.615,    +0.1, +1235.0,   -45.0,  +294.0
1719865680, +3.52, +28.615,    -0.0, +1236.0,   -45.0,  +262.0
1719866280, +3.52, +28.509,    -0.1, +1199.0,   -23.0,  +416.0
1719866880, +3.52, +28.320,    +0.0, +1235.0,   -32.0,  +260.0
1719867480, +3.52, +28.304,    -0.1, +1235.0,   -48.0,  +265.0
1719868080, +3.52, +28.345,    -0.1, +1238.0,   -40.0,  +256.0
1719868680, +3.52, +28.370,    -0.0, +1240.0,   -56.0,  +223.0
1719869280, +3.52, +28.353,    +0.0, +1240.0,   -16.0,  +236.0
1719869880, +3.52, +28.320,    -0.0, +1236.0,   -24.0,  +262.0
1719870480, +3.52, +28.312,    -0.1, +1235.0,    -8.0,  +262.0
1719871080, +3.52, +28.222,    +0.0, +1203.0,   -60.0,  +399.0
1719871680, +3.52, +28.165,    -0.1, +1200.0,   -20.0,  +392.0
1719872280, +3.52, +28.115,    -0.0, +1240.0,   -32.0,  +263.0
1719872880, +3.52, +28.091,    +0.0, +1204.0,   -32.0,  +374.0
1719873480, +3.52, +28.066,    +0.1, +1203.0,   -93.0,  +408.0
1719874080, +3.52, +28.050,    +0.0, +1235.0,    +4.0,  +268.0
1719874680, +3.52, +28.042,    -0.0, +1204.0,   -40.0,  +384.0
1719875280, +3.52, +28.017,    -0.1, +1201.0,   -16.0,  +396.0
1719875880, +3.52, +28.009,    -0.1, +1200.0,   -40.0,  +398.0
1719876480, +3.52, +28.000,    -0.1, +1203.0,   -50.0,  +384.0
1719877080, +3.52, +27.984,    -0.0, +1201.0,   -45.0,  +372.0
1719877680, +3.52, +27.951,    -0.2, +1198.0,    +3.0,  +378.0
1719878280, +3.52, +27.935,    -0.1, +1238.0,   -48.0,  +207.0
1719878880, +3.52, +27.935,    -0.0, +1200.0,    +0.0,  +384.0
1719879480, +3.52, +27.918,    -0.0, +1206.0,    -8.0,  +376.0
1719880080, +3.52, +27.894,    -0.1, +1206.0,   -29.0,  +390.0
1719880680, +3.52, +27.861,    -0.1, +1203.0,   -68.0,  +384.0
1719881280, +3.52, +27.853,    +0.1, +1203.0,   -32.0,  +404.0
1719881880, +3.52, +27.836,    -0.0, +1208.0,   -40.0,  +368.0
1719882480, +3.52, +27.795,    -0.1, +1206.0,   -45.0,  +371.0
