7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1722173880, +3.52, +30.296,   +18.8, +1233.0,   -29.0,  +307.0
1722174480, +3.52, +30.296,   +42.8, +1219.0,   -28.0,  +408.0
1722175080, +3.52, +30.312,   +39.4, +1230.0,   -16.0,  +312.0
1722175680, +3.52, +30.336,   +34.2, +1222.0,   -52.0,  +388.0
1722176280, +3.52, +30.336,   +32.8, +1224.0,   -52.0,  +352.0
1722176880, +3.52, +30.344,   +29.2, +1223.0,   -52.0,  +355.0
1722177480, +3.52, +30.352,   +27.1, +1228.0,   -80.0,  +344.0
1722178080, +3.52, +30.352,   +22.2, +1225.0,   +24.0,  +354.0
1722178680, +3.52, +30.344,   +20.5, +1232.0,   -58.0,  +332.0
1722179280, +3.52, +30.328,   +18.7, +1231.0,   -29.0,  +323.0
1722179880, +3.52, +30.336,   +15.0, +1224.0,   -16.0,  +352.0
1722180480, +3.52, +30.352,   +13.7, +1232.0,   -64.0,  +332.0
1722181080, +3.52, +30.344,   +11.0, +1223.0,   -40.0,  +364.0
1722181680, +3.52, +30.360,    +9.0, +1225.0,   -48.0,  +368.0
1722182280, +3.52, +30.368,    +7.0, +1227.0,    +0.0,  +318.0
1722182880, +3.52, +30.360,    +5.3, +1225.0,    +8.0,  +318.0
1722183480, +3.52, +30.336,    +3.9, +1231.0,   -20.0,  +295.0
1722184080, +3.52, +30.336,    +2.4, +1231.0,   -20.0,  +320.0
1722184680, +3.52, +30.328,    +1.2, +1228.0,   -26.0,  +312.0
1722185280, +3.52, +30.336,    +0.5, +1228.0,   -40.0,  +334.0
1722185880, +3.52, +30.328,    +0.1, +1228.0,   -16.0,  +312.0
1722186480, +3.52, +30.320,    -0.1, +1230.0,    -8.0,  +308.0
1722187080, +3.52, +30.304,    +0.0, +1224.0,   -16.0,  +332.0
1722187680, +3.52, +30.288,    -0.0, +1228.0,   -44.0,  +332.0
1722188280, +3.52, +30.263,    -0.1, +1230.0,   -16.0,  +304.0
1722188880, +3.52, +30.231,    -0.0, +1235.0,   -16.0,  +270.0
1722189480, +3.52, +30.215,    -0.0, +1230.0,    +7.0,  +294.0
1722190080, +3.52, +30.223,    +0.0, +1230.0,    +4.0,  +296.0
1722190680, +3.52, +30.207,    +0.1, +1230.0,   -36.0,  +300.0
1722191280, +3.52, +30.199,    +0.0, +1228.0,    -8.0,  +314.0
1722191880, +3.52, +30.231,    +0.1, +1232.0,    +0.0,  +288.0
1722192480, +3.52, +30.247,    +0.0, +1231.0,   -18.0,  +288.0
1722193080, +3.52, +30.239,    -0.1, +1222.0,   -16.0,  +352.0
1722193680, +3.52, +30.239,    -0.1, +1224.0,   -16.0,  +334.0
1722194280, +3.52, +30.207,    -0.1, +1231.0,    +0.0,  +288.0
