7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1720520880, +3.52, +29.137,  +179.5, +1235.0,   -16.0,  +270.0
1720521480, +3.52, +29.146,  +180.7, +1236.0,   -16.0,  +256.0
1720522080, +3.52, +29.137,  +183.4, +1235.0,   -16.0,  +240.0
1720522680, +3.52, +29.154,  +185.5, +1238.0,   -32.0,  +264.0
1720523280, +3.52, +29.162,  +187.9, +1235.0,    +0.0,  +248.0
1720523880, +3.52, +29.170,  +193.0, +1233.0,   -10.0,  +248.0
1720524480, +3.52, +29.170,  +196.8, +1233.0,    +8.0,  +243.0
1720525080, +3.52, +29.178,  +191.4, +1235.0,   -40.0,  +264.0
1720525680, +3.52, +29.203,  +189.9, +1238.0,   -44.0,  +256.0
1720526280, +3.52, +29.219,  +179.8, +1235.0,   -48.0,  +284.0
1720526880, +3.52, +29.227,  +174.5, +1235.0,   -32.0,  +288.0
1720527480, +3.52, +29.235,  +167.5, +1233.0,    -8.0,  +268.0
1720528080, +3.52, +29.251,  +157.7, +1236.0,    -8.0,  +246.0
1720528680, +3.52, +29.251,  +153.9, +1235.0,    +8.0,  +243.0
1720529280, +3.52, +29.268,  +144.4, +1233.0,   -12.0,  +275.0
1720529880, +3.52, +29.284,  +136.9, +1233.0,   -56.0,  +304.0
1720530480, +3.52, +29.300,  +125.3, +1232.0,   -16.0,  +280.0
1720531080, +3.52, +29.308,  +121.6, +1235.0,   -16.0,  +264.0
1720531680, +3.52, +29.333,  +113.3, +1232.0,   -24.0,  +296.0
1720532280, +3.52, +29.341,  +102.7, +1235.0,    +0.0,  +240.0
1720532880, +3.52, +29.349,   +95.6, +1232.0,   -32.0,  +280.0
1720533480, +3.52, +29.357,   +87.2, +1232.0,   +41.0,  +240.0
1720534080, +3.52, +29.357,   +78.9, +1232.0,   -16.0,  +272.0
1720534680, +3.52, +29.349,   +70.5, +1236.0,   -28.0,  +248.0
1720535280, +3.52, +29.260,   +62.9, +1232.0,   -16.0,  +248.0
1720535880, +3.52, +28.983,   +21.7, +1240.0,   -44.0,  +262.0
1720536480, +3.52, +28.803,   +47.8, +1238.0,   -28.0,  +240.0
1720537080, +3.52, +28.591,   +41.6, +1238.0,   -16.0,  +224.0
1720537680, +3.52, +28.501,   +38.1, +1238.0,    +6.0,  +227.0
1720538280, +3.52, +28.582,   +32.5, +1238.0,   -20.0,  +252.0
1720538880, +3.52, +28.664,   +27.1, +1240.0,   -42.0,  +240.0
1720539480, +3.52, +28.754,   +22.5, +1235.0,    +0.0,  +248.0
1720540080, +3.52, +28.795,   +18.6, +1238.0,    +4.0,  +227.0
1720540680, +3.52, +28.713,   +14.9, +1238.0,    +8.0,  +246.0
1720541280, +3.52, +28.640,   +11.1, +1240.0,   -42.0,  +240.0
1720541880, +3.52, +28.656,    +7.6, +1240.0,   -20.0,  +230.0
1720542480, +3.52, +28.632,    +6.0, +1236.0,    +0.0,  +262.0
1720543080, +3.52, +28.640,    +4.0, +1236.0,   -28.0,  +240.0
1720543680, +3.52, +28.640,    +2.1, +1239.0,    -8.0,  +224.0
1720544280, +3.52, +28.615,    +0.8, +1238.0,   -24.0,  +256.0
1720544880, +3.52, +28.672,    +0.2, +1240.0,   -48.0,  +240.0
1720545480, +3.52, +28.697,    -0.0, +1238.0,   -24.0,  +240.0
1720546080, +3.52, +28.713,    -0.1, +1238.0,   -12.0,  +236.0
1720546680, +3.52, +28.730,    +0.0, +1238.0,   -32.0,  +256.0
1720547280, +3.52, +28.738,    -0.0, +1235.0,   -12.0,  +248.0
1720547880, +3.52, +28.762,    -0.0, +1236.0,   -25.0,  +256.0
1720548480, +3.52, +28.770,    -0.0, +1235.0,   -20.0,  +256.0
