7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1719389880, +3.52, +27.853,  +107.0, +1241.0,   -24.0,  +208.0
1719390480, +3.52, +27.836,  +106.4, +1208.0,   -25.0,  +356.0
1719391080, +3.52, +27.828,   +92.6, +1204.0,   -16.0,  +360.0
1719391680, +3.52, +27.787,  +106.1, +1240.0,   -16.0,  +207.0
1719392280, +3.52, +27.672,   +72.6, +1207.0,   -16.0,  +359.0
1719392880, +3.52, +27.803,  +115.0, +1204.0,   -25.0,  +371.0
1719393480, +3.52, +27.869,  +118.5, +1206.0,   -12.0,  +364.0
1719394080, +3.52, +27.877,   +56.9, +1240.0,    -8.0,  +211.0
1719394680, +3.52, +27.746,   +70.9, +1208.0,   -16.0,  +355.0
1719395280, +3.52, +27.490,   +59.7, +1206.0,   -24.0,  +355.0
1719395880, +3.52, +27.416,  +123.8, +1208.0,   -20.0,  +356.0
1719396480, +3.52, +27.359,   +56.0, +1208.0,   -20.0,  +355.0
1719397080, +3.52, +27.375,   +52.6, +1208.0,   -25.0,  +352.0
1719397680, +3.52, +27.400,   +45.5, +1208.0,   -45.0,  +359.0
1719398280, +3.52, +27.433,  +106.7, +1208.0,   -24.0,  +352.0
1719398880, +3.52, +27.499,  +100.4, +1208.0,   -28.0,  +355.0
1719399480, +3.52, +27.556,   +95.8, +1208.0,   -42.0,  +364.0
1719400080, +3.52, +27.680,   +93.5, +1208.0,   -29.0,  +354.0
1719400680, +3.52, +27.663,   +87.8, +1208.0,   -20.0,  +359.0
1719401280, +3.52, +27.490,   +65.4, +1207.0,   -20.0,  +352.0
1719401880, +3.52, +27.449,   +44.0, +1206.0,   -26.0,  +354.0
1719402480, +3.52, +27.416,   +75.8, +1208.0,   -16.0,  +355.0
1719403080, +3.52, +27.457,   +73.5, +1240.0,   -14.0,  +215.0
1719403680, +3.52, +27.499,   +65.1, +1209.0,   -13.0,  +359.0
1719404280, +3.52, +27.416,   +61.2, +1208.0,   -25.0,  +352.0
1719404880, +3.52, +27.293,   +60.0, +1208.0,   -24.0,  +358.0
1719405480, +3.52, +27.202,   +59.8, +1209.0,   -36.0,  +359.0
1719406080, +3.52, +27.111,   +57.4, +1209.0,   -16.0,  +352.0
1719406680, +3.52, +27.045,   +51.9, +1208.0,   -20.0,  +359.0
1719407280, +3.52, +26.979,   +47.1, +1212.0,   -29.0,  +344.0
1719407880, +3.52, +26.929,   +45.7, +1212.0,   -16.0,  +352.0
1719408480, +3.52, +26.954,   +42.3, +1209.0,   -16.0,  +348.0
1719409080, +3.52, +26.913,   +40.7, +1212.0,   -16.0,  +355.0
1719409680, +3.52, +27.086,   +41.0, +1209.0,   -24.0,  +355.0
1719410280, +3.52, +26.987,   +35.1, +1212.0,   -20.0,  +345.0
1719410880, +3.52, +26.921,   +32.8, +1208.0,   -20.0,  +352.0
1719411480, +3.52, +26.880,   +29.2, +1211.0,   -26.0,  +352.0
1719412080, +3.52, +26.814,   +26.0, +1209.0,   -16.0,  +359.0
1719412680, +3.52, +26.888,   +23.1, +1212.0,   -32.0,  +364.0
1719413280, +3.52, +26.921,   +21.4, +1211.0,   -20.0,  +352.0
1719413880, +3.52, +26.995,   +18.4, +1212.0,   -16.0,  +354.0
1719414480, +3.52, +27.094,   +16.1, +1208.0,   -26.0,  +358.0
1719415080, +3.52, +27.210,   +13.5, +1209.0,   -44.0,  +368.0
1719415680, +3.52, +27.293,   +12.0, +1208.0,   -25.0,  +368.0
1719416280, +3.52, +27.317,    +9.5, +1208.0,   -39.0,  +368.0
1719416880, +3.52, +27.342,    +8.4, +1208.0,    -8.0,  +372.0
1719417480, +3.52, +27.400,    +6.9, +1208.0,   -20.0,  +364.0
1719418080, +3.52, +27.433,    +5.8, +1208.0,   -32.0,  +368.0
1719418680, +3.52, +27.441,    +4.2, +1206.0,   -16.0,  +355.0
1719419280, +3.52, +27.457,    +2.9, +1244.0,   -25.0,  +223.0
1719419880, +3.52, +27.474,    +1.7, +1208.0,   -16.0,  +364.0
1719420480, +3.52, +27.507,    +0.9, +1209.0,   -29.0,  +384.0
1719421080, +3.52, +27.507,    +0.3, +1206.0,   -12.0,  +364.0
