7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1727480880, +3.50, +28.000,    -0.0, +1156.0,   -21.0,  +440.0
1727481480, +3.50, +28.000,    +0.0, +1176.0,    -4.0,  +440.0
1727482080, +3.50, +28.017,    -0.1, +1139.0,   -24.0,  +448.0
1727482680, +3.50, +28.058,    +0.0, +1243.0,   -16.0,  +257.0
1727483280, +3.50, +28.074,    -0.1, +1240.0,    +0.0,  +248.0
1727483880, +3.50, +28.083,    -0.1, +1136.0,   -32.0,  +448.0
1727484480, +3.50, +28.074,    -0.0, +1139.0,   -48.0,  +444.0
1727485080, +3.50, +28.066,    -0.1, +1244.0,   -12.0,  +232.0
1727485680, +3.50, +28.074,    +0.1, +1238.0,   -24.0,  +280.0
1727486280, +3.50, +28.091,    -0.1, +1244.0,   -10.0,  +239.0
1727486880, +3.50, +28.074,    -0.1, +1244.0,    -4.0,  +243.0
1727487480, +3.50, +28.083,    -0.0, +1248.0,    -9.0,  +239.0
1727488080, +3.50, +28.083,    -0.0, +1151.0,   -48.0,  +440.0
1727488680, +3.50, +28.083,    -0.0, +1238.0,   -10.0,  +270.0
1727489280, +3.50, +28.083,    -0.1, +1176.0,   -40.0,  +432.0
1727489880, +3.50, +28.091,    +0.0, +1139.0,   -50.0,  +432.0
1727490480, +3.50, +28.107,    +0.0, +1139.0,   -24.0,  +433.0
1727491080, +3.50, +28.115,    +0.1, +1144.0,   -30.0,  +444.0
1727491680, +3.50, +28.091,    +0.0, +1139.0,   -36.0,  +435.0
1727492280, +3.50, +28.099,    +0.0, +1240.0,    +0.0,  +252.0
1727492880, +3.50, +28.107,    -0.0, +1240.0,   -16.0,  +248.0
1727493480, +3.50, +28.124,    +0.0, +1240.0,   -31.0,  +248.0
1727494080, +3.50, +28.132,    +0.0, +1139.0,   -48.0,  +432.0
1727494680, +3.50, +28.148,    +0.3, +1139.0,   -36.0,  +440.0
1727495280, +3.50, +28.156,    +1.0, +1155.0,   -36.0,  +440.0
1727495880, +3.50, +28.173,    +2.0, +1161.0,   -40.0,  +440.0
1727496480, +3.50, +28.173,    +3.4, +1144.0,   -40.0,  +435.0
1727497080, +3.50, +28.181,    +5.0, +1158.0,   -16.0,  +436.0
1727497680, +3.50, +28.197,    +6.5, +1151.0,   -40.0,  +432.0
1727498280, +3.50, +28.206,    +7.6, +1240.0,    +0.0,  +248.0
1727498880, +3.50, +28.230,   +10.7, +1243.0,   -12.0,  +232.0
1727499480, +3.50, +28.222,   +16.8, +1144.0,   -61.0,  +440.0
1727500080, +3.50, +28.181,   +12.7, +1139.0,   -48.0,  +425.0
1727500680, +3.50, +28.173,   +25.6, +1151.0,   -28.0,  +432.0
1727501280, +3.50, +28.148,   +32.5, +1172.0,   -50.0,  +432.0
1727501880, +3.50, +28.099,   +37.0, +1161.0,   -32.0,  +432.0
1727502480, +3.50, +28.099,   +41.5, +1148.0,   -40.0,  +432.0
1727503080, +3.50, +28.083,   +45.7, +1151.0,   -28.0,  +432.0
1727503680, +3.50, +28.091,   +50.3, +1164.0,   -56.0,  +440.0
1727504280, +3.50, +28.099,   +53.2, +1183.0,   -64.0,  +428.0
1727504880, +3.50, +28.107,   +55.9, +1185.0,   -44.0,  +428.0
1727505480, +3.50, +28.115,   +59.6, +1167.0,   -45.0,  +430.0
1727506080, +3.50, +28.124,   +63.5, +1158.0,   -56.0,  +419.0
1727506680, +3.50, +28.140,   +60.3, +1159.0,   -32.0,  +428.0
1727507280, +3.50, +28.124,   +62.8, +1148.0,   -52.0,  +432.0
1727507880, +3.50, +28.148,   +64.3, +1145.0,   -42.0,  +420.0
1727508480, +3.50, +28.148,   +63.0, +1169.0,   -64.0,  +430.0
1727509080, +3.50, +28.156,   +60.5, +1171.0,   -60.0,  +432.0
1727509680, +3.50, +28.156,   +56.2, +1241.0,   -32.0,  +224.0
1727510280, +3.50, +28.181,   +59.2, +1185.0,   -48.0,  +423.0
1727510880, +3.50, +28.197,   +53.2, +1148.0,   -42.0,  +428.0
1727511480, +3.50, +28.206,   +51.1, +1174.0,   -52.0,  +428.0
1727512080, +3.50, +28.214,   +48.1, +1167.0,   -36.0,  +416.0
