7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1723565880, +3.52, +30.424,    +0.9, +1160.0,   -48.0,  +454.0
1723566480, +3.52, +30.440,    +0.4, +1166.0,   -44.0,  +438.0
1723567080, +3.52, +30.456,    +0.1, +1156.0,   -44.0,  +454.0
1723567680, +3.52, +30.464,    -0.0, +1238.0,    +4.0,  +239.0
1723568280, +3.52, +30.480,    -0.1, +1238.0,   -25.0,  +248.0
1723568880, +3.52, +30.497,    +0.1, +1240.0,   -10.0,  +239.0
1723569480, +3.52, +30.472,    -0.0, +1148.0,   -48.0,  +428.0
1723570080, +3.52, +30.215,    -0.0, +1190.0,   -16.0,  +406.0
1723570680, +3.52, +30.021,    -0.0, +1180.0,   -29.0,  +416.0
1723571280, +3.52, +29.908,    -0.1, +1168.0,   -45.0,  +416.0
1723571880, +3.52, +29.827,    -0.0, +1223.0,   -16.0,  +320.0
1723572480, +3.52, +29.836,    +0.0, +1231.0,   -16.0,  +286.0
1723573080, +3.52, +29.884,    -0.1, +1183.0,   -26.0,  +416.0
1723573680, +3.52, +29.997,    +0.0, +1180.0,   -29.0,  +423.0
1723574280, +3.52, +29.997,    +0.1, +1191.0,   -32.0,  +416.0
1723574880, +3.52, +30.054,    -0.1, +1171.0,   -12.0,  +451.0
1723575480, +3.52, +30.054,    -0.0, +1177.0,   -32.0,  +432.0
1723576080, +3.52, +30.030,    -0.0, +1177.0,   -40.0,  +419.0
1723576680, +3.52, +29.925,    -0.0, +1208.0,   -16.0,  +390.0
1723577280, +3.52, +29.819,    -0.1, +1200.0,   -23.0,  +414.0
1723577880, +3.52, +29.763,    -0.0, +1208.0,   -32.0,  +376.0
1723578480, +3.52, +29.633,    +0.0, +1219.0,    -8.0,  +323.0
1723579080, +3.52, +29.617,    -0.0, +1232.0,   -20.0,  +286.0
1723579680, +3.52, +29.576,    -0.0, +1231.0,   -16.0,  +288.0
1723580280, +3.52, +29.495,    +0.0, +1232.0,    -8.0,  +268.0
1723580880, +3.52, +29.463,    -0.0, +1228.0,    -8.0,  +296.0
1723581480, +3.52, +29.503,    -0.1, +1233.0,   -16.0,  +276.0
1723582080, +3.52, +29.495,    -0.0, +1235.0,   -16.0,  +264.0
1723582680, +3.52, +29.447,    +0.0, +1231.0,    +0.0,  +288.0
1723583280, +3.52, +29.471,    -0.1, +1231.0,    +6.0,  +288.0
1723583880, +3.52, +29.625,    -0.1, +1228.0,   -16.0,  +304.0
1723584480, +3.52, +29.641,    -0.1, +1224.0,    -8.0,  +318.0
1723585080, +3.52, +29.763,    -0.1, +1219.0,   -26.0,  +338.0
1723585680, +3.52, +29.698,    +0.0, +1227.0,    +1.0,  +302.0
1723586280, +3.52, +29.552,    +0.0, +1176.0,   -42.0,  +417.0
1723586880, +3.52, +29.544,    +0.1, +1231.0,    +0.0,  +275.0
1723587480, +3.52, +29.528,    -0.0, +1232.0,   -20.0,  +272.0
1723588080, +3.52, +29.479,    -0.0, +1230.0,    +0.0,  +280.0
1723588680, +3.52, +29.536,    -0.1, +1232.0,   -28.0,  +275.0
1723589280, +3.52, +29.690,    -0.1, +1212.0,   -18.0,  +358.0
1723589880, +3.52, +29.730,    +0.0, +1223.0,    +0.0,  +320.0
1723590480, +3.52, +29.552,    +0.0, +1169.0,   -36.0,  +419.0
1723591080, +3.52, +29.495,    +0.0, +1233.0,    +0.0,  +272.0
1723591680, +3.52, +29.682,    -0.0, +1228.0,   -20.0,  +307.0
