MiniDOT Logger Concatenated Data File								
Sensor:             7530-479402								
Concatenation Date: 2025Jan14 07:21:23 IST								
								
								
            Unix Timestamp	               UTC_Date_&_Time	          Israel Standard Time	       Battery	   Temperature	           PAR	  Acceleration X	  Acceleration Y	  Acceleration Z
                  (Second)	                        (none)	                        (none)	        (Volt)	       (deg C)	 (umol/(s m^2)	             (g)	             (g)	             (g)
1718867880	           2024-06-20 07:18:00	           2024-06-20 10:18:00	3.49	28.337	125.6	-524	-400	-620
1718868480	           2024-06-20 07:28:00	           2024-06-20 10:28:00	3.49	29.235	0	-856	1028	24
1718869080	           2024-06-20 07:38:00	           2024-06-20 10:38:00	3.49	27.342	124.5	1212	-29	348
1718869680	           2024-06-20 07:48:00	           2024-06-20 10:48:00	3.49	26.78	125.6	1212	-20	348
1718870280	           2024-06-20 07:58:00	           2024-06-20 10:58:00	3.49	26.632	128.3	1216	-20	344
1718870880	           2024-06-20 08:08:00	           2024-06-20 11:08:00	3.49	26.59	129.1	1214	-26	348
1718871480	           2024-06-20 08:18:00	           2024-06-20 11:18:00	3.49	26.59	132.6	1208	-24	358
1718872080	           2024-06-20 08:28:00	           2024-06-20 11:28:00	3.49	26.607	136.5	1216	-24	344
1718872680	           2024-06-20 08:38:00	           2024-06-20 11:38:00	3.49	26.623	138.9	1216	-29	336
1718873280	           2024-06-20 08:48:00	           2024-06-20 11:48:00	3.49	26.64	138.8	1214	-26	344
1718873880	           2024-06-20 08:58:00	           2024-06-20 11:58:00	3.49	26.648	138.3	1212	-24	344
1718874480	           2024-06-20 09:08:00	           2024-06-20 12:08:00	3.49	26.648	136.3	1211	-20	348
1718875080	           2024-06-20 09:18:00	           2024-06-20 12:18:00	3.49	26.64	136.7	1216	-32	348
1718875680	           2024-06-20 09:28:00	           2024-06-20 12:28:00	3.5	26.656	135.8	1211	-16	352
1718876280	           2024-06-20 09:38:00	           2024-06-20 12:38:00	3.5	26.681	133.7	1214	-10	348
1718876880	           2024-06-20 09:48:00	           2024-06-20 12:48:00	3.5	26.689	132.1	1212	-24	344
1718877480	           2024-06-20 09:58:00	           2024-06-20 12:58:00	3.5	26.665	131.1	1212	-26	344
1718878080	           2024-06-20 10:08:00	           2024-06-20 13:08:00	3.5	26.656	128	1209	-16	344
1718878680	           2024-06-20 10:18:00	           2024-06-20 13:18:00	3.5	26.64	126.9	1212	-24	348
1718879280	           2024-06-20 10:28:00	           2024-06-20 13:28:00	3.5	26.648	125.5	1214	-29	342
1718879880	           2024-06-20 10:38:00	           2024-06-20 13:38:00	3.5	26.681	123.4	1214	-32	344
1718880480	           2024-06-20 10:48:00	           2024-06-20 13:48:00	3.5	26.673	124.3	1214	-29	348
1718881080	           2024-06-20 10:58:00	           2024-06-20 13:58:00	3.5	26.665	124	1212	-24	344
1718881680	           2024-06-20 11:08:00	           2024-06-20 14:08:00	3.5	26.673	124.4	1214	-26	344
1718882280	           2024-06-20 11:18:00	           2024-06-20 14:18:00	3.5	26.665	125.3	1214	-29	342
1718882880	           2024-06-20 11:28:00	           2024-06-20 14:28:00	3.5	26.681	125.1	1214	-29	336
1718883480	           2024-06-20 11:38:00	           2024-06-20 14:38:00	3.5	26.656	122.1	1214	-24	335
1718884080	           2024-06-20 11:48:00	           2024-06-20 14:48:00	3.5	26.656	122.3	1212	-20	348
1718884680	           2024-06-20 11:58:00	           2024-06-20 14:58:00	3.5	26.665	120.7	1212	-16	342
1718885280	           2024-06-20 12:08:00	           2024-06-20 15:08:00	3.5	26.673	118.2	1214	-23	339
1718885880	           2024-06-20 12:18:00	           2024-06-20 15:18:00	3.5	26.689	115.6	1212	-20	344
1718886480	           2024-06-20 12:28:00	           2024-06-20 15:28:00	3.5	26.731	112.8	1212	-32	352
1718887080	           2024-06-20 12:38:00	           2024-06-20 15:38:00	3.5	26.888	107	1209	-16	352
1718887680	           2024-06-20 12:48:00	           2024-06-20 15:48:00	3.5	26.938	100.6	1208	-26	355
1718888280	           2024-06-20 12:58:00	           2024-06-20 15:58:00	3.5	26.971	95.9	1211	-15	344
1718888880	           2024-06-20 13:08:00	           2024-06-20 16:08:00	3.5	26.979	88.3	1208	-16	352
1718889480	           2024-06-20 13:18:00	           2024-06-20 16:18:00	3.5	26.971	82.6	1212	-24	352
1718890080	           2024-06-20 13:28:00	           2024-06-20 16:28:00	3.5	26.971	77.3	1207	-15	352
1718890680	           2024-06-20 13:38:00	           2024-06-20 16:38:00	3.5	26.971	49.5	1212	-15	344
1718891280	           2024-06-20 13:48:00	           2024-06-20 16:48:00	3.5	26.971	65.7	1212	-26	352
1718891880	           2024-06-20 13:58:00	           2024-06-20 16:58:00	3.5	26.962	54.2	1214	-20	352
1718892480	           2024-06-20 14:08:00	           2024-06-20 17:08:00	3.5	26.962	51.6	1209	-16	352
1718893080	           2024-06-20 14:18:00	           2024-06-20 17:18:00	3.5	26.938	44.5	1209	0	346
1718893680	           2024-06-20 14:28:00	           2024-06-20 17:28:00	3.5	26.904	41.4	1212	-32	352
1718894280	           2024-06-20 14:38:00	           2024-06-20 17:38:00	3.51	26.904	35.2	1209	-12	344
1718894880	           2024-06-20 14:48:00	           2024-06-20 17:48:00	3.5	26.888	34	1212	-16	344
1718895480	           2024-06-20 14:58:00	           2024-06-20 17:58:00	3.5	26.896	28.2	1209	-20	348
1718896080	           2024-06-20 15:08:00	           2024-06-20 18:08:00	3.5	26.921	19.1	1212	-20	348
1718896680	           2024-06-20 15:18:00	           2024-06-20 18:18:00	3.5	26.921	27.3	1212	-24	352
1718897280	           2024-06-20 15:28:00	           2024-06-20 18:28:00	3.51	26.904	17.1	1212	-16	340
1718897880	           2024-06-20 15:38:00	           2024-06-20 18:38:00	3.51	26.88	13.8	1212	-13	342
1718898480	           2024-06-20 15:48:00	           2024-06-20 18:48:00	3.51	26.805	14.3	1212	0	337
1718899080	           2024-06-20 15:58:00	           2024-06-20 18:58:00	3.51	26.64	10.1	1215	-13	340
1718899680	           2024-06-20 16:08:00	           2024-06-20 19:08:00	3.51	26.615	8.5	1211	-16	332
1718900280	           2024-06-20 16:18:00	           2024-06-20 19:18:00	3.51	26.466	6.2	1212	-8	334
1718900880	           2024-06-20 16:28:00	           2024-06-20 19:28:00	3.51	26.358	4.1	1212	-20	339
1718901480	           2024-06-20 16:38:00	           2024-06-20 19:38:00	3.51	26.333	2.5	1214	0	334
1718902080	           2024-06-20 16:48:00	           2024-06-20 19:48:00	3.51	26.143	1.1	1212	-13	332
1718902680	           2024-06-20 16:58:00	           2024-06-20 19:58:00	3.51	25.736	0.4	1216	0	323
1718903280	           2024-06-20 17:08:00	           2024-06-20 20:08:00	3.51	25.919	0.2	1216	-13	316
1718903880	           2024-06-20 17:18:00	           2024-06-20 20:18:00	3.51	25.96	0	1216	0	326
1718904480	           2024-06-20 17:28:00	           2024-06-20 20:28:00	3.51	25.861	0	1216	-8	321
1718905080	           2024-06-20 17:38:00	           2024-06-20 20:38:00	3.51	25.902	-0.1	1209	6	323
1718905680	           2024-06-20 17:48:00	           2024-06-20 20:48:00	3.51	25.919	0	1212	-16	330
1718906280	           2024-06-20 17:58:00	           2024-06-20 20:58:00	3.51	26.101	-0.1	1214	-13	328
1718906880	           2024-06-20 18:08:00	           2024-06-20 21:08:00	3.51	26.035	-0.1	1212	-16	328
1718907480	           2024-06-20 18:18:00	           2024-06-20 21:18:00	3.51	25.803	-0.1	1216	6	320
1718908080	           2024-06-20 18:28:00	           2024-06-20 21:28:00	3.51	25.844	-0.1	1216	-16	335
1718908680	           2024-06-20 18:38:00	           2024-06-20 21:38:00	3.51	25.969	0	1216	-16	323
1718909280	           2024-06-20 18:48:00	           2024-06-20 21:48:00	3.51	26.06	0	1216	-24	334
1718909880	           2024-06-20 18:58:00	           2024-06-20 21:58:00	3.51	26.101	0	1212	-20	336
1718910480	           2024-06-20 19:08:00	           2024-06-20 22:08:00	3.51	26.101	0	1216	-16	323
1718911080	           2024-06-20 19:18:00	           2024-06-20 22:18:00	3.51	25.977	0	1216	-13	329
1718911680	           2024-06-20 19:28:00	           2024-06-20 22:28:00	3.51	25.969	0	1212	-12	328
1718912280	           2024-06-20 19:38:00	           2024-06-20 22:38:00	3.51	25.985	-0.1	1212	-20	332
1718912880	           2024-06-20 19:48:00	           2024-06-20 22:48:00	3.51	26.002	0	1216	-8	328
1718913480	           2024-06-20 19:58:00	           2024-06-20 22:58:00	3.51	26.052	0	1216	-20	327
1718914080	           2024-06-20 20:08:00	           2024-06-20 23:08:00	3.51	25.96	-0.1	1212	-24	332
1718914680	           2024-06-20 20:18:00	           2024-06-20 23:18:00	3.51	25.852	-0.1	1216	-23	328
1718915280	           2024-06-20 20:28:00	           2024-06-20 23:28:00	3.51	25.811	-0.1	1216	-16	324
1718915880	           2024-06-20 20:38:00	           2024-06-20 23:38:00	3.51	25.886	0	1216	-10	326
1718916480	           2024-06-20 20:48:00	           2024-06-20 23:48:00	3.51	25.886	0	1216	-20	329
