7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1723391880, +3.52, +30.126,    +2.8, +1196.0,   -18.0,  +435.0
1723392480, +3.52, +30.191,    +2.0, +1200.0,   -32.0,  +430.0
1723393080, +3.52, +30.199,    +1.3, +1184.0,   -64.0,  +436.0
1723393680, +3.52, +30.207,    +0.7, +1180.0,   -36.0,  +454.0
1723394280, +3.52, +30.279,    +0.3, +1176.0,   -74.0,  +457.0
1723394880, +3.52, +30.336,    -0.0, +1144.0,   -50.0,  +480.0
1723395480, +3.52, +30.384,    +0.1, +1150.0,   -44.0,  +448.0
1723396080, +3.52, +30.424,    +0.0, +1144.0,   -40.0,  +472.0
1723396680, +3.52, +30.472,    -0.1, +1235.0,   -16.0,  +272.0
1723397280, +3.52, +30.553,    -0.0, +1232.0,    +0.0,  +296.0
1723397880, +3.52, +30.577,    +0.1, +1134.0,   -48.0,  +468.0
1723398480, +3.52, +30.545,    -0.0, +1233.0,   -13.0,  +291.0
1723399080, +3.52, +30.537,    -0.0, +1235.0,   -32.0,  +284.0
1723399680, +3.52, +30.553,    -0.1, +1232.0,    +8.0,  +294.0
1723400280, +3.52, +30.553,    +0.0, +1238.0,   -36.0,  +291.0
1723400880, +3.52, +30.529,    -0.2, +1235.0,   -16.0,  +280.0
1723401480, +3.52, +30.505,    -0.1, +1233.0,   -13.0,  +291.0
1723402080, +3.52, +30.497,    -0.0, +1136.0,   -18.0,  +467.0
1723402680, +3.52, +30.456,    -0.0, +1233.0,   -12.0,  +270.0
1723403280, +3.52, +30.448,    -0.1, +1151.0,   -36.0,  +470.0
1723403880, +3.52, +30.416,    +0.0, +1164.0,   -45.0,  +454.0
1723404480, +3.52, +30.400,    +0.0, +1164.0,   -58.0,  +472.0
1723405080, +3.52, +30.376,    -0.1, +1235.0,   -20.0,  +286.0
1723405680, +3.52, +30.336,    -0.1, +1136.0,   -64.0,  +464.0
1723406280, +3.52, +30.279,    -0.1, +1240.0,    -8.0,  +281.0
1723406880, +3.52, +30.271,    -0.1, +1160.0,   -52.0,  +467.0
1723407480, +3.52, +30.255,    -0.0, +1132.0,   -29.0,  +464.0
1723408080, +3.52, +30.247,    +0.0, +1183.0,   -40.0,  +448.0
1723408680, +3.52, +30.239,    +0.0, +1231.0,    +8.0,  +307.0
1723409280, +3.52, +30.223,    -0.0, +1224.0,    -8.0,  +344.0
1723409880, +3.52, +30.223,    +0.0, +1231.0,   -10.0,  +304.0
1723410480, +3.52, +30.207,    +0.1, +1232.0,   -26.0,  +312.0
1723411080, +3.52, +30.199,    +0.0, +1137.0,   -63.0,  +455.0
1723411680, +3.52, +30.191,    +0.1, +1152.0,   -20.0,  +470.0
1723412280, +3.52, +30.183,    +0.0, +1171.0,   -40.0,  +448.0
1723412880, +3.52, +30.175,    -0.0, +1161.0,   -31.0,  +454.0
1723413480, +3.52, +30.183,    +0.0, +1175.0,   -39.0,  +464.0
1723414080, +3.52, +30.175,    +0.0, +1190.0,   -64.0,  +440.0
1723414680, +3.52, +30.175,    -0.1, +1152.0,   -56.0,  +455.0
1723415280, +3.52, +30.159,    -0.0, +1176.0,   -10.0,  +456.0
1723415880, +3.52, +30.134,    -0.0, +1169.0,   -44.0,  +448.0
1723416480, +3.52, +30.126,    +0.0, +1180.0,    -8.0,  +438.0
1723417080, +3.52, +30.102,    -0.1, +1185.0,   -23.0,  +438.0
1723417680, +3.52, +30.094,    -0.1, +1191.0,   -52.0,  +444.0
1723418280, +3.52, +30.086,    -0.0, +1203.0,   -44.0,  +420.0
1723418880, +3.52, +30.070,    -0.0, +1182.0,   -24.0,  +454.0
1723419480, +3.52, +30.078,    -0.1, +1172.0,   -52.0,  +457.0
1723420080, +3.52, +30.086,    -0.1, +1222.0,   -45.0,  +360.0
1723420680, +3.52, +30.070,    +0.0, +1190.0,   -36.0,  +435.0
1723421280, +3.52, +30.070,    +0.1, +1200.0,   -40.0,  +416.0
1723421880, +3.52, +30.062,    -0.0, +1190.0,   -42.0,  +432.0
1723422480, +3.52, +30.054,    +0.0, +1183.0,   -40.0,  +432.0
1723423080, +3.52, +30.038,    +0.0, +1180.0,   -32.0,  +454.0
1723423680, +3.52, +30.038,    +0.0, +1164.0,   -32.0,  +457.0
1723424280, +3.52, +30.046,    +0.0, +1176.0,   -56.0,  +462.0
1723424880, +3.52, +30.038,    -0.0, +1230.0,   -30.0,  +312.0
1723425480, +3.52, +30.054,    -0.2, +1230.0,   +20.0,  +320.0
1723426080, +3.52, +30.062,    -0.0, +1208.0,   -50.0,  +398.0
1723426680, +3.52, +30.078,    -0.0, +1180.0,   -16.0,  +433.0
1723427280, +3.52, +30.078,    -0.0, +1200.0,   -64.0,  +424.0
1723427880, +3.52, +30.070,    +0.0, +1191.0,   -48.0,  +436.0
1723428480, +3.52, +30.038,    -0.0, +1171.0,   -26.0,  +448.0
1723429080, +3.52, +29.981,    +0.0, +1201.0,   -16.0,  +403.0
1723429680, +3.52, +29.916,    -0.0, +1191.0,   -40.0,  +426.0
1723430280, +3.52, +29.884,    +0.0, +1217.0,    +3.0,  +352.0
1723430880, +3.52, +29.868,    -0.0, +1187.0,   -48.0,  +435.0
1723431480, +3.52, +29.900,    -0.0, +1176.0,   -32.0,  +454.0
1723432080, +3.52, +29.981,    +0.3, +1191.0,   -42.0,  +435.0
1723432680, +3.52, +29.973,    +0.5, +1223.0,   -32.0,  +344.0
1723433280, +3.52, +29.884,    +0.8, +1230.0,   -47.0,  +308.0
1723433880, +3.52, +29.844,    +1.3, +1230.0,   -32.0,  +304.0
1723434480, +3.52, +29.795,    +2.6, +1232.0,   -20.0,  +292.0
1723435080, +3.52, +29.779,    +3.7, +1228.0,   -40.0,  +328.0
