7530-479402
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1724435880, +3.52, +30.705,    -0.0, +1216.0,   -32.0,  +392.0
1724436480, +3.52, +30.697,    +0.1, +1204.0,   -40.0,  +408.0
1724437080, +3.52, +30.713,    -0.0, +1193.0,   -36.0,  +444.0
1724437680, +3.52, +30.745,    +0.0, +1185.0,   -24.0,  +460.0
1724438280, +3.52, +30.753,    +0.0, +1191.0,   -44.0,  +451.0
1724438880, +3.52, +30.697,    +0.0, +1208.0,   -64.0,  +424.0
1724439480, +3.52, +30.673,    -0.0, +1208.0,   -32.0,  +414.0
1724440080, +3.52, +30.673,    -0.1, +1222.0,   -24.0,  +368.0
1724440680, +3.52, +30.665,    -0.0, +1200.0,    -8.0,  +425.0
1724441280, +3.52, +30.665,    -0.0, +1180.0,   -48.0,  +464.0
1724441880, +3.52, +30.665,    -0.0, +1208.0,   -26.0,  +404.0
1724442480, +3.52, +30.673,    -0.1, +1208.0,   -45.0,  +408.0
1724443080, +3.52, +30.673,    -0.0, +1223.0,   -24.0,  +334.0
1724443680, +3.52, +30.665,    +0.1, +1203.0,   -16.0,  +428.0
1724444280, +3.52, +30.649,    -0.1, +1196.0,   -52.0,  +444.0
1724444880, +3.52, +30.657,    +0.0, +1206.0,    -8.0,  +412.0
1724445480, +3.52, +30.641,    -0.0, +1196.0,   -12.0,  +415.0
1724446080, +3.52, +30.649,    -0.0, +1220.0,    +7.0,  +352.0
1724446680, +3.52, +30.665,    +0.0, +1224.0,   -16.0,  +336.0
1724447280, +3.52, +30.657,    +0.1, +1188.0,   -32.0,  +454.0
1724447880, +3.52, +30.681,    -0.0, +1183.0,   -16.0,  +432.0
1724448480, +3.52, +30.697,    -0.1, +1193.0,    +0.0,  +424.0
1724449080, +3.52, +30.689,    -0.1, +1191.0,   -36.0,  +424.0
1724449680, +3.52, +30.689,    -0.0, +1200.0,   -32.0,  +420.0
1724450280, +3.52, +30.681,    -0.0, +1180.0,   -45.0,  +435.0
1724450880, +3.52, +30.665,    +0.0, +1209.0,   -71.0,  +396.0
1724451480, +3.52, +30.665,    -0.0, +1212.0,   -16.0,  +384.0
1724452080, +3.52, +30.657,    +0.0, +1228.0,   -32.0,  +318.0
1724452680, +3.52, +30.641,    +0.0, +1223.0,   -20.0,  +326.0
1724453280, +3.52, +30.633,    -0.0, +1204.0,   -32.0,  +400.0
1724453880, +3.52, +30.625,    -0.1, +1216.0,   -10.0,  +376.0
1724454480, +3.52, +30.625,    -0.0, +1200.0,   -31.0,  +408.0
1724455080, +3.52, +30.625,    -0.1, +1198.0,   -40.0,  +406.0
1724455680, +3.52, +30.617,    +0.1, +1192.0,   +28.0,  +416.0
1724456280, +3.52, +30.617,    -0.1, +1196.0,   -32.0,  +414.0
1724456880, +3.52, +30.601,    -0.0, +1203.0,   -52.0,  +400.0
1724457480, +3.52, +30.585,    -0.1, +1223.0,   -40.0,  +334.0
1724458080, +3.52, +30.585,    -0.1, +1201.0,   -40.0,  +408.0
1724458680, +3.52, +30.577,    -0.0, +1223.0,   -32.0,  +348.0
1724459280, +3.52, +30.561,    -0.1, +1223.0,   -20.0,  +344.0
1724459880, +3.52, +30.545,    -0.0, +1224.0,   -52.0,  +332.0
1724460480, +3.52, +30.553,    +0.0, +1223.0,    -8.0,  +324.0
1724461080, +3.52, +30.553,    -0.0, +1206.0,    +8.0,  +396.0
1724461680, +3.52, +30.537,    +0.0, +1220.0,   -13.0,  +350.0
1724462280, +3.52, +30.545,    -0.1, +1222.0,   -32.0,  +344.0
1724462880, +3.52, +30.537,    +0.0, +1225.0,    +0.0,  +312.0
1724463480, +3.52, +30.521,    +0.1, +1220.0,   -36.0,  +342.0
1724464080, +3.52, +30.529,    -0.0, +1224.0,    -8.0,  +332.0
1724464680, +3.52, +30.521,    -0.0, +1223.0,   -48.0,  +336.0
1724465280, +3.52, +30.529,    -0.1, +1211.0,   -32.0,  +372.0
1724465880, +3.52, +30.521,    -0.1, +1214.0,   -24.0,  +368.0
1724466480, +3.52, +30.529,    -0.0, +1191.0,   -40.0,  +412.0
1724467080, +3.52, +30.537,    +0.0, +1201.0,   -24.0,  +396.0
1724467680, +3.52, +30.537,    -0.0, +1187.0,   -39.0,  +408.0
1724468280, +3.52, +30.545,    -0.0, +1219.0,   -16.0,  +344.0
1724468880, +3.52, +30.545,    -0.0, +1192.0,   -26.0,  +400.0
1724469480, +3.51, +30.537,    +0.1, +1225.0,   -16.0,  +314.0
1724470080, +3.52, +30.529,    +0.5, +1216.0,   -40.0,  +364.0
1724470680, +3.52, +30.537,    +1.0, +1219.0,    -8.0,  +336.0
1724471280, +3.52, +30.529,    +1.7, +1214.0,    +0.0,  +358.0
1724471880, +3.52, +30.529,    +2.5, +1231.0,   -24.0,  +295.0
1724472480, +3.52, +30.513,    +3.5, +1225.0,    +4.0,  +316.0
1724473080, +3.52, +30.521,    +4.5, +1224.0,    +3.0,  +328.0
1724473680, +3.52, +30.521,    +5.8, +1224.0,   -26.0,  +339.0
1724474280, +3.52, +30.513,    +4.6, +1228.0,    -8.0,  +313.0
1724474880, +3.51, +30.521,    +8.6, +1196.0,   -32.0,  +396.0
1724475480, +3.52, +30.513,    +9.5, +1219.0,    +8.0,  +336.0
1724476080, +3.52, +30.513,    +9.9, +1227.0,   -52.0,  +304.0
1724476680, +3.52, +30.513,   +12.8, +1217.0,   -16.0,  +342.0
1724477280, +3.52, +30.513,   +14.1, +1216.0,    +0.0,  +352.0
1724477880, +3.52, +30.521,   +14.8, +1232.0,   -32.0,  +268.0
1724478480, +3.52, +30.513,   +15.7, +1232.0,   -40.0,  +288.0
1724479080, +3.52, +30.513,   +17.5, +1230.0,   -16.0,  +304.0
1724479680, +3.52, +30.513,   +19.9, +1224.0,    +3.0,  +307.0
1724480280, +3.52, +30.513,   +21.5, +1223.0,    +0.0,  +328.0
1724480880, +3.52, +30.505,   +22.3, +1208.0,    +0.0,  +374.0
1724481480, +3.52, +30.513,   +25.0, +1216.0,   -16.0,  +352.0
1724482080, +3.52, +30.513,   +23.8, +1209.0,   -40.0,  +366.0
1724482680, +3.52, +30.497,   +28.1, +1216.0,   -36.0,  +364.0
1724483280, +3.52, +30.513,   +29.4, +1208.0,   -36.0,  +358.0
1724483880, +3.52, +30.513,   +14.5, +1219.0,    +7.0,  +336.0
1724484480, +3.52, +30.505,    +9.3, +1230.0,   -20.0,  +292.0
1724485080, +3.52, +30.513,   +34.6, +1223.0,   -36.0,  +324.0
1724485680, +3.52, +30.513,   +35.1, +1203.0,   -40.0,  +384.0
1724486280, +3.52, +30.513,   +35.6, +1211.0,   -42.0,  +360.0
1724486880, +3.52, +30.513,   +33.4, +1230.0,    +0.0,  +294.0
1724487480, +3.52, +30.521,   +38.2, +1232.0,   -30.0,  +288.0
1724488080, +3.52, +30.529,   +44.8, +1212.0,   -24.0,  +364.0
1724488680, +3.52, +30.513,   +41.4, +1227.0,   -16.0,  +304.0
1724489280, +3.52, +30.521,   +12.4, +1224.0,    +8.0,  +320.0
1724489880, +3.52, +30.537,   +52.5, +1219.0,   +19.0,  +340.0
1724490480, +3.52, +30.537,   +51.4, +1231.0,    +8.0,  +280.0
1724491080, +3.52, +30.537,   +54.1, +1223.0,    +2.0,  +316.0
1724491680, +3.52, +30.537,   +57.7, +1225.0,   -26.0,  +316.0
1724492280, +3.52, +30.545,   +55.7, +1228.0,    -8.0,  +295.0
1724492880, +3.52, +30.537,   +56.2, +1225.0,   -32.0,  +320.0
1724493480, +3.52, +30.521,   +57.6, +1230.0,   -28.0,  +312.0
1724494080, +3.52, +30.537,   +33.8, +1228.0,   -24.0,  +304.0
1724494680, +3.52, +30.521,   +55.2, +1232.0,   -40.0,  +295.0
1724495280, +3.52, +30.537,   +53.4, +1236.0,   -40.0,  +264.0
1724495880, +3.52, +30.537,   +51.6, +1235.0,   -16.0,  +270.0
1724496480, +3.52, +30.537,   +51.9, +1230.0,   -29.0,  +295.0
1724497080, +3.52, +30.537,   +50.4, +1228.0,   -12.0,  +300.0
1724497680, +3.52, +30.537,   +46.9, +1232.0,   -10.0,  +280.0
1724498280, +3.52, +30.537,   +43.6, +1223.0,   -24.0,  +312.0
1724498880, +3.52, +30.537,   +43.5, +1228.0,    -8.0,  +300.0
1724499480, +3.52, +30.537,   +42.3, +1223.0,   +19.0,  +324.0
1724500080, +3.52, +30.537,   +40.1, +1228.0,    +1.0,  +307.0
1724500680, +3.52, +30.537,   +38.5, +1231.0,    +0.0,  +288.0
1724501280, +3.52, +30.545,   +24.4, +1231.0,   -29.0,  +300.0
1724501880, +3.52, +30.553,   +37.6, +1232.0,    +0.0,  +272.0
1724502480, +3.52, +30.553,   +33.8, +1223.0,   +12.0,  +320.0
1724503080, +3.52, +30.545,   +31.4, +1228.0,    +0.0,  +294.0
1724503680, +3.52, +30.561,   +29.6, +1228.0,   -20.0,  +300.0
1724504280, +3.52, +30.569,   +26.3, +1235.0,   -26.0,  +270.0
1724504880, +3.52, +30.561,   +23.4, +1228.0,   +16.0,  +300.0
1724505480, +3.52, +30.561,   +21.9, +1211.0,   -10.0,  +364.0
1724506080, +3.52, +30.577,   +19.9, +1231.0,   -32.0,  +288.0
1724506680, +3.52, +30.569,   +19.0, +1235.0,    +0.0,  +260.0
1724507280, +3.52, +30.577,   +17.0, +1224.0,   -45.0,  +312.0
1724507880, +3.52, +30.577,   +16.0, +1228.0,   -29.0,  +312.0
1724508480, +3.52, +30.569,   +12.6, +1224.0,    -8.0,  +320.0
1724509080, +3.52, +30.561,   +13.1, +1232.0,   -16.0,  +296.0
1724509680, +3.52, +30.569,   +10.8, +1212.0,   -20.0,  +368.0
1724510280, +3.52, +30.569,    +9.3, +1231.0,   +12.0,  +294.0
1724510880, +3.52, +30.561,    +8.1, +1225.0,   -16.0,  +304.0
1724511480, +3.52, +30.569,    +4.8, +1235.0,   -16.0,  +272.0
1724512080, +3.52, +30.577,    +6.5, +1235.0,   -16.0,  +260.0
1724512680, +3.52, +30.577,    +3.5, +1225.0,    -8.0,  +310.0
1724513280, +3.52, +30.585,    +3.4, +1223.0,   -24.0,  +307.0
1724513880, +3.52, +30.585,    +2.9, +1231.0,   -26.0,  +280.0
1724514480, +3.52, +30.585,    +2.1, +1231.0,   +12.0,  +300.0
1724515080, +3.52, +30.585,    +1.5, +1228.0,   -20.0,  +305.0
1724515680, +3.52, +30.601,    +0.9, +1216.0,   -10.0,  +352.0
1724516280, +3.52, +30.617,    +0.4, +1223.0,   -40.0,  +327.0
1724516880, +3.52, +30.601,    +0.2, +1208.0,   -23.0,  +369.0
1724517480, +3.52, +30.633,    -0.0, +1183.0,   -32.0,  +416.0
1724518080, +3.52, +30.641,    -0.1, +1199.0,   -80.0,  +400.0
