"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ACROYT_G010444",210.371498617557,-2.58070567204806,0.372523189490288,-6.92763764741506,4.27926106153332e-12,5.52024676937798e-08,"Down"
"ACROYT_G000280",1213.66769504424,-7.36145514595486,1.09866172065875,-6.70038375555763,2.07872905456433e-11,8.93853493462663e-08,"Down"
"ACROYT_G020243",596.319811446798,-2.64643904843209,0.394072080147087,-6.71562179042045,1.87265938910412e-11,8.93853493462663e-08,"Down"
"ACROYT_G000273",1696.23072564146,-4.80295880987052,0.732422497932007,-6.55763418441085,5.46681130442083e-11,1.76304664567572e-07,"Down"
"ACROYT_G035302",112.270390031527,-2.30687001321572,0.353891422692877,-6.51858130853237,7.09754614208329e-11,1.83116690465749e-07,"Down"
"ACROYT_G023743",93.4909658381971,4.97297021903162,0.815047768269083,6.10144633558437,1.05112932147447e-09,2.2599280411701e-06,"Up"
"ACROYT_G023742",133.678035753143,5.00499404892717,0.867035966310371,5.77253337047329,7.80884729122349e-09,1.43905900081119e-05,"Up"
"ACROYT_G000290",284.925141041514,-4.28027054351008,0.745591465591624,-5.74077191201982,9.42459594200318e-09,1.51971609564801e-05,"Down"
"ACROYT_G008089",236.283072223147,-2.01265030221015,0.3540735894051,-5.68427118665281,1.31371677785551e-08,1.88299404825956e-05,"Down"
"ACROYT_G003348",222.162632085064,-2.64670673747683,0.480231111277841,-5.51131876990277,3.56155023344796e-08,4.59439980114787e-05,"Down"
"ACROYT_G021877",36.4086148628484,-3.44476646421803,0.633971939756422,-5.43362607742787,5.52202349217157e-08,6.47582754991029e-05,"Down"
"ACROYT_G010800",101.533234042801,7.18838623541761,1.33180632858144,5.39747114963347,6.75867374041941e-08,7.26557427095087e-05,"Up"
"ACROYT_G006589",1175.04736503458,-1.38465466825939,0.267689155597782,-5.17262145030603,2.30832365024756e-07,0.000229056731447643,"Down"
"ACROYT_G040547",263.368574252318,-1.50806820327723,0.295739058809438,-5.09932035811668,3.40875206013463e-07,0.000293152677171578,"Down"
"ACROYT_G031846",478.039874993223,-1.21192577486517,0.241704611383569,-5.01407800177185,5.32883673333743e-07,0.00042963746162533,"Down"
"ACROYT_G002805",98.1739740326873,-2.24587251647775,0.454054518505599,-4.94626179223906,7.56522024016948e-07,0.000574066712342272,"Down"
"ACROYT_G006534",66.8362144676455,-2.55266003740847,0.519902754353527,-4.90987981124003,9.11322303010708e-07,0.000653114317157674,"Down"
"ACROYT_G031307",30.4196941733419,6.58221380234663,1.36268448291844,4.83032857925381,1.36307922597975e-06,0.000879186100756939,"Up"
"ACROYT_G038751",48.1794795027604,-1.53663659235414,0.324619769608477,-4.73365067755262,2.20517120596316e-06,0.00129303220713294,"Down"
"ACROYT_G010797",24.8799081848135,6.57913064039044,1.4023070091786,4.69164783269831,2.71013337104628e-06,0.00152003132549987,"Up"
"ACROYT_G032710",633.0994901646,-1.25390262730839,0.268833784782517,-4.66423008671615,3.09774629058349e-06,0.00166503863118862,"Down"
"ACROYT_G011912",96.7854611193343,-1.72571527044907,0.371152280930037,-4.6496151556034,3.32554966005858e-06,0.00171598362459023,"Down"
"ACROYT_G011523",1999.32470300995,-1.2986793196164,0.282931181851743,-4.59008904962942,4.43056947889382e-06,0.00211682763991593,"Down"
"ACROYT_G037998",79.7533241705819,-2.07495723818817,0.45155252843089,-4.59516248397165,4.32412186133187e-06,0.00211682763991593,"Down"
"ACROYT_G033190",237.336542210578,-1.64955756741786,0.361523105889486,-4.56279983366294,5.04759333506511e-06,0.0022800370264946,"Down"
"ACROYT_G036614",178.304738865624,-1.25703237410958,0.275690539933595,-4.55957746831778,5.12566463320492e-06,0.0022800370264946,"Down"
"ACROYT_G042319",179.154124891278,-1.73613084964933,0.381492919909678,-4.55088616077168,5.34204467584918e-06,0.00229707921061515,"Down"
"ACROYT_G018411",74.4416470551932,-1.5739437051536,0.350065384219365,-4.49614208118133,6.9197506384788e-06,0.00287950913665731,"Down"
"ACROYT_G021805",517.68258563124,-1.08415858933394,0.242103204383133,-4.47808442724382,7.53158164671156e-06,0.0030361688513306,"Down"
"ACROYT_G022662",271.098688661071,-1.05383414481072,0.238701343398292,-4.41486474188924,1.01073166008817e-05,0.00395104194398103,"Down"
"ACROYT_G023555",1432.54232228131,-1.15308922223609,0.26779889847562,-4.3058027079266,1.66381297044968e-05,0.00613233923394311,"Down"
"ACROYT_G001231",170.229235178776,-1.15579640347424,0.269445199854792,-4.28954163628491,1.79042246948631e-05,0.00635885875692885,"Down"
"ACROYT_G034371",780.090994560921,-1.88130500549667,0.439152251169179,-4.28394708324498,1.83606598836901e-05,0.00635885875692885,"Down"
"ACROYT_G040452",391.430972247662,-1.1634489721769,0.271865751369504,-4.27949812109877,1.87315219196354e-05,0.00635885875692885,"Down"
"ACROYT_G003176",7678.33680560318,-1.31870477747046,0.312907999206347,-4.21435303928055,2.50495196344535e-05,0.00828561034062693,"Down"
"ACROYT_G006033",417.237698857428,1.02922735135524,0.244601262437162,4.20777612143211,2.57896180246372e-05,0.00831715181294551,"Up"
