"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"ACROYT_G030730",5179.18879908037,-2.29829713687702,0.289543944020772,-7.93764533618475,2.06055532949816e-15,3.18067320661336e-11,"Down"
"ACROYT_G010073",239.283573140421,-1.43175936155851,0.222408536187823,-6.43751982769852,1.21441463654838e-10,9.37285216488039e-07,"Down"
"ACROYT_G020243",596.319811446798,2.3833132847596,0.375193577132492,6.35222303903668,2.12225304901077e-10,1.09196993548434e-06,"Up"
"ACROYT_G012516",89.4577606077211,2.25977050907657,0.362179761657845,6.23936163283303,4.39360194745157e-10,1.69549099152156e-06,"Up"
"ACROYT_G005498",1292.04893048013,-1.90612183146831,0.309454033609717,-6.15962832745721,7.2915873173369e-10,2.25105883660825e-06,"Down"
"ACROYT_G039473",1637.14850906962,1.74059579355449,0.291779495528408,5.96544932124958,2.43961761650313e-09,6.2763229213904e-06,"Up"
"ACROYT_G000273",1696.23072564146,4.02362741758788,0.697529799828356,5.76839501133571,8.00300454324091e-09,1.47145991010884e-05,"Up"
"ACROYT_G000290",284.925141041514,4.08475490335087,0.709570141466109,5.75666120182422,8.57938532714408e-09,1.47145991010884e-05,"Up"
"ACROYT_G043015",104.68822434216,-3.99101468038593,0.688430914266713,-5.79726243792666,6.74061656605573e-09,1.47145991010884e-05,"Down"
"ACROYT_G006033",417.237698857428,-1.33400790708776,0.233035785008439,-5.72447663795263,1.03753083234883e-08,1.60153259281366e-05,"Down"
"ACROYT_G008979",83.1395042372271,1.65748068687118,0.292801920675846,5.6607575628103,1.50706210131451e-08,1.78946235353006e-05,"Up"
"ACROYT_G010444",210.371498617557,1.9948848002954,0.352359504807055,5.66150415436575,1.50051873480301e-08,1.78946235353006e-05,"Up"
"ACROYT_G019433",556.108911133753,-1.11550038322789,0.197047771164141,-5.66106572349235,1.50435793067833e-08,1.78946235353006e-05,"Down"
"ACROYT_G003176",7678.33680560318,1.66325895580575,0.298372806056463,5.57443212666974,2.48338602554684e-08,2.43556405335874e-05,"Up"
"ACROYT_G019600",85.5760097111907,-4.45826146162234,0.800180618337524,-5.57156891763379,2.52455460311867e-08,2.43556405335874e-05,"Down"
"ACROYT_G002619",198.643963064387,1.07119244838187,0.192898892787097,5.55312906624171,2.80600733948204e-08,2.5478546642497e-05,"Up"
"ACROYT_G006409",4828.73295431472,-1.10413657800649,0.200041710064843,-5.51953178988817,3.39904100908043e-08,2.58632893114694e-05,"Down"
"ACROYT_G007809",85.9345072964954,-1.88028546457831,0.340716785904116,-5.51861705195663,3.41677851751894e-08,2.58632893114694e-05,"Down"
"ACROYT_G038995",97.6441067767256,-1.34213305221309,0.243428712887673,-5.51345417018409,3.51858691073372e-08,2.58632893114694e-05,"Down"
"ACROYT_G041344",86.933408041939,-3.31832074420353,0.601511815171508,-5.51663435448459,3.45553336293024e-08,2.58632893114694e-05,"Down"
"ACROYT_G001680",119.324042144299,1.6905133092262,0.308132961970072,5.48631116391369,4.10413704382041e-08,2.85813539744569e-05,"Up"
"ACROYT_G017544",156.066418022584,1.0953444605651,0.200428912740494,5.46500225735049,4.62900913035386e-08,2.85813539744569e-05,"Up"
"ACROYT_G018076",396.872080807919,-2.47132092900205,0.451714094973791,-5.47098475894457,4.4754178897915e-08,2.85813539744569e-05,"Down"
"ACROYT_G039193",75.5887857731171,-1.8334241863678,0.335248302896463,-5.46885448942609,4.52953405904513e-08,2.85813539744569e-05,"Down"
"ACROYT_G000539",391.919847493446,-2.32100331934347,0.42757804531915,-5.42825653644364,5.69072050974347e-08,3.25340599216297e-05,"Down"
"ACROYT_G032528",347.812005464444,1.18022669217096,0.217166917881763,5.43465231114776,5.49033822642875e-08,3.25340599216297e-05,"Up"
"ACROYT_G009762",451.616637396414,1.21217154542436,0.225324757990467,5.37966425099032,7.46248821536864e-08,4.11396314615823e-05,"Up"
"ACROYT_G021400",34.6807257798221,1.97830293311533,0.369289239527887,5.35705544966451,8.45891666567762e-08,4.48708682357311e-05,"Up"
"ACROYT_G034266",343.072865078445,-1.82364630583003,0.340770122084758,-5.351544010588,8.72069219403948e-08,4.48708682357311e-05,"Down"
"ACROYT_G036945",72.6888308698266,-3.43019890879886,0.642389821394742,-5.33974666869922,9.3076550224369e-08,4.489780091448e-05,"Down"
"ACROYT_G020552",627.940311516569,-1.94459783724164,0.366025774789042,-5.31273470662661,1.07992199928348e-07,4.90284587674698e-05,"Down"
"ACROYT_G028382",176.301263613944,-2.01104439903894,0.378156231341161,-5.3180252825839,1.04899495701682e-07,4.90284587674698e-05,"Down"
"ACROYT_G032916",284.708775159761,-2.99782957409972,0.565871512148007,-5.2977213196688,1.17256740431396e-07,5.17135727228292e-05,"Down"
"ACROYT_G011819",527.908017429728,2.15746549822957,0.412677984383523,5.22796364204524,1.71387201992681e-07,6.50716983735119e-05,"Up"
"ACROYT_G031700",17.768100655061,-3.47719391247282,0.665881099727695,-5.22194414872983,1.77054374947363e-07,6.50716983735119e-05,"Down"
