Unix_Timestamp,Battery,Temperature,PAR,Acceleration_X,Acceleration_Y,Acceleration_Z
1717385340,3.52,20.85,2.8,1007,64,388
1717385940,3.52,20.539,3.7,1016,67,385
1717386540,3.52,20.64,4.7,1016,67,384
1717387140,3.52,20.967,5.7,1016,71,380
1717387740,3.52,21.11,6.6,1094,102,275
1717388340,3.52,21.085,7.6,1072,88,327
1717388940,3.52,20.85,8.5,1008,62,384
1717389540,3.52,20.716,9.4,1009,64,385
1717390140,3.52,20.665,10.8,1016,64,385
1717390740,3.52,20.59,12,1016,64,387
1717391340,3.52,20.598,14.3,1016,64,384
1717391940,3.52,20.808,16.3,1009,64,390
1717392540,3.52,20.816,17.5,1007,62,384
1717393140,3.52,20.741,19.3,1014,65,384
1717393740,3.52,20.917,20.7,1136,96,180
1717394340,3.52,20.925,22.6,1004,64,380
1717394940,3.52,20.967,24.3,1137,80,176
1717395540,3.52,20.976,27.4,1128,96,192
1717396140,3.52,20.925,24.1,999,60,380
1717396740,3.52,20.883,28.7,1004,56,380
1717397340,3.52,20.9,30.2,1006,60,384
1717397940,3.52,20.875,32.7,1008,64,384
1717398540,3.52,20.808,33.4,1011,64,380
1717399140,3.52,20.816,35.1,1008,64,376
1717399740,3.52,20.867,36.3,1001,60,376
1717400340,3.52,20.867,36.9,1006,64,376
1717400940,3.52,20.9,35.2,1136,88,176
1717401540,3.52,20.967,38.4,1100,100,256
1717402140,3.52,21.227,39.8,1004,62,376
1717402740,3.52,21.378,42.3,1104,100,240
1717403340,3.52,21.462,44.2,999,56,371
1717403940,3.52,21.504,46.1,999,60,376
1717404540,3.52,21.529,47.6,1112,104,224
1717405140,3.52,21.538,48,1144,70,199
1717405740,3.52,21.538,49.9,1127,98,184
1717406340,3.52,21.538,51.4,1128,96,192
1717406940,3.52,21.529,52.7,1064,80,344
1717407540,3.52,21.521,53.4,1128,100,192
1717408140,3.52,21.504,52.2,1136,88,188
1717408740,3.52,21.487,52.8,1000,57,376
1717409340,3.52,21.462,52.1,1137,80,184
1717409940,3.52,21.429,52.9,1000,60,384
1717410540,3.52,21.395,50.9,1062,78,352
1717411140,3.52,21.362,50.4,1008,60,385
1717411740,3.52,21.328,49.7,1004,56,384
1717412340,3.52,21.253,47.8,1134,88,184
1717412940,3.52,21.227,44.8,1048,67,369
1717413540,3.52,21.127,42.7,1104,96,252
1717414140,3.52,21.026,38.3,1136,84,184
1717414740,3.52,20.909,34.9,1007,56,385
1717415340,3.52,20.749,33.8,1008,60,385
1717415940,3.52,20.707,30.4,1015,62,391
1717416540,3.52,20.699,27.6,1020,56,387
1717417140,3.52,20.674,27.9,1014,56,384
1717417740,3.52,20.749,26.4,1008,56,390
1717418340,3.52,20.867,22.8,1008,60,390
1717418940,3.52,20.85,19.9,1007,56,390
1717419540,3.52,20.724,16.9,1017,64,387
1717420140,3.52,20.497,14.5,1020,62,387
1717420740,3.52,20.397,13.6,1016,56,384
1717421340,3.52,20.363,12.5,1016,60,387
1717421940,3.52,20.355,11.5,1016,60,384
1717422540,3.52,20.371,10.1,1017,56,384
1717423140,3.52,20.405,8.6,1016,56,385
1717423740,3.52,20.413,7.4,1016,56,380
1717424340,3.52,20.439,6.4,1016,60,384
1717424940,3.52,20.464,6,1016,56,384
1717425540,3.52,20.481,5.4,1016,56,380
1717426140,3.52,20.472,4.9,1017,56,380
1717426740,3.52,20.43,4.3,1016,56,382
1717427340,3.52,20.405,3.7,1017,49,376
1717427940,3.52,20.338,3,1020,54,374
1717428540,3.52,20.287,2.8,1016,48,374
1717429140,3.52,20.212,2.2,1017,60,380
1717429740,3.52,20.187,1.8,1017,56,376
1717430340,3.52,20.17,1.3,1016,56,374
1717430940,3.52,20.17,1.2,1081,80,296
1717431540,3.52,20.145,0.7,1016,60,376
1717432140,3.52,20.119,0.5,1016,51,374
1717432740,3.52,20.103,0.3,1080,79,292
1717433340,3.52,20.094,0.2,1087,80,284
1717433940,3.52,20.103,-0.1,1087,81,284
1717434540,3.52,20.119,0,1028,60,368
1717435140,3.52,20.145,0,1020,57,374
1717435740,3.52,20.178,0.1,1086,80,295
1717436340,3.52,20.22,0,1016,60,371
1717436940,3.52,20.271,0,1016,57,376
1717437540,3.52,20.346,-0.1,1016,64,374
1717438140,3.52,20.388,0,1016,64,374
1717438740,3.52,20.43,0,1014,64,376
1717439340,3.52,20.464,0,1011,64,380
1717439940,3.52,20.514,-0.1,1012,64,380
1717440540,3.52,20.523,0,1016,60,376
1717441140,3.52,20.539,-0.1,1016,64,380
1717441740,3.52,20.548,-0.1,1017,64,376
1717442340,3.52,20.581,-0.1,1011,60,376
1717442940,3.52,20.573,0,1011,62,376
1717443540,3.52,20.632,0.1,1014,62,376
1717444140,3.52,20.648,0,1014,60,380
1717444740,3.52,20.665,0,1007,64,380
1717445340,3.52,20.682,-0.1,1008,62,384
1717445940,3.52,20.716,-0.1,1011,64,380
1717446540,3.52,20.707,0,1011,64,384
1717447140,3.52,20.724,-0.1,1008,62,380
1717447740,3.52,20.732,0.1,1016,64,384
1717448340,3.52,20.741,0,1016,64,384
1717448940,3.52,20.8,0.1,1008,64,384
1717449540,3.52,20.85,0,1144,80,176
1717450140,3.52,20.85,0,1004,60,384
1717450740,3.52,20.816,-0.1,1004,64,384
1717451340,3.52,20.741,-0.1,1016,64,384
1717451940,3.52,20.674,-0.1,1016,60,384
1717452540,3.52,20.69,0,1004,60,384
1717453140,3.52,20.598,0.1,1011,62,385
1717453740,3.52,20.514,0,1016,64,384
1717454340,3.52,20.539,0,1009,64,384
1717454940,3.52,20.497,0.1,1020,64,380
1717455540,3.52,20.472,0,1009,64,384
1717456140,3.52,20.38,0,1016,64,384
1717456740,3.52,20.615,-0.1,1014,64,384
1717457340,3.52,20.707,-0.1,1016,64,380
1717457940,3.52,20.699,0.1,1008,56,380
1717458540,3.52,20.64,-0.1,1020,64,380
1717459140,3.52,20.699,0,1008,60,380
1717459740,3.52,20.758,-0.1,1016,62,384
1717460340,3.52,20.8,0,1004,60,376
1717460940,3.52,20.825,-0.1,1004,64,380
1717461540,3.52,20.842,-0.1,1142,76,184
1717462140,3.52,20.842,0,1006,62,376
1717462740,3.52,20.883,0,1012,60,376
1717463340,3.52,20.9,-0.1,1009,62,379
1717463940,3.52,20.934,0.1,1139,80,179
1717464540,3.52,20.917,-0.1,1006,62,380
1717465140,3.52,20.917,-0.1,1140,72,188
1717465740,3.52,20.934,0.1,1006,60,384
1717466340,3.52,20.951,-0.1,1139,78,176
1717466940,3.52,20.951,0,1008,64,384
1717467540,3.52,20.951,-0.1,1136,81,180
1717468140,3.52,20.951,0.1,1132,96,180
1717468740,3.52,20.984,0.1,1102,96,246
1717469340,3.52,20.984,0.4,1139,72,184
1717469940,3.52,20.959,0.7,1004,56,376
1717470540,3.52,20.959,1.2,1012,62,380
1717471140,3.52,20.967,1.5,1011,62,376
1717471740,3.52,20.993,2,1011,60,376
1717472340,3.52,21.001,2.3,1120,104,204
1717472940,3.52,21.026,3,1009,62,380
1717473540,3.52,21.026,3.7,1103,99,248
1717474140,3.52,21.06,4.2,1008,60,384
1717474740,3.52,21.06,4.7,1128,96,184
1717475340,3.52,21.085,5.4,1120,103,206
1717475940,3.52,21.076,6,1080,80,308
1717476540,3.52,21.085,6.8,1104,96,232
