7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1722090540, +3.54, +26.747,    +2.6, +1060.0,  +103.0,  +332.0
1722091140, +3.54, +26.756,    +2.4, +1056.0,   +92.0,  +358.0
1722091740, +3.54, +26.739,    +2.1, +1052.0,  +124.0,  +368.0
1722092340, +3.54, +26.731,    +1.9, +1056.0,  +131.0,  +376.0
1722092940, +3.54, +26.739,    +1.4, +1057.0,   +83.0,  +342.0
1722093540, +3.54, +26.731,    +1.3, +1062.0,   +96.0,  +344.0
1722094140, +3.54, +26.714,    +0.8, +1054.0,  +134.0,  +364.0
1722094740, +3.54, +26.698,    +0.7, +1052.0,  +124.0,  +368.0
1722095340, +3.54, +26.689,    +0.6, +1057.0,  +136.0,  +336.0
1722095940, +3.54, +26.689,    +0.5, +1052.0,  +160.0,  +360.0
1722096540, +3.54, +26.689,    +0.5, +1059.0,  +136.0,  +352.0
1722097140, +3.54, +26.706,    +0.2, +1057.0,   +96.0,  +368.0
1722097740, +3.54, +26.706,    +0.3, +1054.0,  +136.0,  +352.0
1722098340, +3.54, +26.723,    -0.0, +1057.0,   +96.0,  +376.0
1722098940, +3.54, +26.739,    -0.0, +1056.0,  +112.0,  +344.0
1722099540, +3.54, +26.739,    -0.1, +1055.0,   +96.0,  +368.0
1722100140, +3.54, +26.756,    -0.0, +1059.0,  +104.0,  +368.0
1722100740, +3.54, +26.747,    -0.1, +1057.0,  +124.0,  +368.0
1722101340, +3.54, +26.747,    +0.0, +1062.0,  +102.0,  +339.0
1722101940, +3.54, +26.739,    +0.1, +1057.0,   +88.0,  +344.0
1722102540, +3.54, +26.731,    -0.0, +1055.0,  +136.0,  +359.0
1722103140, +3.54, +26.739,    -0.1, +1056.0,   +97.0,  +358.0
1722103740, +3.54, +26.756,    -0.2, +1055.0,  +108.0,  +372.0
1722104340, +3.54, +26.772,    -0.0, +1052.0,  +112.0,  +384.0
1722104940, +3.54, +26.863,    -0.0, +1056.0,  +128.0,  +368.0
1722105540, +3.54, +26.962,    -0.0, +1052.0,  +112.0,  +348.0
1722106140, +3.54, +27.012,    +0.1, +1055.0,  +124.0,  +352.0
1722106740, +3.54, +27.119,    -0.1, +1043.0,  +128.0,  +358.0
1722107340, +3.54, +27.152,    -0.1, +1052.0,   +92.0,  +368.0
1722107940, +3.54, +27.128,    -0.0, +1054.0,  +104.0,  +368.0
1722108540, +3.54, +27.128,    +0.0, +1046.0,  +104.0,  +364.0
1722109140, +3.54, +27.169,    -0.1, +1043.0,  +102.0,  +352.0
1722109740, +3.54, +27.227,    -0.0, +1046.0,  +115.0,  +342.0
1722110340, +3.54, +27.251,    -0.0, +1055.0,   +92.0,  +368.0
1722110940, +3.54, +27.218,    -0.1, +1046.0,   +88.0,  +376.0
1722111540, +3.54, +27.119,    -0.0, +1052.0,   +80.0,  +339.0
1722112140, +3.54, +27.061,    +0.0, +1055.0,  +104.0,  +358.0
1722112740, +3.54, +27.078,    +0.0, +1049.0,   +92.0,  +368.0
1722113340, +3.54, +27.061,    -0.1, +1048.0,  +104.0,  +360.0
1722113940, +3.54, +27.119,    +0.0, +1052.0,   +99.0,  +358.0
1722114540, +3.54, +27.169,    -0.0, +1048.0,  +124.0,  +364.0
1722115140, +3.54, +27.128,    +0.0, +1055.0,  +100.0,  +364.0
1722115740, +3.54, +27.194,    -0.0, +1036.0,  +180.0,  +408.0
1722116340, +3.54, +27.210,    +0.1, +1044.0,  +112.0,  +368.0
1722116940, +3.54, +27.202,    -0.0, +1044.0,  +135.0,  +352.0
1722117540, +3.54, +27.227,    +0.1, +1041.0,  +136.0,  +352.0
1722118140, +3.54, +27.194,    -0.2, +1047.0,  +108.0,  +372.0
1722118740, +3.54, +27.161,    +0.1, +1043.0,  +128.0,  +352.0
1722119340, +3.54, +27.177,    -0.1, +1048.0,  +120.0,  +387.0
1722119940, +3.54, +27.210,    -0.1, +1048.0,  +128.0,  +368.0
1722120540, +3.54, +27.326,    -0.0, +1046.0,  +112.0,  +390.0
1722121140, +3.54, +27.359,    +0.0, +1040.0,  +131.0,  +384.0
1722121740, +3.54, +27.408,    -0.0, +1027.0,  +199.0,  +360.0
1722122340, +3.54, +27.523,    -0.2, +1043.0,  +131.0,  +400.0
1722122940, +3.54, +27.622,    -0.0, +1039.0,  +145.0,  +364.0
1722123540, +3.54, +27.713,    -0.1, +1031.0,  +140.0,  +399.0
