7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1723395540, +3.54, +28.025,    -0.0, +1112.0,  +135.0,  +230.0
1723396140, +3.54, +28.033,    -0.0, +1016.0,   +96.0,  +396.0
1723396740, +3.54, +28.066,    -0.1, +1016.0,   +96.0,  +396.0
1723397340, +3.54, +28.115,    -0.1, +1016.0,  +110.0,  +384.0
1723397940, +3.54, +28.148,    +0.1, +1128.0,  +128.0,  +206.0
1723398540, +3.54, +28.181,    +0.1, +1118.0,  +136.0,  +224.0
1723399140, +3.54, +28.197,    -0.1, +1118.0,  +152.0,  +208.0
1723399740, +3.54, +28.230,    +0.0, +1112.0,  +160.0,  +227.0
1723400340, +3.54, +28.279,    +0.1, +1020.0,  +121.0,  +403.0
1723400940, +3.54, +28.353,    -0.0, +1120.0,  +158.0,  +204.0
1723401540, +3.54, +28.427,    -0.0, +1039.0,  +104.0,  +384.0
1723402140, +3.54, +28.476,    -0.1, +1102.0,  +180.0,  +232.0
1723402740, +3.54, +28.509,    +0.0, +1095.0,  +158.0,  +248.0
1723403340, +3.54, +28.533,    +0.1, +1031.0,  +112.0,  +380.0
1723403940, +3.54, +28.550,    +0.1, +1094.0,  +172.0,  +232.0
1723404540, +3.54, +28.574,    -0.1, +1022.0,  +132.0,  +391.0
1723405140, +3.54, +28.599,    -0.1, +1040.0,  +156.0,  +392.0
1723405740, +3.54, +28.623,    -0.0, +1030.0,  +124.0,  +400.0
1723406340, +3.54, +28.632,    -0.1, +1123.0,  +140.0,  +228.0
1723406940, +3.54, +28.656,    -0.1, +1028.0,  +147.0,  +390.0
1723407540, +3.54, +28.672,    -0.1, +1136.0,  +119.0,  +215.0
1723408140, +3.54, +28.689,    +0.0,  +993.0,  +120.0,  +376.0
1723408740, +3.54, +28.713,    -0.1, +1113.0,  +172.0,  +240.0
1723409340, +3.54, +28.721,    -0.1, +1128.0,  +162.0,  +191.0
1723409940, +3.54, +28.730,    -0.0, +1123.0,  +156.0,  +216.0
1723410540, +3.54, +28.746,    -0.2, +1120.0,  +142.0,  +200.0
1723411140, +3.54, +28.754,    -0.0, +1120.0,  +152.0,  +200.0
1723411740, +3.54, +28.770,    -0.1, +1008.0,  +115.0,  +376.0
1723412340, +3.54, +28.779,    +0.1, +1113.0,  +176.0,  +212.0
1723412940, +3.54, +28.795,    -0.0, +1126.0,  +128.0,  +204.0
1723413540, +3.54, +28.795,    +0.0, +1024.0,  +110.0,  +391.0
1723414140, +3.54, +28.795,    -0.1, +1095.0,  +168.0,  +256.0
1723414740, +3.54, +28.819,    -0.1, +1128.0,  +140.0,  +216.0
1723415340, +3.54, +28.828,    -0.0, +1129.0,  +128.0,  +200.0
1723415940, +3.54, +28.828,    +0.0, +1118.0,  +146.0,  +224.0
1723416540, +3.54, +28.828,    -0.0, +1104.0,  +131.0,  +252.0
1723417140, +3.54, +28.795,    +0.1, +1121.0,  +135.0,  +212.0
1723417740, +3.54, +28.730,    -0.2, +1012.0,  +104.0,  +384.0
1723418340, +3.54, +28.656,    -0.0, +1016.0,  +108.0,  +391.0
1723418940, +3.54, +28.648,    -0.1,  +998.0,   +80.0,  +376.0
1723419540, +3.54, +28.582,    +0.0, +1102.0,  +120.0,  +270.0
1723420140, +3.54, +28.550,    -0.0, +1016.0,   +88.0,  +388.0
1723420740, +3.54, +28.501,    -0.0, +1036.0,  +102.0,  +398.0
1723421340, +3.54, +28.476,    -0.1, +1113.0,  +124.0,  +224.0
1723421940, +3.54, +28.452,    +0.1, +1040.0,  +104.0,  +376.0
1723422540, +3.54, +28.492,    -0.0, +1055.0,  +120.0,  +359.0
1723423140, +3.54, +28.501,    -0.0, +1120.0,  +143.0,  +208.0
1723423740, +3.54, +28.509,    +0.0, +1052.0,  +113.0,  +380.0
1723424340, +3.54, +28.517,    +0.0, +1016.0,  +102.0,  +392.0
1723424940, +3.54, +28.525,    -0.1, +1113.0,  +140.0,  +220.0
1723425540, +3.54, +28.542,    +0.0, +1032.0,   +99.0,  +380.0
1723426140, +3.54, +28.533,    -0.0, +1027.0,   +96.0,  +390.0
1723426740, +3.54, +28.501,    -0.1, +1016.0,   +96.0,  +396.0
1723427340, +3.54, +28.501,    -0.0, +1040.0,   +96.0,  +384.0
1723427940, +3.54, +28.460,    +0.0, +1112.0,  +120.0,  +244.0
1723428540, +3.54, +28.353,    +0.0, +1100.0,  +118.0,  +264.0
1723429140, +3.54, +28.263,    -0.1,  +995.0,   +84.0,  +388.0
1723429740, +3.54, +28.214,    -0.0, +1116.0,  +136.0,  +220.0
1723430340, +3.54, +28.107,    -0.1, +1123.0,  +124.0,  +192.0
1723430940, +3.54, +27.992,    -0.1, +1103.0,  +142.0,  +238.0
1723431540, +3.54, +27.927,    -0.1, +1112.0,  +120.0,  +248.0
1723432140, +3.54, +27.885,    -0.0, +1031.0,   +80.0,  +396.0
1723432740, +3.54, +27.828,    +0.1, +1104.0,  +121.0,  +256.0
1723433340, +3.54, +27.795,    +0.3, +1036.0,  +102.0,  +387.0
1723433940, +3.54, +27.754,    +0.8, +1123.0,  +120.0,  +208.0
1723434540, +3.54, +27.754,    +1.0, +1040.0,   +88.0,  +380.0
1723435140, +3.54, +27.762,    +0.9, +1120.0,  +120.0,  +236.0
1723435740, +3.54, +27.779,    +1.1, +1036.0,   +96.0,  +390.0
1723436340, +3.54, +27.779,    +1.3, +1112.0,  +120.0,  +236.0
1723436940, +3.54, +27.844,    +2.2, +1100.0,  +112.0,  +272.0
1723437540, +3.54, +27.877,    +2.2, +1038.0,   +96.0,  +384.0
1723438140, +3.54, +27.943,    +2.2, +1104.0,  +128.0,  +256.0
1723438740, +3.54, +28.017,    +2.9, +1048.0,   +96.0,  +384.0
1723439340, +3.54, +28.074,    +3.6, +1033.0,   +88.0,  +385.0
1723439940, +3.54, +28.107,    +3.4, +1020.0,   +80.0,  +400.0
1723440540, +3.54, +28.132,    +3.7,  +998.0,   +81.0,  +384.0
1723441140, +3.54, +28.165,    +3.7, +1047.0,   +80.0,  +388.0
1723441740, +3.54, +28.197,    +4.0, +1127.0,  +104.0,  +212.0
1723442340, +3.54, +28.214,    +4.8, +1048.0,   +83.0,  +374.0
1723442940, +3.54, +28.271,    +5.0, +1121.0,   +96.0,  +200.0
1723443540, +3.54, +28.288,    +5.2, +1112.0,  +108.0,  +232.0
1723444140, +3.54, +28.329,    +3.0, +1025.0,   +78.0,  +391.0
1723444740, +3.54, +28.312,    +6.0, +1118.0,  +112.0,  +230.0
1723445340, +3.54, +28.288,    +6.5, +1020.0,   +88.0,  +398.0
1723445940, +3.54, +28.206,    +7.0,  +999.0,   +64.0,  +390.0
1723446540, +3.54, +28.197,    +7.8, +1139.0,   +68.0,  +206.0
1723447140, +3.54, +28.156,    +7.7, +1040.0,   +84.0,  +384.0
1723447740, +3.54, +28.148,    +8.2, +1132.0,   +88.0,  +208.0
1723448340, +3.54, +28.124,   +11.5, +1100.0,  +104.0,  +268.0
1723448940, +3.54, +28.058,    +4.7, +1113.0,  +104.0,  +236.0
1723449540, +3.54, +27.968,   +11.2, +1046.0,   +83.0,  +368.0
1723450140, +3.54, +27.910,   +12.2, +1084.0,   +99.0,  +312.0
1723450740, +3.54, +27.045,    +9.8, +1056.0,   +92.0,  +339.0
1723451340, +3.54, +26.002,   +10.9, +1064.0,  +103.0,  +335.0
1723451940, +3.54, +25.637,   +10.4, +1072.0,  +112.0,  +332.0
1723452540, +3.54, +25.537,    +9.1, +1068.0,  +132.0,  +348.0
1723453140, +3.54, +25.470,    +9.5, +1071.0,  +120.0,  +327.0
1723453740, +3.54, +25.487,    +7.7, +1072.0,  +128.0,  +332.0
1723454340, +3.54, +25.603,    +8.5, +1068.0,  +115.0,  +352.0
1723454940, +3.54, +25.736,    +9.0, +1070.0,  +116.0,  +360.0
1723455540, +3.54, +25.886,    +9.2, +1068.0,  +108.0,  +344.0
1723456140, +3.54, +26.060,    +7.8, +1063.0,  +112.0,  +360.0
1723456740, +3.54, +26.168,    +8.3, +1063.0,  +102.0,  +352.0
1723457340, +3.54, +26.242,    +9.3, +1057.0,  +124.0,  +360.0
1723457940, +3.54, +26.300,    +9.4, +1056.0,  +142.0,  +352.0
1723458540, +3.54, +26.400,   +10.0, +1063.0,  +120.0,  +359.0
1723459140, +3.54, +26.449,    +9.8, +1049.0,  +160.0,  +360.0
1723459740, +3.54, +26.516,    +9.6, +1056.0,  +120.0,  +364.0
1723460340, +3.54, +26.582,    +9.1, +1055.0,  +152.0,  +380.0
1723460940, +3.54, +26.623,    +9.1, +1052.0,  +144.0,  +360.0
1723461540, +3.53, +26.673,    +9.1, +1055.0,  +115.0,  +376.0
1723462140, +3.54, +26.797,    +9.3, +1052.0,  +105.0,  +391.0
1723462740, +3.53, +26.913,   +10.1, +1048.0,  +115.0,  +388.0
1723463340, +3.53, +26.847,    +8.6, +1052.0,  +112.0,  +380.0
1723463940, +3.54, +26.789,    +9.1, +1056.0,  +112.0,  +348.0
1723464540, +3.53, +26.764,    +8.1, +1054.0,  +124.0,  +384.0
1723465140, +3.53, +26.747,    +7.2, +1055.0,  +124.0,  +369.0
1723465740, +3.53, +26.764,    +7.3, +1055.0,   +96.0,  +368.0
1723466340, +3.53, +26.764,    +5.8, +1054.0,  +144.0,  +360.0
1723466940, +3.53, +26.772,    +6.4, +1052.0,  +118.0,  +366.0
1723467540, +3.53, +26.780,    +7.1, +1055.0,   +96.0,  +368.0
1723468140, +3.53, +26.797,    +6.8, +1054.0,  +112.0,  +384.0
1723468740, +3.53, +26.780,    +6.3, +1054.0,  +102.0,  +374.0
1723469340, +3.53, +26.764,    +5.6, +1059.0,   +88.0,  +360.0
1723469940, +3.53, +26.739,    +5.1, +1054.0,   +88.0,  +352.0
1723470540, +3.53, +26.731,    +5.1, +1060.0,   +92.0,  +352.0
1723471140, +3.53, +26.789,    +4.0, +1056.0,   +88.0,  +376.0
1723471740, +3.53, +26.772,    +4.6, +1059.0,  +104.0,  +368.0
1723472340, +3.53, +26.797,    +3.1, +1062.0,   +79.0,  +364.0
1723472940, +3.53, +26.805,    +3.7, +1055.0,   +92.0,  +371.0
1723473540, +3.53, +26.797,    +3.8, +1060.0,   +97.0,  +368.0
1723474140, +3.53, +26.904,    +3.5, +1049.0,  +103.0,  +384.0
1723474740, +3.53, +27.276,    +1.7, +1046.0,   +96.0,  +368.0
1723475340, +3.53, +27.416,    +2.6, +1048.0,  +104.0,  +384.0
1723475940, +3.53, +27.565,    +1.5, +1033.0,   +83.0,  +368.0
1723476540, +3.53, +27.408,    +1.7, +1039.0,   +92.0,  +388.0
1723477140, +3.53, +27.424,    +1.5, +1049.0,   +96.0,  +384.0
1723477740, +3.53, +27.326,    +1.0, +1048.0,   +92.0,  +376.0
1723478340, +3.53, +27.400,    +0.9, +1039.0,  +108.0,  +387.0
1723478940, +3.53, +27.515,    +0.5, +1043.0,   +92.0,  +355.0
1723479540, +3.53, +27.499,    +0.4, +1038.0,   +96.0,  +392.0
1723480140, +3.53, +27.375,    +0.2, +1039.0,   +88.0,  +392.0
1723480740, +3.53, +27.276,    +0.0, +1044.0,   +92.0,  +384.0
1723481340, +3.53, +27.251,    -0.0, +1048.0,   +72.0,  +374.0
1723481940, +3.53, +27.268,    -0.0, +1054.0,   +78.0,  +368.0
