7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1728441540, +3.53, +28.124,    +0.0, +1136.0,   +36.0,  +214.0
1728442140, +3.53, +28.140,    -0.0, +1142.0,   +32.0,  +208.0
1728442740, +3.53, +28.132,    -0.1, +1139.0,   +40.0,  +216.0
1728443340, +3.53, +28.132,    +0.1, +1031.0,   +30.0,  +408.0
1728443940, +3.53, +28.132,    -0.1, +1132.0,   +48.0,  +224.0
1728444540, +3.53, +28.132,    -0.0, +1128.0,   +52.0,  +224.0
1728445140, +3.53, +28.148,    -0.0, +1142.0,   +24.0,  +217.0
1728445740, +3.53, +28.132,    +0.0, +1136.0,   +36.0,  +216.0
1728446340, +3.53, +28.140,    -0.1, +1113.0,   +60.0,  +260.0
1728446940, +3.53, +28.148,    +0.0, +1134.0,   +48.0,  +224.0
1728447540, +3.53, +28.140,    -0.1, +1129.0,   +48.0,  +220.0
1728448140, +3.53, +28.148,    +0.1, +1032.0,   +30.0,  +400.0
1728448740, +3.53, +28.140,    +0.1, +1132.0,   +38.0,  +216.0
1728449340, +3.53, +28.148,    -0.1, +1008.0,   +22.0,  +400.0
1728449940, +3.53, +28.148,    -0.1, +1132.0,   +40.0,  +209.0
1728450540, +3.53, +28.148,    -0.0, +1136.0,   +38.0,  +214.0
1728451140, +3.53, +28.140,    -0.1, +1132.0,   +48.0,  +220.0
1728451740, +3.53, +28.148,    +0.1, +1137.0,   +44.0,  +216.0
1728452340, +3.53, +28.140,    +0.1, +1008.0,   +24.0,  +398.0
1728452940, +3.53, +28.140,    +0.1, +1123.0,   +56.0,  +224.0
1728453540, +3.53, +28.148,    +0.1, +1128.0,   +52.0,  +216.0
1728454140, +3.53, +28.148,    -0.1, +1006.0,   +24.0,  +398.0
1728454740, +3.53, +28.156,    +0.0, +1028.0,   +28.0,  +406.0
1728455340, +3.53, +28.148,    +0.0, +1144.0,   +32.0,  +216.0
1728455940, +3.53, +28.148,    +0.2, +1144.0,   +16.0,  +231.0
1728456540, +3.53, +28.156,    +0.0, +1020.0,   +28.0,  +403.0
1728457140, +3.53, +28.148,    +0.1, +1039.0,   +32.0,  +398.0
1728457740, +3.53, +28.140,    +0.1, +1004.0,   +24.0,  +392.0
1728458340, +3.53, +28.148,    +0.0, +1132.0,   +48.0,  +216.0
1728458940, +3.53, +28.148,    +0.0, +1132.0,   +48.0,  +220.0
1728459540, +3.53, +28.156,    +0.1, +1118.0,   +60.0,  +240.0
1728460140, +3.53, +28.156,    +0.1, +1128.0,   +51.0,  +216.0
1728460740, +3.53, +28.156,    +0.0, +1132.0,   +49.0,  +216.0
1728461340, +3.53, +28.156,    -0.0, +1027.0,   +32.0,  +400.0
1728461940, +3.53, +28.156,    +0.0, +1132.0,   +50.0,  +220.0
1728462540, +3.53, +28.156,    +0.1, +1140.0,   +35.0,  +216.0
1728463140, +3.53, +28.156,    +0.0, +1136.0,   +48.0,  +216.0
1728463740, +3.53, +28.156,    +0.3, +1030.0,   +30.0,  +398.0
1728464340, +3.53, +28.156,    +0.1, +1052.0,   +38.0,  +384.0
1728464940, +3.53, +28.156,    +0.2, +1008.0,   +24.0,  +399.0
1728465540, +3.53, +28.156,    +0.2, +1134.0,   +51.0,  +216.0
1728466140, +3.53, +28.156,    +0.0, +1004.0,   +24.0,  +398.0
1728466740, +3.53, +28.156,    +0.1, +1136.0,   +40.0,  +216.0
1728467340, +3.53, +28.148,    -0.0, +1065.0,   +38.0,  +368.0
1728467940, +3.53, +28.148,    +0.1, +1126.0,   +60.0,  +230.0
1728468540, +3.53, +28.148,    +0.1, +1027.0,   +28.0,  +400.0
1728469140, +3.53, +28.148,    -0.1, +1136.0,   +40.0,  +212.0
1728469740, +3.53, +28.140,    +0.2, +1032.0,   +28.0,  +398.0
1728470340, +3.53, +28.148,    +0.1, +1017.0,   +19.0,  +401.0
1728470940, +3.53, +28.148,    +0.0, +1008.0,   +22.0,  +396.0
1728471540, +3.53, +28.140,    +0.0, +1142.0,   +32.0,  +220.0
1728472140, +3.53, +28.140,    +0.2, +1014.0,   +24.0,  +404.0
1728472740, +3.53, +28.140,    +0.1, +1144.0,   +32.0,  +212.0
1728473340, +3.53, +28.148,    +0.1, +1004.0,   +24.0,  +399.0
1728473940, +3.53, +28.132,    +0.0, +1016.0,   +24.0,  +400.0
1728474540, +3.53, +28.148,    -0.0, +1008.0,   +24.0,  +399.0
1728475140, +3.53, +28.140,    +0.1, +1016.0,   +24.0,  +403.0
1728475740, +3.53, +28.140,    -0.1, +1008.0,   +20.0,  +401.0
1728476340, +3.53, +28.148,    +0.1, +1132.0,   +48.0,  +216.0
1728476940, +3.53, +28.140,    -0.0, +1031.0,   +28.0,  +400.0
1728477540, +3.53, +28.148,    +0.0, +1040.0,   +32.0,  +392.0
1728478140, +3.53, +28.140,    -0.0, +1121.0,   +52.0,  +232.0
1728478740, +3.53, +28.148,    +0.1, +1004.0,   +24.0,  +399.0
1728479340, +3.53, +28.140,    +0.1, +1129.0,   +52.0,  +220.0
1728479940, +3.53, +28.148,    +0.0, +1121.0,   +60.0,  +224.0
1728480540, +3.53, +28.148,    -0.1, +1123.0,   +56.0,  +227.0
1728481140, +3.53, +28.140,    +0.1, +1132.0,   +51.0,  +220.0
1728481740, +3.53, +28.148,    +0.0, +1132.0,   +56.0,  +224.0
1728482340, +3.53, +28.148,    -0.0, +1009.0,   +24.0,  +403.0
1728482940, +3.53, +28.140,    +0.0, +1139.0,   +40.0,  +216.0
1728483540, +3.53, +28.148,    +0.0, +1129.0,   +54.0,  +216.0
1728484140, +3.53, +28.148,    +0.1, +1142.0,   +32.0,  +200.0
1728484740, +3.53, +28.140,    +0.0, +1030.0,   +32.0,  +400.0
1728485340, +3.53, +28.148,    +0.1, +1030.0,   +32.0,  +400.0
1728485940, +3.53, +28.140,    +0.0, +1120.0,   +64.0,  +236.0
1728486540, +3.53, +28.140,    +0.0, +1132.0,   +48.0,  +216.0
1728487140, +3.53, +28.148,    +0.1, +1140.0,   +35.0,  +211.0
1728487740, +3.53, +28.140,    -0.1, +1129.0,   +56.0,  +216.0
1728488340, +3.53, +28.140,    +0.1, +1142.0,   +32.0,  +224.0
1728488940, +3.53, +28.140,    +0.0, +1132.0,   +56.0,  +224.0
1728489540, +3.53, +28.148,    +0.1, +1132.0,   +56.0,  +216.0
1728490140, +3.53, +28.148,    -0.1, +1132.0,   +48.0,  +216.0
1728490740, +3.53, +28.140,    -0.2, +1009.0,   +24.0,  +399.0
1728491340, +3.53, +28.148,    +0.0, +1129.0,   +56.0,  +216.0
1728491940, +3.53, +28.140,    +0.1, +1120.0,   +64.0,  +240.0
1728492540, +3.53, +28.148,    -0.1, +1132.0,   +56.0,  +220.0
1728493140, +3.53, +28.140,    -0.0, +1124.0,   +64.0,  +230.0
1728493740, +3.53, +28.148,    -0.0, +1132.0,   +56.0,  +216.0
1728494340, +3.53, +28.148,    +0.0, +1123.0,   +64.0,  +228.0
1728494940, +3.53, +28.148,    -0.0, +1134.0,   +50.0,  +220.0
1728495540, +3.53, +28.156,    -0.1, +1031.0,   +30.0,  +396.0
1728496140, +3.53, +28.148,    -0.0, +1011.0,   +25.0,  +398.0
1728496740, +3.53, +28.156,    +0.1, +1024.0,   +28.0,  +399.0
1728497340, +3.53, +28.132,    -0.0, +1132.0,   +56.0,  +224.0
1728497940, +3.53, +28.148,    -0.0, +1142.0,   +32.0,  +208.0
1728498540, +3.53, +28.148,    +0.0, +1132.0,   +48.0,  +220.0
1728499140, +3.53, +28.148,    +0.1, +1008.0,   +19.0,  +398.0
1728499740, +3.53, +28.140,    -0.0, +1008.0,   +24.0,  +401.0
1728500340, +3.53, +28.148,    -0.0, +1025.0,   +28.0,  +398.0
1728500940, +3.53, +28.148,    -0.2, +1020.0,   +17.0,  +403.0
1728501540, +3.53, +28.156,    -0.0, +1016.0,   +28.0,  +403.0
1728502140, +3.53, +28.156,    -0.0, +1132.0,   +51.0,  +212.0
1728502740, +3.53, +28.156,    -0.0, +1004.0,   +15.0,  +392.0
1728503340, +3.53, +28.165,    -0.1, +1121.0,   +51.0,  +232.0
1728503940, +3.53, +28.165,    -0.0, +1127.0,   +51.0,  +220.0
1728504540, +3.53, +28.140,    -0.0, +1120.0,   +48.0,  +236.0
1728505140, +3.53, +28.165,    +0.0, +1136.0,    +6.0,  +220.0
1728505740, +3.53, +28.156,    +0.0, +1132.0,   +38.0,  +224.0
1728506340, +3.53, +28.140,    -0.0, +1015.0,   +12.0,  +400.0
1728506940, +3.53, +28.156,    -0.1, +1008.0,    -4.0,  +400.0
1728507540, +3.53, +28.148,    +0.0, +1121.0,   +51.0,  +232.0
1728508140, +3.53, +28.148,    -0.1, +1011.0,   +24.0,  +408.0
1728508740, +3.53, +28.148,    +0.1, +1039.0,   +24.0,  +399.0
1728509340, +3.53, +28.156,    +0.0, +1001.0,   +22.0,  +399.0
1728509940, +3.53, +28.148,    -0.0, +1008.0,   +16.0,  +400.0
1728510540, +3.53, +28.148,    +0.0, +1135.0,   +30.0,  +216.0
1728511140, +3.53, +28.148,    +0.1, +1003.0,   +17.0,  +400.0
1728511740, +3.53, +28.148,    -0.1, +1025.0,   +30.0,  +400.0
1728512340, +3.53, +28.140,    +0.1, +1039.0,   +14.0,  +406.0
1728512940, +3.53, +28.148,    +0.0, +1142.0,   +24.0,  +208.0
1728513540, +3.53, +28.132,    -0.0, +1132.0,   +28.0,  +216.0
1728514140, +3.53, +28.148,    -0.0, +1134.0,   +35.0,  +236.0
1728514740, +3.53, +28.140,    -0.2, +1128.0,   +48.0,  +224.0
1728515340, +3.53, +28.148,    +0.0, +1140.0,   +20.0,  +208.0
1728515940, +3.53, +28.140,    -0.0, +1008.0,   -26.0,  +400.0
1728516540, +3.53, +28.148,    -0.1, +1132.0,   +35.0,  +220.0
1728517140, +3.53, +28.140,    +0.0, +1008.0,    -4.0,  +412.0
1728517740, +3.53, +28.140,    +0.0, +1136.0,   +14.0,  +224.0
1728518340, +3.53, +28.140,    +0.0, +1020.0,   +24.0,  +408.0
1728518940, +3.53, +28.140,    -0.0, +1025.0,   +19.0,  +403.0
1728519540, +3.53, +28.140,    -0.1, +1136.0,   +24.0,  +230.0
1728520140, +3.53, +28.140,    -0.1, +1136.0,   +32.0,  +224.0
1728520740, +3.53, +28.148,    -0.1, +1129.0,   +32.0,  +220.0
1728521340, +3.53, +28.148,    +0.1, +1038.0,   +22.0,  +406.0
1728521940, +3.53, +28.132,    -0.0, +1136.0,   +24.0,  +224.0
1728522540, +3.53, +28.132,    -0.1, +1132.0,   +40.0,  +224.0
1728523140, +3.53, +28.132,    +0.0, +1136.0,   +33.0,  +216.0
1728523740, +3.53, +28.124,    -0.0, +1015.0,   +20.0,  +404.0
1728524340, +3.53, +28.140,    -0.1, +1139.0,    +8.0,  +224.0
1728524940, +3.53, +28.140,    +0.0, +1009.0,   +24.0,  +396.0
1728525540, +3.53, +28.140,    -0.0, +1136.0,   +38.0,  +216.0
1728526140, +3.53, +28.140,    -0.0, +1004.0,   +15.0,  +400.0
1728526740, +3.53, +28.132,    +0.1, +1040.0,   +32.0,  +396.0
1728527340, +3.53, +28.132,    -0.1, +1132.0,   +51.0,  +224.0
1728527940, +3.53, +28.132,    +0.1, +1128.0,   +48.0,  +220.0
