7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1731834540, +3.50, +23.153,    -0.1, +1073.0,   +48.0,  +374.0
1731835140, +3.50, +23.153,    +0.0, +1075.0,   +56.0,  +368.0
1731835740, +3.50, +23.136,    +0.0, +1075.0,   +56.0,  +368.0
1731836340, +3.50, +23.153,    -0.0, +1076.0,   +54.0,  +368.0
1731836940, +3.50, +23.144,    -0.0, +1072.0,   +56.0,  +374.0
1731837540, +3.50, +23.153,    +0.0, +1072.0,   +56.0,  +368.0
1731838140, +3.50, +23.153,    -0.0, +1072.0,   +56.0,  +371.0
1731838740, +3.50, +23.161,    +0.0, +1073.0,   +52.0,  +376.0
1731839340, +3.50, +23.153,    -0.0, +1075.0,   +51.0,  +368.0
1731839940, +3.50, +23.161,    -0.0, +1080.0,   +56.0,  +364.0
1731840540, +3.50, +23.161,    -0.0, +1075.0,   +56.0,  +360.0
1731841140, +3.50, +23.161,    -0.1, +1072.0,   +52.0,  +384.0
1731841740, +3.50, +23.161,    -0.1, +1080.0,   +60.0,  +364.0
1731842340, +3.50, +23.161,    -0.0, +1073.0,   +56.0,  +369.0
1731842940, +3.50, +23.169,    -0.0, +1076.0,   +56.0,  +368.0
1731843540, +3.50, +23.153,    +0.0, +1072.0,   +56.0,  +376.0
1731844140, +3.50, +23.178,    +0.0, +1073.0,   +51.0,  +371.0
1731844740, +3.50, +23.178,    +0.1, +1075.0,   +56.0,  +368.0
1731845340, +3.50, +23.178,    -0.0, +1072.0,   +56.0,  +376.0
1731845940, +3.50, +23.161,    +0.0, +1072.0,   +56.0,  +374.0
1731846540, +3.50, +23.178,    -0.0, +1072.0,   +64.0,  +376.0
1731847140, +3.50, +23.153,    -0.1, +1072.0,   +56.0,  +376.0
1731847740, +3.50, +23.178,    -0.1, +1078.0,   +60.0,  +368.0
1731848340, +3.50, +23.169,    -0.0, +1072.0,   +56.0,  +374.0
1731848940, +3.50, +23.178,    +0.0, +1072.0,   +60.0,  +376.0
1731849540, +3.50, +23.178,    -0.1, +1072.0,   +60.0,  +374.0
1731850140, +3.50, +23.169,    +0.0, +1072.0,   +56.0,  +374.0
1731850740, +3.50, +23.169,    +0.1, +1072.0,   +56.0,  +376.0
1731851340, +3.50, +23.178,    -0.1, +1073.0,   +56.0,  +371.0
1731851940, +3.50, +23.178,    +0.0, +1073.0,   +56.0,  +368.0
1731852540, +3.50, +23.161,    -0.0, +1072.0,   +56.0,  +374.0
1731853140, +3.50, +23.169,    +0.1, +1073.0,   +56.0,  +372.0
1731853740, +3.50, +23.178,    -0.0, +1072.0,   +64.0,  +368.0
1731854340, +3.50, +23.186,    +0.1, +1075.0,   +60.0,  +368.0
1731854940, +3.50, +23.178,    -0.1, +1078.0,   +64.0,  +358.0
1731855540, +3.50, +23.186,    +0.1, +1075.0,   +60.0,  +368.0
1731856140, +3.50, +23.178,    -0.1, +1073.0,   +60.0,  +368.0
1731856740, +3.50, +23.169,    +0.0, +1072.0,   +56.0,  +368.0
1731857340, +3.50, +23.169,    +0.0, +1073.0,   +64.0,  +372.0
1731857940, +3.50, +23.169,    +0.1, +1148.0,   +48.0,  +243.0
1731858540, +3.50, +23.169,    +0.0, +1073.0,   +64.0,  +376.0
1731859140, +3.50, +23.169,    +0.0, +1079.0,   +67.0,  +364.0
1731859740, +3.50, +23.186,    +0.0, +1072.0,   +64.0,  +374.0
1731860340, +3.50, +23.178,    -0.1, +1075.0,   +64.0,  +376.0
1731860940, +3.50, +23.178,    +0.1, +1072.0,   +56.0,  +360.0
1731861540, +3.50, +23.178,    -0.1, +1075.0,   +56.0,  +359.0
1731862140, +3.50, +23.169,    -0.1, +1072.0,   +80.0,  +384.0
1731862740, +3.50, +23.144,    +0.0, +1068.0,   +76.0,  +376.0
1731863340, +3.50, +23.119,    -0.0, +1073.0,   +80.0,  +387.0
1731863940, +3.50, +23.136,    -0.1, +1078.0,   +60.0,  +352.0
1731864540, +3.50, +23.119,    +0.0, +1073.0,   +72.0,  +371.0
1731865140, +3.50, +23.119,    -0.1, +1075.0,   +56.0,  +360.0
1731865740, +3.50, +23.136,    -0.0, +1073.0,   +70.0,  +384.0
1731866340, +3.50, +23.119,    -0.0, +1075.0,   +76.0,  +376.0
1731866940, +3.50, +23.119,    +0.0, +1072.0,   +48.0,  +368.0
1731867540, +3.50, +23.111,    +0.0, +1073.0,   +56.0,  +364.0
1731868140, +3.50, +23.128,    -0.0, +1080.0,   +62.0,  +360.0
1731868740, +3.50, +23.128,    +0.1, +1072.0,   +78.0,  +384.0
1731869340, +3.50, +23.128,    -0.0, +1080.0,   +57.0,  +368.0
1731869940, +3.50, +23.128,    -0.0, +1072.0,   +72.0,  +384.0
1731870540, +3.50, +23.111,    -0.0, +1075.0,   +72.0,  +376.0
