7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1730181540, +3.48, +18.781,    +0.7, +1096.0,  +144.0,  +304.0
1730182140, +3.48, +18.798,    +0.8, +1056.0,  +128.0,  +387.0
1730182740, +3.48, +18.832,    +0.8, +1043.0,  +124.0,  +414.0
1730183340, +3.48, +18.849,    +0.9, +1049.0,  +112.0,  +401.0
1730183940, +3.48, +18.882,    +1.0, +1091.0,  +136.0,  +320.0
1730184540, +3.48, +18.924,    +1.0, +1088.0,  +142.0,  +326.0
1730185140, +3.48, +18.983,    +1.0, +1007.0,  +108.0,  +422.0
1730185740, +3.48, +19.017,    +0.8, +1041.0,  +120.0,  +408.0
1730186340, +3.48, +19.068,    +1.1, +1004.0,   +96.0,  +416.0
1730186940, +3.48, +19.076,    +1.2, +1004.0,  +108.0,  +416.0
1730187540, +3.48, +19.076,    +1.2, +1072.0,  +136.0,  +360.0
1730188140, +3.48, +19.101,    +1.2, +1095.0,  +152.0,  +304.0
1730188740, +3.48, +19.110,    +1.3, +1011.0,  +112.0,  +415.0
1730189340, +3.48, +19.110,    +1.2, +1001.0,  +112.0,  +419.0
1730189940, +3.48, +19.127,    +1.3,  +995.0,  +108.0,  +416.0
1730190540, +3.48, +19.118,    +1.3, +1118.0,  +152.0,  +252.0
1730191140, +3.48, +19.118,    +1.3,  +995.0,  +103.0,  +414.0
1730191740, +3.48, +19.127,    +1.1, +1123.0,  +152.0,  +236.0
1730192340, +3.48, +19.169,    +1.3, +1123.0,  +156.0,  +240.0
1730192940, +3.49, +19.177,    +1.3, +1031.0,  +152.0,  +419.0
1730193540, +3.48, +19.194,    +1.2, +1123.0,  +160.0,  +232.0
1730194140, +3.48, +19.211,    +1.2, +1127.0,  +160.0,  +236.0
1730194740, +3.48, +19.228,    +1.2, +1092.0,  +172.0,  +304.0
1730195340, +3.48, +19.245,    +1.3, +1094.0,  +152.0,  +310.0
1730195940, +3.48, +19.236,    +1.2, +1094.0,  +176.0,  +304.0
1730196540, +3.49, +19.261,    +1.2, +1091.0,  +167.0,  +300.0
1730197140, +3.48, +19.261,    +1.2, +1123.0,  +161.0,  +240.0
1730197740, +3.49, +19.261,    +1.2, +1094.0,  +152.0,  +304.0
1730198340, +3.49, +19.236,    +1.2, +1096.0,  +160.0,  +294.0
1730198940, +3.49, +19.236,    +1.1, +1120.0,  +160.0,  +228.0
1730199540, +3.49, +19.219,    +1.0, +1127.0,  +158.0,  +220.0
1730200140, +3.49, +19.219,    +1.1, +1121.0,  +160.0,  +232.0
1730200740, +3.49, +19.219,    +1.1, +1001.0,  +103.0,  +409.0
1730201340, +3.49, +19.194,    +1.2, +1129.0,  +140.0,  +216.0
1730201940, +3.49, +19.194,    +1.1,  +996.0,   +87.0,  +396.0
1730202540, +3.49, +19.135,    +1.0, +1006.0,   +72.0,  +408.0
1730203140, +3.49, +19.085,    +1.0, +1139.0,  +112.0,  +208.0
1730203740, +3.49, +19.076,    +0.8, +1004.0,   +99.0,  +408.0
1730204340, +3.49, +19.076,    +0.9, +1012.0,   +96.0,  +408.0
1730204940, +3.49, +19.051,    +0.8, +1144.0,  +115.0,  +223.0
1730205540, +3.49, +19.051,    +0.6, +1137.0,  +116.0,  +214.0
1730206140, +3.49, +19.051,    +0.7, +1008.0,   +80.0,  +406.0
1730206740, +3.49, +19.059,    +0.5, +1136.0,  +112.0,  +208.0
1730207340, +3.49, +19.042,    +0.5, +1012.0,   +88.0,  +400.0
1730207940, +3.49, +19.059,    +0.5, +1024.0,   +81.0,  +398.0
1730208540, +3.49, +19.034,    +0.4, +1100.0,  +112.0,  +296.0
1730209140, +3.49, +19.059,    +0.3, +1103.0,  +124.0,  +272.0
1730209740, +3.49, +19.059,    +0.3, +1006.0,   +76.0,  +406.0
1730210340, +3.49, +19.068,    +0.4, +1008.0,   +64.0,  +408.0
1730210940, +3.49, +19.059,    +0.2, +1127.0,  +112.0,  +216.0
1730211540, +3.49, +19.059,    +0.2, +1004.0,   +70.0,  +408.0
1730212140, +3.49, +19.051,    +0.2,  +996.0,   +88.0,  +408.0
1730212740, +3.49, +19.076,    +0.1, +1047.0,  +104.0,  +398.0
1730213340, +3.49, +19.068,    +0.1,  +999.0,   +88.0,  +408.0
1730213940, +3.49, +19.085,    +0.1, +1039.0,  +128.0,  +400.0
1730214540, +3.49, +19.085,    -0.1,  +999.0,   +96.0,  +412.0
1730215140, +3.49, +19.093,    +0.0,  +998.0,  +108.0,  +416.0
1730215740, +3.49, +19.093,    -0.0, +1134.0,  +140.0,  +216.0
1730216340, +3.49, +19.085,    +0.0,  +999.0,   +96.0,  +408.0
1730216940, +3.49, +19.093,    +0.0,  +998.0,   +78.0,  +403.0
1730217540, +3.49, +19.093,    -0.0, +1004.0,   +96.0,  +412.0
1730218140, +3.49, +19.101,    -0.0, +1064.0,  +112.0,  +360.0
1730218740, +3.49, +19.093,    +0.0, +1062.0,   +96.0,  +384.0
1730219340, +3.49, +19.093,    -0.0, +1057.0,  +104.0,  +376.0
