7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1720263540, +3.53, +25.819,   +59.1, +1073.0,   +96.0,  +326.0
1720264140, +3.53, +25.819,   +61.8, +1073.0,   +80.0,  +326.0
1720264740, +3.53, +25.811,   +63.0, +1072.0,   +92.0,  +332.0
1720265340, +3.53, +25.794,   +59.9, +1072.0,   +78.0,  +328.0
1720265940, +3.53, +25.803,   +58.1, +1080.0,   +92.0,  +323.0
1720266540, +3.53, +25.794,   +55.5, +1075.0,   +96.0,  +323.0
1720267140, +3.53, +25.778,   +59.4, +1079.0,   +84.0,  +320.0
1720267740, +3.54, +25.769,   +56.0, +1075.0,   +88.0,  +332.0
1720268340, +3.53, +25.794,   +55.5, +1072.0,   +92.0,  +334.0
1720268940, +3.53, +25.811,   +55.5, +1073.0,   +92.0,  +334.0
1720269540, +3.53, +25.836,   +49.9, +1075.0,   +88.0,  +320.0
1720270140, +3.53, +25.836,   +47.8, +1075.0,   +96.0,  +327.0
1720270740, +3.54, +25.844,   +43.4, +1072.0,   +88.0,  +328.0
1720271340, +3.53, +25.861,   +41.1, +1072.0,   +88.0,  +326.0
1720271940, +3.54, +25.861,   +38.2, +1073.0,  +104.0,  +332.0
1720272540, +3.54, +25.869,   +34.9, +1073.0,  +102.0,  +324.0
1720273140, +3.54, +25.852,   +32.1, +1075.0,   +88.0,  +323.0
1720273740, +3.54, +25.828,   +29.5, +1072.0,  +102.0,  +328.0
1720274340, +3.54, +25.803,   +28.5, +1072.0,   +99.0,  +332.0
1720274940, +3.54, +25.794,    +8.5, +1075.0,   +92.0,  +320.0
1720275540, +3.53, +25.803,   +24.7, +1072.0,   +96.0,  +328.0
1720276140, +3.53, +25.811,   +22.3, +1078.0,   +96.0,  +320.0
1720276740, +3.54, +25.803,   +20.2, +1078.0,  +103.0,  +320.0
1720277340, +3.54, +25.786,   +18.5, +1076.0,   +80.0,  +316.0
1720277940, +3.54, +25.769,   +16.5, +1000.0,   +60.0,  +376.0
1720278540, +3.54, +25.769,   +14.7, +1072.0,   +96.0,  +324.0
1720279140, +3.54, +25.803,    +6.9, +1072.0,   +99.0,  +332.0
1720279740, +3.53, +25.811,   +10.3, +1072.0,  +104.0,  +323.0
1720280340, +3.54, +25.844,    +8.7, +1078.0,   +88.0,  +318.0
1720280940, +3.54, +25.919,    +5.7, +1073.0,   +80.0,  +326.0
1720281540, +3.54, +25.960,    +5.4, +1075.0,   +99.0,  +320.0
1720282140, +3.54, +25.977,    +4.1, +1073.0,   +92.0,  +332.0
1720282740, +3.54, +25.985,    +2.7, +1072.0,   +96.0,  +324.0
1720283340, +3.54, +25.969,    +2.1, +1068.0,  +100.0,  +336.0
1720283940, +3.54, +25.977,    +1.3, +1072.0,   +96.0,  +328.0
1720284540, +3.54, +25.960,    +0.7, +1072.0,   +80.0,  +323.0
1720285140, +3.54, +25.911,    +0.3, +1075.0,   +88.0,  +326.0
1720285740, +3.54, +25.902,    -0.0, +1072.0,   +88.0,  +326.0
1720286340, +3.54, +25.886,    +0.0, +1072.0,   +88.0,  +320.0
1720286940, +3.54, +25.877,    -0.1, +1072.0,   +88.0,  +320.0
1720287540, +3.54, +25.861,    -0.0, +1072.0,   +96.0,  +320.0
1720288140, +3.54, +25.828,    +0.0, +1070.0,  +100.0,  +326.0
1720288740, +3.54, +25.828,    -0.1, +1073.0,   +88.0,  +320.0
1720289340, +3.54, +25.819,    -0.0, +1072.0,   +88.0,  +332.0
1720289940, +3.54, +25.794,    -0.0, +1072.0,   +96.0,  +328.0
1720290540, +3.54, +25.803,    -0.1, +1072.0,  +102.0,  +332.0
1720291140, +3.54, +25.803,    +0.1, +1073.0,  +102.0,  +332.0
1720291740, +3.54, +25.786,    +0.0, +1075.0,   +88.0,  +320.0
1720292340, +3.54, +25.794,    -0.2, +1072.0,   +92.0,  +326.0
1720292940, +3.54, +25.786,    -0.1, +1073.0,  +108.0,  +324.0
1720293540, +3.54, +25.778,    -0.1, +1075.0,   +99.0,  +320.0
1720294140, +3.54, +25.786,    -0.0,  +998.0,   +78.0,  +380.0
1720294740, +3.54, +25.761,    -0.0, +1144.0,   +67.0,  +199.0
1720295340, +3.54, +25.753,    -0.0, +1073.0,   +92.0,  +323.0
1720295940, +3.54, +25.761,    -0.1, +1078.0,  +102.0,  +316.0
1720296540, +3.54, +25.736,    +0.0, +1078.0,   +88.0,  +316.0
1720297140, +3.54, +25.736,    -0.0, +1144.0,   +71.0,  +191.0
1720297740, +3.54, +25.720,    +0.0, +1073.0,   +88.0,  +316.0
1720298340, +3.54, +25.711,    -0.1, +1075.0,   +80.0,  +312.0
1720298940, +3.54, +25.703,    +0.0, +1073.0,   +96.0,  +320.0
1720299540, +3.54, +25.695,    -0.1, +1075.0,   +80.0,  +323.0
1720300140, +3.54, +25.670,    +0.1, +1144.0,   +88.0,  +207.0
1720300740, +3.54, +25.678,    +0.0, +1078.0,   +96.0,  +312.0
1720301340, +3.54, +25.653,    +0.0, +1073.0,  +108.0,  +323.0
1720301940, +3.54, +25.645,    +0.1, +1070.0,  +105.0,  +326.0
1720302540, +3.54, +25.653,    +0.0, +1072.0,  +103.0,  +320.0
1720303140, +3.54, +25.653,    -0.1, +1075.0,  +104.0,  +312.0
1720303740, +3.54, +25.653,    -0.0, +1078.0,  +112.0,  +312.0
1720304340, +3.54, +25.645,    +0.0, +1072.0,  +102.0,  +320.0
1720304940, +3.54, +25.653,    -0.0, +1075.0,   +99.0,  +312.0
1720305540, +3.54, +25.637,    -0.1, +1136.0,  +109.0,  +207.0
1720306140, +3.54, +25.637,    -0.0, +1139.0,  +107.0,  +219.0
1720306740, +3.54, +25.653,    +0.1, +1144.0,   +80.0,  +199.0
1720307340, +3.54, +25.653,    -0.0, +1072.0,  +102.0,  +320.0
1720307940, +3.54, +25.653,    -0.0, +1075.0,  +116.0,  +324.0
1720308540, +3.54, +25.653,    +0.0, +1072.0,  +118.0,  +326.0
1720309140, +3.53, +25.661,    -0.0, +1072.0,  +115.0,  +321.0
1720309740, +3.54, +25.661,    +0.1, +1078.0,  +112.0,  +320.0
1720310340, +3.54, +25.661,    -0.1, +1072.0,  +108.0,  +320.0
1720310940, +3.54, +25.670,    -0.1, +1072.0,  +104.0,  +326.0
1720311540, +3.54, +25.661,    -0.1, +1073.0,  +104.0,  +316.0
1720312140, +3.54, +25.661,    +0.1,  +995.0,   +99.0,  +391.0
1720312740, +3.54, +25.661,    +0.0,  +998.0,   +78.0,  +384.0
1720313340, +3.53, +25.661,    +0.0, +1072.0,  +120.0,  +328.0
1720313940, +3.53, +25.670,    -0.0, +1075.0,  +108.0,  +318.0
1720314540, +3.53, +25.661,    -0.1, +1072.0,  +112.0,  +326.0
1720315140, +3.53, +25.661,    +0.0, +1073.0,   +96.0,  +312.0
1720315740, +3.54, +25.653,    +0.1, +1072.0,  +120.0,  +320.0
1720316340, +3.53, +25.653,    +0.3, +1072.0,  +108.0,  +327.0
1720316940, +3.54, +25.645,    -0.1, +1076.0,  +103.0,  +320.0
1720317540, +3.53, +25.645,    +0.1,  +999.0,   +79.0,  +380.0
1720318140, +3.54, +25.653,    +0.1, +1070.0,  +131.0,  +336.0
1720318740, +3.54, +25.653,    +0.0, +1072.0,   +88.0,  +320.0
1720319340, +3.53, +25.661,    -0.0, +1073.0,  +104.0,  +327.0
