7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1732269540, +3.50, +23.052,    -0.1, +1056.0,  +179.0,  +408.0
1732270140, +3.50, +23.061,    -0.1, +1064.0,  +176.0,  +391.0
1732270740, +3.50, +23.061,    -0.0, +1055.0,  +184.0,  +416.0
1732271340, +3.50, +23.061,    -0.0, +1059.0,  +192.0,  +422.0
1732271940, +3.50, +23.069,    -0.0, +1062.0,  +167.0,  +408.0
1732272540, +3.50, +23.061,    +0.1, +1063.0,  +180.0,  +408.0
1732273140, +3.50, +23.061,    -0.0, +1056.0,  +176.0,  +403.0
1732273740, +3.50, +23.069,    -0.0, +1056.0,  +216.0,  +420.0
1732274340, +3.50, +23.061,    -0.0, +1057.0,  +200.0,  +440.0
1732274940, +3.50, +23.069,    +0.0, +1057.0,  +184.0,  +438.0
1732275540, +3.50, +23.069,    +0.1, +1056.0,  +208.0,  +408.0
1732276140, +3.50, +23.069,    +0.0, +1063.0,  +176.0,  +396.0
1732276740, +3.50, +23.069,    -0.1, +1063.0,  +184.0,  +398.0
1732277340, +3.50, +23.052,    -0.1, +1059.0,  +179.0,  +406.0
1732277940, +3.50, +23.044,    -0.0, +1055.0,  +204.0,  +409.0
1732278540, +3.50, +23.078,    -0.1, +1056.0,  +176.0,  +422.0
1732279140, +3.50, +23.069,    -0.0, +1059.0,  +176.0,  +419.0
1732279740, +3.50, +23.061,    +0.1, +1063.0,  +152.0,  +412.0
1732280340, +3.50, +23.061,    -0.1, +1054.0,  +192.0,  +432.0
1732280940, +3.50, +23.052,    +0.0, +1063.0,  +184.0,  +388.0
1732281540, +3.50, +23.061,    +0.0, +1063.0,  +160.0,  +417.0
1732282140, +3.50, +23.044,    -0.0, +1054.0,  +220.0,  +414.0
1732282740, +3.50, +23.052,    -0.1, +1062.0,  +168.0,  +403.0
1732283340, +3.50, +23.044,    -0.0, +1062.0,  +184.0,  +403.0
1732283940, +3.50, +23.044,    -0.0, +1057.0,  +168.0,  +408.0
1732284540, +3.50, +23.036,    +0.0, +1055.0,  +182.0,  +432.0
1732285140, +3.50, +23.044,    -0.0, +1063.0,  +163.0,  +440.0
1732285740, +3.50, +23.036,    -0.0, +1055.0,  +216.0,  +400.0
1732286340, +3.50, +23.044,    +0.0, +1055.0,  +225.0,  +408.0
1732286940, +3.50, +23.027,    +0.0, +1056.0,  +199.0,  +432.0
1732287540, +3.50, +23.036,    -0.0, +1052.0,  +246.0,  +358.0
1732288140, +3.50, +23.027,    -0.0, +1056.0,  +211.0,  +414.0
1732288740, +3.50, +23.044,    -0.1, +1046.0,  +252.0,  +440.0
1732289340, +3.50, +23.036,    -0.1, +1052.0,  +232.0,  +451.0
1732289940, +3.50, +23.044,    -0.0, +1055.0,  +192.0,  +408.0
1732290540, +3.50, +23.036,    -0.1, +1052.0,  +216.0,  +401.0
1732291140, +3.50, +23.036,    -0.0, +1056.0,  +227.0,  +412.0
