7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1734357540, +3.48, +21.211,    +2.8,  -765.0,  -848.0,   -84.0
1734358140, +3.48, +21.043,    +1.3,  -764.0,  -848.0,   -80.0
1734358740, +3.48, +20.883,    +0.8,  -765.0,  -848.0,   -82.0
1734359340, +3.48, +20.741,    +0.6,  -765.0,  -845.0,   -80.0
1734359940, +3.48, +20.598,    +0.4,  -761.0,  -848.0,   -84.0
1734360540, +3.49, +20.422,    +0.1,  -770.0,  -852.0,   -88.0
1734361140, +3.49, +20.262,    +0.1,  -788.0,  -868.0,  -112.0
1734361740, +3.49, +20.119,    -0.0,  -800.0,  -876.0,  -188.0
1734362340, +3.49, +20.002,    -0.1,  -800.0,  -876.0,  -208.0
1734362940, +3.48, +19.901,    -0.0,  -770.0,  -848.0,   -88.0
1734363540, +3.48, +19.800,    -0.0,  -800.0,  -872.0,  -212.0
1734364140, +3.49, +19.623,    -0.0,  -800.0,  -872.0,  -256.0
1734364740, +3.49, +19.346,    -0.0,  -784.0,  -868.0,   -98.0
1734365340, +3.49, +19.034,    +0.0,  -800.0,  -872.0,  -200.0
1734365940, +3.49, +18.722,    -0.1,  -765.0,  -842.0,   -84.0
1734366540, +3.49, +18.461,    -0.0,  -776.0,  -858.0,   -88.0
1734367140, +3.49, +18.224,    -0.1,  -799.0,  -880.0,  -160.0
1734367740, +3.49, +18.038,    +0.0,  -770.0,  -852.0,   -84.0
1734368340, +3.49, +18.055,    -0.0,  -767.0,  -848.0,   -84.0
1734368940, +3.48, +18.140,    +0.0,  -800.0,  -872.0,  -238.0
1734369540, +3.48, +18.258,    +0.0,  -800.0,  -876.0,  -180.0
1734370140, +3.48, +18.325,    -0.1,  -794.0,  -877.0,  -144.0
1734370740, +3.48, +18.418,    -0.1,  -788.0,  -872.0,  -104.0
1734371340, +3.48, +18.461,    -0.1,  -800.0,  -880.0,  -176.0
1734371940, +3.48, +18.503,    -0.0,  -770.0,  -857.0,   -84.0
1734372540, +3.48, +18.537,    +0.0,  -767.0,  -852.0,   -84.0
1734373140, +3.48, +18.570,    -0.0,  -768.0,  -858.0,   -80.0
1734373740, +3.48, +18.562,    -0.0,  -796.0,  -880.0,  -160.0
1734374340, +3.48, +18.258,    -0.0,  -800.0,  -872.0,  -232.0
1734374940, +3.48, +17.827,    -0.0,  -800.0,  -876.0,  -144.0
1734375540, +3.48, +17.420,    -0.0,  -792.0,  -872.0,  -306.0
1734376140, +3.48, +17.039,    -0.0,  -776.0,  -863.0,   -88.0
1734376740, +3.48, +16.716,    -0.1,  -792.0,  -904.0,  -336.0
1734377340, +3.48, +16.503,    +0.0,  -768.0,  -848.0,   -80.0
1734377940, +3.48, +16.316,    +0.0,  -776.0,  -864.0,   -84.0
1734378540, +3.48, +16.171,    -0.1,  -794.0,  -880.0,  -160.0
1734379140, +3.48, +16.043,    +0.0,  -776.0,  -861.0,   -84.0
1734379740, +3.48, +15.966,    -0.1,  -800.0,  -877.0,  -168.0
1734380340, +3.48, +15.864,    -0.0,  -800.0,  -880.0,  -184.0
1734380940, +3.48, +15.770,    -0.1,  -792.0,  -872.0,  -308.0
1734381540, +3.48, +15.650,    +0.1,  -800.0,  -880.0,  -184.0
1734382140, +3.48, +15.436,    -0.0,  -800.0,  -872.0,  -224.0
1734382740, +3.48, +15.256,    +0.0,  -780.0,  -864.0,   -89.0
1734383340, +3.48, +15.075,    -0.0,  -761.0,  -850.0,   -80.0
1734383940, +3.48, +14.921,    -0.0,  -800.0,  -872.0,  -244.0
1734384540, +3.48, +14.800,    -0.0,  -796.0,  -872.0,  -296.0
1734385140, +3.48, +14.723,    -0.1,  -781.0,  -864.0,   -88.0
1734385740, +3.48, +14.671,    -0.0,  -761.0,  -852.0,   -77.0
1734386340, +3.48, +14.636,    +0.0,  -776.0,  -866.0,   -88.0
1734386940, +3.48, +14.567,    -0.0,  -799.0,  -880.0,  -148.0
1734387540, +3.48, +14.507,    -0.0,  -776.0,  -864.0,   -82.0
1734388140, +3.48, +14.472,    +0.0,  -800.0,  -877.0,  -164.0
1734388740, +3.48, +14.403,    -0.0,  -797.0,  -880.0,  -224.0
1734389340, +3.48, +14.395,    +0.0,  -800.0,  -880.0,  -228.0
1734389940, +3.47, +14.351,    -0.0,  -784.0,  -872.0,  -104.0
1734390540, +3.47, +14.334,    -0.0,  -800.0,  -880.0,  -200.0
1734391140, +3.47, +14.222,    -0.1,  -794.0,  -872.0,  -296.0
1734391740, +3.47, +14.161,    +0.0,  -796.0,  -872.0,  -288.0
1734392340, +3.47, +14.040,    -0.1,  -792.0,  -872.0,  -300.0
1734392940, +3.47, +13.997,    -0.0,  -776.0,  -864.0,   -80.0
1734393540, +3.47, +13.971,    -0.1,  -781.0,  -872.0,   -90.0
1734394140, +3.47, +13.971,    -0.0,  -761.0,  -849.0,   -76.0
1734394740, +3.47, +13.892,    -0.0,  -761.0,  -850.0,   -80.0
1734395340, +3.47, +13.823,    -0.0,  -765.0,  -852.0,   -77.0
1734395940, +3.47, +13.745,    -0.0,  -761.0,  -850.0,   -77.0
1734396540, +3.47, +13.658,    -0.0,  -784.0,  -876.0,   -98.0
1734397140, +3.47, +13.545,    -0.0,  -798.0,  -878.0,  -238.0
1734397740, +3.47, +13.431,    -0.0,  -800.0,  -880.0,  -180.0
1734398340, +3.47, +13.353,    +0.1,  -792.0,  -878.0,  -296.0
1734398940, +3.47, +13.292,    -0.1,  -792.0,  -880.0,  -320.0
1734399540, +3.47, +13.248,    +0.0,  -792.0,  -880.0,  -320.0
1734400140, +3.47, +13.204,    -0.1,  -772.0,  -864.0,   -80.0
1734400740, +3.47, +13.196,    -0.0,  -762.0,  -852.0,   -74.0
1734401340, +3.47, +13.196,    -0.0,  -792.0,  -913.0,  -313.0
1734401940, +3.47, +13.187,    -0.1,  -792.0,  -876.0,  -296.0
1734402540, +3.47, +13.213,    -0.0,  -780.0,  -868.0,   -80.0
1734403140, +3.47, +13.187,    -0.0,  -780.0,  -872.0,   -88.0
1734403740, +3.47, +13.152,    +0.1,  -762.0,  -857.0,   -74.0
1734404340, +3.47, +13.082,    -0.0,  -776.0,  -868.0,   -80.0
1734404940, +3.47, +13.021,    -0.1,  -768.0,  -860.0,   -80.0
1734405540, +3.47, +12.933,    -0.0,  -778.0,  -872.0,   -88.0
1734406140, +3.47, +12.845,    -0.1,  -776.0,  -872.0,   -84.0
1734406740, +3.47, +12.775,    +0.0,  -800.0,  -880.0,  -200.0
1734407340, +3.47, +12.731,    -0.1,  -796.0,  -880.0,  -244.0
1734407940, +3.47, +12.749,    +0.0,  -784.0,  -880.0,  -112.0
1734408540, +3.47, +12.749,    -0.0,  -780.0,  -872.0,   -84.0
1734409140, +3.47, +12.723,    -0.0,  -792.0,  -880.0,  -288.0
1734409740, +3.47, +12.740,    -0.0,  -800.0,  -884.0,  -152.0
1734410340, +3.47, +12.705,    +0.1,  -800.0,  -880.0,  -204.0
1734410940, +3.46, +12.714,    +0.2,  -788.0,  -884.0,  -125.0
1734411540, +3.46, +12.705,    +0.3,  -794.0,  -880.0,  -276.0
1734412140, +3.46, +12.670,    +0.7,  -792.0,  -880.0,  -280.0
1734412740, +3.46, +12.661,    +1.0,  -797.0,  -880.0,  -256.0
1734413340, +3.46, +12.749,    +1.7,  -784.0,  -876.0,   -88.0
1734413940, +3.46, +12.863,    +2.4,  -784.0,  -880.0,  -104.0
1734414540, +3.46, +13.003,    +3.3,  -784.0,  -880.0,   -96.0
1734415140, +3.46, +13.143,    +4.5,  -761.0,  -857.0,   -72.0
1734415740, +3.46, +13.327,    +5.3,  -794.0,  -880.0,  -272.0
1734416340, +3.46, +13.614,    +6.5,  -792.0,  -884.0,  -312.0
1734416940, +3.46, +13.892,    +7.9,  -761.0,  -852.0,   -72.0
1734417540, +3.46, +14.178,    +9.0,  -792.0,  -880.0,  -266.0
1734418140, +3.46, +14.507,   +11.2,  -762.0,  -864.0,   -77.0
1734418740, +3.46, +14.886,   +12.6,  -760.0,  -857.0,   -76.0
1734419340, +3.46, +15.298,   +12.1,  -796.0,  -884.0,  -208.0
1734419940, +3.46, +15.735,   +15.8,  -772.0,  -872.0,   -80.0
1734420540, +3.46, +16.205,    +0.4,   +80.0, +1049.0,  +108.0
1734421140, +3.46, +17.124,    +0.8,  +104.0, +1472.0,  +424.0
1734421740, +3.46, +18.080,    +0.9,   +19.0, +1368.0,  +563.0
1734422340, +3.46, +19.202,    +0.4,  -144.0, +1295.0,  +707.0
1734422940, +3.46, +19.968,    +0.5,  -104.0,  -712.0,  -680.0
1734423540, +3.47, +18.958,    +0.6,  -116.0,  -717.0,  -576.0
1734424140, +3.47, +17.928,    +0.6,  -128.0,  -698.0,  -450.0
1734424740, +3.47, +17.141,    +0.6,  -125.0,  -712.0,  -488.0
1734425340, +3.47, +16.597,    +0.8,  -132.0,  -704.0,  -460.0
1734425940, +3.47, +16.248,    +0.6,  -128.0,  -704.0,  -464.0
1734426540, +3.47, +16.094,    +0.7,  -128.0,  -704.0,  -464.0
1734427140, +3.47, +16.060,    +0.8,  -120.0,  -712.0,  -572.0
1734427740, +3.47, +16.086,    +0.8,  -120.0,  -712.0,  -576.0
1734428340, +3.47, +16.214,    +0.9,  -120.0,  -712.0,  -560.0
1734428940, +3.47, +16.358,    +0.9,  -128.0,  -704.0,  -460.0
1734429540, +3.47, +16.537,    +1.0,  -128.0,  -704.0,  -464.0
1734430140, +3.47, +16.784,    +0.8,  -104.0,  -704.0,  -656.0
1734430740, +3.47, +17.022,    +1.0,  -128.0,  -704.0,  -464.0
1734431340, +3.47, +17.251,    +1.1,  -127.0,  -696.0,  -450.0
1734431940, +3.47, +17.505,    +1.3,  -109.0,  -708.0,  -656.0
1734432540, +3.47, +17.768,    +1.2,  -112.0,  -712.0,  -628.0
1734433140, +3.47, +18.021,    +1.6,   -96.0,  -712.0,  -730.0
1734433740, +3.47, +18.376,    +1.9,  -112.0,  -708.0,  -640.0
1734434340, +3.47, +19.127,   +11.5,  -120.0,  -712.0,  -576.0
1734434940, +3.47, +19.598,    +4.6,   -90.0,  -736.0,  -752.0
1734435540, +3.47, +19.867,    +6.8,  -128.0,  -708.0,  -474.0
1734436140, +3.47, +20.279,    +4.6,  -128.0,  -704.0,  -456.0
1734436740, +3.47, +20.758,    +2.2,  -124.0,  -697.0,  -450.0
1734437340, +3.47, +21.135,    +6.1,  -127.0,  -697.0,  -452.0
1734437940, +3.47, +21.571,    +7.2,  -152.0,  -576.0,  -632.0
1734438540, +3.47, +21.789,    +0.2,  -112.0, +1376.0,  +496.0
1734439140, +3.47, +21.177,    +0.1,  -121.0, +1279.0,  +537.0
1734439740, +3.48, +20.514,    +0.1,  -121.0, +1283.0,  +542.0
1734440340, +3.48, +19.993,    +0.1,  -111.0, +1403.0,  +448.0
1734440940, +3.48, +19.615,    +0.1,  -112.0, +1401.0,  +460.0
1734441540, +3.48, +19.329,    +0.2,  -119.0, +1283.0,  +536.0
1734442140, +3.48, +19.118,    +0.2,  -116.0, +1383.0,  +496.0
1734442740, +3.48, +18.941,    +0.2,  -125.0, +1289.0,  +542.0
1734443340, +3.48, +18.832,    +0.1,   -80.0, +1400.0,  +368.0
1734443940, +3.48, +18.722,    +0.1,   -92.0, +1423.0,  +376.0
