7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1723830540, +3.54, +27.861,    +0.1, +1120.0,  +103.0,  +230.0
1723831140, +3.54, +27.902,    -0.0, +1004.0,   +68.0,  +400.0
1723831740, +3.54, +27.951,    +0.1, +1097.0,  +104.0,  +280.0
1723832340, +3.54, +28.000,    -0.0, +1004.0,   +70.0,  +392.0
1723832940, +3.54, +28.058,    +0.0, +1000.0,   +70.0,  +398.0
1723833540, +3.54, +28.066,    -0.1, +1020.0,   +76.0,  +400.0
1723834140, +3.54, +28.107,    -0.1, +1128.0,   +96.0,  +216.0
1723834740, +3.54, +28.140,    +0.0, +1123.0,   +96.0,  +216.0
1723835340, +3.54, +28.156,    -0.0, +1116.0,  +112.0,  +238.0
1723835940, +3.54, +28.189,    -0.0, +1112.0,  +102.0,  +248.0
1723836540, +3.54, +28.222,    +0.0, +1088.0,   +96.0,  +316.0
1723837140, +3.54, +28.255,    -0.2, +1103.0,  +115.0,  +272.0
1723837740, +3.54, +28.247,    -0.1, +1102.0,  +103.0,  +272.0
1723838340, +3.54, +28.230,    +0.1, +1112.0,  +104.0,  +240.0
1723838940, +3.54, +28.214,    +0.1, +1116.0,   +99.0,  +240.0
1723839540, +3.54, +28.181,    +0.1, +1112.0,  +120.0,  +248.0
1723840140, +3.54, +28.230,    -0.1, +1004.0,   +64.0,  +399.0
1723840740, +3.54, +28.025,    -0.1, +1126.0,  +103.0,  +224.0
1723841340, +3.54, +27.844,    -0.0, +1118.0,  +112.0,  +236.0
1723841940, +3.54, +27.984,    +0.1,  +999.0,   +76.0,  +398.0
1723842540, +3.54, +27.877,    -0.1, +1028.0,   +78.0,  +398.0
1723843140, +3.54, +27.976,    -0.0, +1123.0,  +112.0,  +216.0
1723843740, +3.54, +28.050,    -0.0, +1124.0,  +108.0,  +220.0
1723844340, +3.54, +28.074,    -0.1, +1030.0,   +80.0,  +398.0
1723844940, +3.54, +28.345,    -0.0, +1043.0,   +83.0,  +384.0
1723845540, +3.54, +28.337,    -0.0, +1048.0,   +78.0,  +384.0
1723846140, +3.54, +28.353,    -0.0, +1126.0,  +102.0,  +216.0
1723846740, +3.54, +28.370,    -0.1, +1040.0,   +76.0,  +396.0
1723847340, +3.54, +28.452,    +0.1, +1020.0,   +70.0,  +396.0
1723847940, +3.54, +28.492,    -0.0,  +999.0,   +64.0,  +399.0
1723848540, +3.54, +28.476,    -0.1, +1009.0,   +70.0,  +408.0
1723849140, +3.54, +28.337,    +0.0, +1048.0,   +86.0,  +390.0
1723849740, +3.54, +28.460,    +0.2, +1024.0,   +62.0,  +392.0
1723850340, +3.54, +28.501,    -0.1, +1040.0,   +79.0,  +391.0
1723850940, +3.54, +28.509,    -0.1, +1088.0,   +96.0,  +304.0
1723851540, +3.54, +28.517,    +0.0, +1004.0,   +67.0,  +399.0
1723852140, +3.54, +28.484,    +0.1, +1004.0,   +56.0,  +392.0
1723852740, +3.54, +28.435,    +0.1, +1107.0,   +96.0,  +248.0
1723853340, +3.54, +28.419,    -0.0, +1030.0,   +76.0,  +392.0
