7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1724526540, +3.53, +28.017,    -0.1, +1112.0,  +152.0,  +230.0
1724527140, +3.53, +27.992,    -0.1, +1036.0,  +120.0,  +404.0
1724527740, +3.53, +27.959,    -0.0, +1017.0,  +110.0,  +398.0
1724528340, +3.53, +27.910,    +0.0, +1126.0,  +140.0,  +204.0
1724528940, +3.53, +27.869,    -0.0, +1000.0,   +99.0,  +392.0
1724529540, +3.53, +27.762,    -0.1, +1032.0,  +112.0,  +384.0
1724530140, +3.53, +27.589,    -0.1, +1025.0,   +99.0,  +384.0
1724530740, +3.53, +27.334,    -0.0, +1040.0,  +103.0,  +384.0
1724531340, +3.53, +27.243,    +0.0, +1039.0,  +110.0,  +368.0
1724531940, +3.53, +27.185,    +0.0, +1038.0,  +108.0,  +384.0
1724532540, +3.53, +27.103,    -0.1, +1048.0,  +113.0,  +368.0
1724533140, +3.53, +27.070,    +0.0, +1039.0,  +112.0,  +384.0
1724533740, +3.53, +27.053,    -0.0, +1039.0,  +126.0,  +380.0
1724534340, +3.53, +27.061,    -0.1, +1036.0,  +124.0,  +388.0
1724534940, +3.53, +27.061,    +0.0, +1039.0,  +128.0,  +376.0
1724535540, +3.53, +27.078,    +0.0, +1033.0,  +150.0,  +400.0
1724536140, +3.53, +27.119,    +0.0, +1041.0,  +128.0,  +380.0
1724536740, +3.53, +27.177,    +0.0, +1039.0,  +134.0,  +390.0
1724537340, +3.53, +27.227,    -0.0, +1036.0,  +142.0,  +392.0
1724537940, +3.53, +27.284,    +0.1, +1033.0,  +128.0,  +376.0
1724538540, +3.53, +27.293,    -0.1, +1031.0,  +166.0,  +393.0
1724539140, +3.53, +27.350,    +0.1, +1032.0,  +156.0,  +384.0
1724539740, +3.53, +27.383,    -0.1, +1009.0,  +158.0,  +416.0
1724540340, +3.53, +27.400,    -0.0, +1112.0,  +192.0,  +240.0
1724540940, +3.53, +27.416,    -0.0, +1024.0,  +156.0,  +412.0
1724541540, +3.53, +27.466,    -0.1, +1105.0,  +192.0,  +230.0
1724542140, +3.53, +27.490,    +0.0, +1107.0,  +192.0,  +204.0
1724542740, +3.53, +27.523,    +0.0, +1103.0,  +198.0,  +216.0
1724543340, +3.53, +27.573,    -0.0, +1073.0,  +192.0,  +304.0
1724543940, +3.53, +27.688,    +0.1, +1032.0,  +156.0,  +399.0
1724544540, +3.53, +27.663,    -0.1, +1031.0,  +131.0,  +396.0
1724545140, +3.53, +27.713,    -0.2, +1012.0,  +126.0,  +424.0
1724545740, +3.53, +27.762,    -0.1, +1091.0,  +152.0,  +270.0
1724546340, +3.53, +27.803,    -0.1, +1008.0,  +156.0,  +380.0
1724546940, +3.53, +27.828,    +0.0, +1016.0,  +140.0,  +398.0
1724547540, +3.53, +27.877,    +0.1, +1004.0,  +118.0,  +400.0
1724548140, +3.53, +27.918,    -0.1, +1001.0,  +120.0,  +387.0
1724548740, +3.53, +27.910,    +0.0, +1116.0,  +148.0,  +224.0
1724549340, +3.53, +27.885,    -0.1, +1028.0,  +116.0,  +390.0
1724549940, +3.53, +27.853,    +0.1, +1004.0,  +108.0,  +387.0
1724550540, +3.53, +27.828,    +0.1, +1056.0,  +120.0,  +358.0
1724551140, +3.53, +27.770,    -0.0, +1024.0,   +96.0,  +384.0
1724551740, +3.53, +27.729,    -0.2, +1014.0,   +88.0,  +388.0
1724552340, +3.53, +27.680,    +0.0, +1048.0,   +99.0,  +368.0
1724552940, +3.53, +27.663,    -0.0, +1024.0,   +96.0,  +392.0
1724553540, +3.53, +27.655,    -0.1,  +996.0,   +92.0,  +387.0
1724554140, +3.53, +27.655,    -0.1, +1024.0,  +103.0,  +387.0
1724554740, +3.53, +27.647,    +0.0, +1032.0,  +108.0,  +380.0
1724555340, +3.53, +27.630,    +0.0, +1055.0,  +104.0,  +364.0
1724555940, +3.53, +27.614,    -0.0, +1033.0,  +112.0,  +384.0
1724556540, +3.53, +27.581,    +0.1, +1107.0,  +156.0,  +240.0
1724557140, +3.53, +27.614,    -0.1, +1048.0,  +131.0,  +376.0
1724557740, +3.53, +27.622,    +0.1, +1072.0,  +140.0,  +332.0
1724558340, +3.53, +27.630,    +0.3, +1075.0,  +144.0,  +318.0
1724558940, +3.53, +27.655,    +0.4, +1080.0,  +140.0,  +312.0
1724559540, +3.53, +27.672,    +0.5, +1055.0,  +128.0,  +368.0
1724560140, +3.53, +27.655,    +0.9, +1031.0,  +110.0,  +387.0
1724560740, +3.53, +27.655,    +0.9, +1030.0,  +108.0,  +396.0
1724561340, +3.53, +27.655,    +1.0, +1096.0,  +129.0,  +272.0
1724561940, +3.53, +27.663,    +1.4, +1040.0,   +96.0,  +384.0
1724562540, +3.53, +27.663,    +1.8, +1118.0,  +128.0,  +230.0
1724563140, +3.53, +27.663,    +2.0, +1081.0,  +108.0,  +316.0
1724563740, +3.53, +27.663,    +2.2, +1036.0,   +92.0,  +390.0
