7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1718610540, +3.53, +23.963,   +18.5, +1142.0,   +78.0,  +184.0
1718611140, +3.53, +23.954,   +18.7, +1032.0,   +48.0,  +384.0
1718611740, +3.53, +23.938,   +19.7, +1095.0,  +112.0,  +264.0
1718612340, +3.53, +23.938,   +20.4, +1008.0,   +70.0,  +380.0
1718612940, +3.53, +23.938,   +22.3, +1068.0,   +72.0,  +339.0
1718613540, +3.53, +23.921,   +22.7, +1056.0,   +60.0,  +368.0
1718614140, +3.53, +23.913,   +23.7, +1063.0,   +71.0,  +356.0
1718614740, +3.53, +23.913,   +25.0, +1084.0,   +96.0,  +300.0
1718615340, +3.53, +23.904,   +26.6, +1033.0,   +72.0,  +380.0
1718615940, +3.53, +23.896,   +28.0, +1027.0,   +76.0,  +376.0
1718616540, +3.53, +23.921,   +29.2, +1039.0,   +92.0,  +368.0
1718617140, +3.53, +23.904,   +29.7, +1049.0,   +81.0,  +368.0
1718617740, +3.53, +23.871,   +31.0, +1084.0,  +104.0,  +296.0
1718618340, +3.53, +23.829,   +33.3, +1068.0,   +78.0,  +342.0
1718618940, +3.53, +23.854,   +34.8, +1103.0,  +112.0,  +252.0
1718619540, +3.53, +23.879,   +36.9, +1126.0,  +108.0,  +192.0
1718620140, +3.53, +23.929,   +39.1, +1004.0,   +67.0,  +376.0
1718620740, +3.53, +24.038,   +42.5,  +999.0,   +63.0,  +376.0
1718621340, +3.53, +24.071,   +43.1, +1001.0,   +65.0,  +369.0
1718621940, +3.53, +24.080,   +44.4, +1006.0,   +60.0,  +384.0
1718622540, +3.53, +24.080,   +44.3,  +999.0,   +71.0,  +376.0
1718623140, +3.53, +24.096,   +45.8, +1136.0,   +88.0,  +184.0
1718623740, +3.53, +24.155,   +45.6, +1136.0,   +80.0,  +186.0
1718624340, +3.53, +24.188,   +43.9, +1084.0,  +102.0,  +288.0
1718624940, +3.53, +24.196,   +43.5, +1004.0,   +64.0,  +376.0
1718625540, +3.53, +24.213,   +46.3, +1070.0,   +92.0,  +328.0
1718626140, +3.53, +24.221,   +44.1, +1062.0,   +70.0,  +352.0
1718626740, +3.53, +24.205,   +43.0, +1089.0,   +96.0,  +278.0
1718627340, +3.53, +24.196,   +39.9, +1087.0,   +96.0,  +294.0
1718627940, +3.53, +24.196,   +36.9,  +999.0,   +65.0,  +376.0
1718628540, +3.53, +24.221,   +34.8, +1091.0,   +96.0,  +284.0
1718629140, +3.53, +24.246,   +33.8, +1136.0,   +88.0,  +188.0
1718629740, +3.53, +24.313,   +32.6,  +999.0,   +71.0,  +376.0
1718630340, +3.53, +24.338,   +29.8,  +999.0,   +60.0,  +380.0
1718630940, +3.53, +24.363,   +27.8,  +999.0,   +63.0,  +375.0
1718631540, +3.53, +24.397,   +26.4,  +999.0,   +72.0,  +371.0
1718632140, +3.53, +24.422,   +24.6,  +999.0,   +67.0,  +374.0
1718632740, +3.53, +24.463,   +21.6,  +995.0,   +72.0,  +369.0
1718633340, +3.53, +24.530,   +19.3, +1000.0,   +54.0,  +380.0
1718633940, +3.53, +24.630,   +16.8, +1000.0,   +51.0,  +380.0
1718634540, +3.53, +24.663,   +14.9, +1094.0,   +84.0,  +278.0
1718635140, +3.53, +24.655,   +13.6,  +999.0,   +64.0,  +376.0
1718635740, +3.53, +24.688,   +12.2, +1000.0,   +56.0,  +376.0
1718636340, +3.53, +24.730,   +10.3, +1087.0,   +79.0,  +295.0
1718636940, +3.53, +24.730,    +8.7, +1000.0,   +54.0,  +376.0
1718637540, +3.53, +24.730,    +7.2, +1001.0,   +55.0,  +376.0
1718638140, +3.53, +24.722,    +6.2,  +999.0,   +57.0,  +376.0
1718638740, +3.53, +24.722,    +5.2, +1000.0,   +48.0,  +380.0
1718639340, +3.53, +24.730,    +4.3,  +999.0,   +56.0,  +376.0
1718639940, +3.53, +24.738,    +3.5,  +999.0,   +67.0,  +372.0
1718640540, +3.53, +24.738,    +2.7,  +999.0,   +64.0,  +377.0
1718641140, +3.53, +24.747,    +2.2,  +999.0,   +54.0,  +376.0
1718641740, +3.53, +24.755,    +1.3,  +999.0,   +70.0,  +376.0
1718642340, +3.53, +24.755,    +0.7,  +999.0,   +64.0,  +377.0
1718642940, +3.53, +24.763,    +0.5,  +999.0,   +70.0,  +371.0
