7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1733661540, +3.49, +21.688,    +0.0,  +999.0,   +86.0,  +448.0
1733662140, +3.49, +21.680,    +0.1,  +999.0,  +104.0,  +448.0
1733662740, +3.49, +21.680,    +0.1,  +998.0,   +99.0,  +456.0
1733663340, +3.49, +21.672,    +0.2, +1000.0,   +79.0,  +455.0
1733663940, +3.49, +21.672,    +0.2, +1000.0,   +67.0,  +435.0
1733664540, +3.49, +21.663,    +0.0, +1000.0,   +62.0,  +432.0
1733665140, +3.49, +21.663,    +0.0,  +999.0,   +80.0,  +460.0
1733665740, +3.49, +21.672,    +0.1,  +999.0,   +96.0,  +448.0
1733666340, +3.49, +21.655,    +0.0,  +995.0,  +108.0,  +448.0
1733666940, +3.49, +21.663,    -0.0,  +995.0,  +110.0,  +463.0
1733667540, +3.49, +21.655,    -0.0,  +995.0,  +120.0,  +454.0
1733668140, +3.49, +21.655,    -0.1, +1001.0,   +60.0,  +440.0
1733668740, +3.49, +21.655,    -0.0,  +999.0,   +88.0,  +440.0
1733669340, +3.49, +21.655,    -0.0,  +999.0,   +83.0,  +444.0
1733669940, +3.49, +21.646,    +0.1,  +999.0,   +88.0,  +444.0
1733670540, +3.49, +21.638,    +0.0,  +999.0,   +76.0,  +449.0
1733671140, +3.49, +21.638,    -0.0,  +998.0,  +102.0,  +451.0
1733671740, +3.49, +21.638,    -0.0,  +999.0,   +89.0,  +451.0
1733672340, +3.49, +21.646,    +0.0,  +999.0,   +86.0,  +456.0
1733672940, +3.49, +21.646,    -0.0,  +999.0,   +92.0,  +448.0
1733673540, +3.49, +21.630,    -0.2,  +999.0,  +103.0,  +448.0
1733674140, +3.49, +21.646,    -0.0,  +999.0,   +86.0,  +448.0
1733674740, +3.49, +21.646,    +0.0,  +999.0,   +78.0,  +435.0
1733675340, +3.49, +21.655,    -0.0, +1148.0,   +76.0,  +271.0
