7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1734618540, +3.47, +18.385,    +0.0,  -184.0,  -536.0,  -544.0
1734619140, +3.48, +18.351,    -0.1,  -178.0,  -538.0,  -573.0
1734619740, +3.48, +18.376,    +0.0,  -180.0,  -536.0,  -548.0
1734620340, +3.48, +18.359,    +0.1,  -180.0,  -538.0,  -562.0
1734620940, +3.48, +18.359,    -0.0,  -154.0,  -528.0,  -804.0
1734621540, +3.48, +18.359,    +0.0,  -178.0,  -538.0,  -604.0
1734622140, +3.48, +18.359,    +0.1,  -176.0,  -538.0,  -608.0
1734622740, +3.48, +18.368,    -0.1,  -176.0,  -538.0,  -652.0
1734623340, +3.48, +18.359,    -0.0,  -176.0,  -537.0,  -648.0
1734623940, +3.48, +18.368,    -0.1,  -176.0,  -536.0,  -600.0
1734624540, +3.48, +18.376,    -0.2,  -176.0,  -538.0,  -616.0
1734625140, +3.48, +18.376,    -0.0,  -176.0,  -532.0,  -656.0
1734625740, +3.48, +18.376,    +0.0,  -184.0,  -532.0,  -543.0
1734626340, +3.48, +18.368,    +0.0,  -180.0,  -537.0,  -573.0
1734626940, +3.48, +18.385,    +0.0,  -168.0,  -532.0,  -712.0
1734627540, +3.48, +18.376,    -0.0,  -178.0,  -537.0,  -584.0
1734628140, +3.48, +18.385,    -0.1,  -178.0,  -528.0,  -528.0
1734628740, +3.48, +18.401,    -0.0,  -184.0,  -536.0,  -536.0
1734629340, +3.48, +18.376,    -0.0,  -168.0,  -528.0,  -720.0
1734629940, +3.48, +18.401,    +0.0,  -180.0,  -537.0,  -570.0
1734630540, +3.48, +18.410,    +0.1,  -180.0,  -532.0,  -536.0
1734631140, +3.48, +18.401,    +0.0,  -184.0,  -536.0,  -538.0
1734631740, +3.48, +18.393,    -0.1,  -178.0,  -528.0,  -536.0
1734632340, +3.48, +18.401,    -0.1,  -168.0,  -528.0,  -716.0
1734632940, +3.48, +18.393,    -0.1,  -176.0,  -538.0,  -624.0
1734633540, +3.48, +18.385,    -0.0,  -180.0,  -536.0,  -537.0
1734634140, +3.48, +18.393,    -0.1,  -172.0,  -532.0,  -672.0
1734634740, +3.48, +18.385,    +0.0,  -180.0,  -536.0,  -538.0
1734635340, +3.48, +18.393,    -0.1,  -177.0,  -532.0,  -536.0
1734635940, +3.48, +18.385,    -0.1,  -180.0,  -537.0,  -552.0
1734636540, +3.48, +18.385,    -0.0,  -180.0,  -528.0,  -532.0
1734637140, +3.48, +18.393,    -0.0,  -183.0,  -536.0,  -540.0
1734637740, +3.48, +18.385,    -0.0,  -180.0,  -536.0,  -541.0
1734638340, +3.48, +18.385,    -0.0,  -180.0,  -532.0,  -536.0
1734638940, +3.48, +18.376,    +0.0,  -173.0,  -536.0,  -656.0
1734639540, +3.48, +18.376,    +0.0,  -180.0,  -538.0,  -560.0
1734640140, +3.48, +18.368,    -0.0,  -154.0,  -528.0,  -808.0
1734640740, +3.48, +18.359,    +0.0,  -180.0,  -538.0,  -562.0
1734641340, +3.48, +18.359,    -0.1,  -180.0,  -536.0,  -552.0
1734641940, +3.48, +18.359,    +0.1,  -178.0,  -538.0,  -560.0
1734642540, +3.48, +18.351,    +0.0,  -180.0,  -538.0,  -556.0
1734643140, +3.48, +18.342,    -0.1,  -180.0,  -537.0,  -568.0
1734643740, +3.48, +18.351,    +0.0,  -178.0,  -540.0,  -569.0
1734644340, +3.48, +18.351,    -0.0,  -180.0,  -532.0,  -538.0
1734644940, +3.48, +18.334,    +0.0,  -180.0,  -538.0,  -568.0
1734645540, +3.48, +18.325,    +0.1,  -156.0,  -528.0,  -792.0
1734646140, +3.48, +18.325,    -0.1,  -168.0,  -528.0,  -716.0
1734646740, +3.48, +18.317,    -0.1,  -178.0,  -536.0,  -608.0
1734647340, +3.48, +18.317,    -0.1,  -168.0,  -528.0,  -704.0
1734647940, +3.48, +18.300,    -0.1,  -176.0,  -536.0,  -640.0
1734648540, +3.48, +18.300,    -0.1,  -168.0,  -526.0,  -728.0
1734649140, +3.48, +18.266,    -0.1,  -178.0,  -538.0,  -576.0
1734649740, +3.48, +18.292,    -0.0,  -164.0,  -532.0,  -720.0
1734650340, +3.48, +18.292,    +0.1,  -172.0,  -536.0,  -680.0
1734650940, +3.48, +18.275,    -0.1,  -168.0,  -532.0,  -704.0
1734651540, +3.48, +18.258,    -0.1,  -176.0,  -538.0,  -618.0
1734652140, +3.48, +18.266,    +0.0,  -180.0,  -538.0,  -576.0
1734652740, +3.48, +18.258,    -0.0,  -176.0,  -536.0,  -650.0
1734653340, +3.48, +18.233,    -0.0,  -168.0,  -528.0,  -724.0
1734653940, +3.48, +18.249,    +0.0,  -168.0,  -532.0,  -708.0
1734654540, +3.48, +18.216,    -0.0,  -168.0,  -528.0,  -704.0
1734655140, +3.48, +18.224,    -0.0,  -168.0,  -528.0,  -716.0
1734655740, +3.48, +18.224,    -0.1,  -168.0,  -528.0,  -712.0
1734656340, +3.48, +18.199,    -0.0,  -168.0,  -532.0,  -708.0
1734656940, +3.48, +18.190,    -0.0,  -168.0,  -528.0,  -700.0
1734657540, +3.48, +18.190,    -0.0,  -176.0,  -540.0,  -610.0
1734658140, +3.48, +18.182,    -0.1,  -168.0,  -528.0,  -712.0
1734658740, +3.48, +18.173,    +0.0,  -160.0,  -528.0,  -720.0
1734659340, +3.48, +18.173,    +0.0,  -168.0,  -528.0,  -720.0
1734659940, +3.48, +18.165,    -0.0,  -168.0,  -528.0,  -718.0
1734660540, +3.48, +18.148,    -0.1,  -160.0,  -524.0,  -752.0
1734661140, +3.48, +18.148,    +0.0,  -172.0,  -528.0,  -712.0
1734661740, +3.48, +18.140,    -0.0,  -160.0,  -525.0,  -768.0
1734662340, +3.48, +18.123,    -0.1,  -168.0,  -528.0,  -720.0
1734662940, +3.48, +18.131,    +0.1,  -168.0,  -528.0,  -720.0
1734663540, +3.48, +18.123,    -0.0,  -168.0,  -532.0,  -708.0
1734664140, +3.48, +18.097,    -0.0,  -168.0,  -536.0,  -672.0
1734664740, +3.48, +18.106,    -0.1,  -168.0,  -528.0,  -718.0
1734665340, +3.48, +18.097,    +0.0,  -168.0,  -528.0,  -720.0
1734665940, +3.48, +18.097,    +0.0,  -168.0,  -528.0,  -712.0
1734666540, +3.48, +18.080,    -0.0,  -168.0,  -528.0,  -718.0
1734667140, +3.48, +18.080,    -0.0,  -180.0,  -527.0,  -527.0
1734667740, +3.48, +18.064,    -0.0,  -157.0,  -528.0,  -797.0
1734668340, +3.48, +18.055,    -0.0,  -168.0,  -528.0,  -720.0
1734668940, +3.48, +18.055,    +0.0,  -144.0,  -552.0,  -832.0
1734669540, +3.48, +18.055,    -0.0,  -152.0,  -538.0,  -824.0
1734670140, +3.48, +18.030,    +0.0,  -156.0,  -528.0,  -800.0
1734670740, +3.48, +18.038,    -0.0,  -168.0,  -528.0,  -704.0
1734671340, +3.48, +18.021,    +0.0,  -152.0,  -528.0,  -808.0
1734671940, +3.48, +18.013,    -0.0,  -152.0,  -532.0,  -816.0
1734672540, +3.48, +18.004,    -0.0,  -168.0,  -528.0,  -720.0
1734673140, +3.48, +18.004,    -0.1,  -177.0,  -528.0,  -525.0
1734673740, +3.48, +18.004,    +0.0,  -152.0,  -528.0,  -816.0
