7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1734270540, +3.48, +21.093,    +2.0,  -744.0,  -842.0,  -104.0
1734271140, +3.48, +21.001,    +2.4,  -765.0,  -842.0,   -89.0
1734271740, +3.48, +20.850,    +1.5,  -769.0,  -842.0,   -84.0
1734272340, +3.48, +20.657,    +1.1,  -768.0,  -845.0,   -87.0
1734272940, +3.48, +20.455,    +0.7,  -768.0,  -845.0,   -84.0
1734273540, +3.48, +20.262,    +0.4,  -772.0,  -845.0,   -88.0
1734274140, +3.48, +20.010,    +0.1,  -770.0,  -848.0,   -89.0
1734274740, +3.48, +19.665,    +0.1,  -800.0,  -872.0,  -212.0
1734275340, +3.48, +19.270,    -0.0,  -768.0,  -844.0,   -88.0
1734275940, +3.48, +18.882,    -0.0,  -800.0,  -864.0,  -269.0
1734276540, +3.48, +18.477,    +0.0,  -784.0,  -861.0,   -96.0
1734277140, +3.48, +18.157,    -0.0,  -796.0,  -880.0,  -328.0
1734277740, +3.48, +18.021,    -0.0,  -764.0,  -840.0,   -82.0
1734278340, +3.48, +17.962,    -0.1,  -768.0,  -845.0,   -84.0
1734278940, +3.48, +17.886,    -0.0,  -792.0,  -888.0,  -336.0
1734279540, +3.48, +17.810,    -0.0,  -800.0,  -864.0,  -244.0
1734280140, +3.48, +17.717,    +0.0,  -783.0,  -856.0,   -89.0
1734280740, +3.48, +17.581,    +0.1,  -800.0,  -872.0,  -200.0
1734281340, +3.48, +17.429,    -0.0,  -800.0,  -864.0,  -272.0
1734281940, +3.48, +17.302,    +0.0,  -776.0,  -856.0,   -88.0
1734282540, +3.48, +17.217,    +0.0,  -772.0,  -848.0,   -88.0
1734283140, +3.48, +17.098,    +0.0,  -800.0,  -872.0,  -216.0
1734283740, +3.48, +17.022,    -0.0,  -800.0,  -872.0,  -148.0
1734284340, +3.48, +16.920,    -0.1,  -800.0,  -868.0,  -234.0
1734284940, +3.48, +16.843,    -0.0,  -800.0,  -864.0,  -240.0
1734285540, +3.48, +16.690,    +0.1,  -796.0,  -868.0,  -314.0
1734286140, +3.48, +16.503,    -0.1,  -796.0,  -904.0,  -328.0
1734286740, +3.48, +16.375,    +0.0,  -780.0,  -856.0,   -90.0
1734287340, +3.48, +16.171,    -0.1,  -778.0,  -852.0,   -88.0
1734287940, +3.48, +16.017,    -0.0,  -800.0,  -872.0,  -168.0
1734288540, +3.48, +15.795,    -0.1,  -800.0,  -872.0,  -192.0
1734289140, +3.48, +15.573,    -0.0,  -800.0,  -872.0,  -200.0
1734289740, +3.48, +15.359,    -0.1,  -764.0,  -847.0,   -84.0
1734290340, +3.48, +15.264,    +0.1,  -767.0,  -844.0,   -84.0
1734290940, +3.48, +15.264,    -0.1,  -781.0,  -856.0,   -89.0
1734291540, +3.48, +15.213,    -0.1,  -800.0,  -868.0,  -180.0
1734292140, +3.48, +15.118,    -0.1,  -800.0,  -872.0,  -189.0
1734292740, +3.48, +14.981,    -0.0,  -800.0,  -864.0,  -244.0
1734293340, +3.48, +14.834,    +0.1,  -792.0,  -880.0,  -333.0
1734293940, +3.48, +14.843,    +0.0,  -800.0,  -864.0,  -296.0
1734294540, +3.48, +14.912,    -0.0,  -800.0,  -868.0,  -256.0
1734295140, +3.48, +15.024,    -0.1,  -800.0,  -872.0,  -168.0
1734295740, +3.48, +15.178,    -0.0,  -784.0,  -858.0,   -90.0
1734296340, +3.47, +15.281,    +0.0,  -800.0,  -872.0,  -244.0
1734296940, +3.47, +15.324,    -0.1,  -772.0,  -852.0,   -88.0
1734297540, +3.47, +15.281,    -0.0,  -798.0,  -868.0,  -320.0
1734298140, +3.47, +15.281,    -0.0,  -772.0,  -848.0,   -88.0
1734298740, +3.47, +15.196,    +0.0,  -769.0,  -845.0,   -84.0
1734299340, +3.47, +15.187,    -0.0,  -792.0,  -866.0,  -106.0
1734299940, +3.47, +15.204,    +0.0,  -797.0,  -868.0,  -138.0
1734300540, +3.47, +15.247,    -0.0,  -796.0,  -872.0,  -136.0
1734301140, +3.47, +15.256,    +0.0,  -784.0,  -860.0,   -92.0
1734301740, +3.47, +15.264,    -0.1,  -784.0,  -861.0,   -96.0
1734302340, +3.47, +15.247,    +0.0,  -780.0,  -857.0,   -90.0
1734302940, +3.47, +15.170,    -0.1,  -784.0,  -861.0,   -93.0
1734303540, +3.47, +15.110,    -0.1,  -800.0,  -864.0,  -252.0
1734304140, +3.47, +14.964,    -0.1,  -800.0,  -864.0,  -256.0
1734304740, +3.47, +14.774,    -0.1,  -784.0,  -860.0,   -93.0
1734305340, +3.47, +14.533,    -0.0,  -784.0,  -858.0,   -90.0
1734305940, +3.47, +14.386,    -0.1,  -788.0,  -864.0,  -104.0
1734306540, +3.47, +14.274,    -0.0,  -800.0,  -864.0,  -242.0
1734307140, +3.47, +14.248,    -0.1,  -800.0,  -868.0,  -212.0
1734307740, +3.47, +14.300,    -0.1,  -800.0,  -864.0,  -264.0
1734308340, +3.47, +14.308,    +0.0,  -800.0,  -868.0,  -208.0
1734308940, +3.47, +14.343,    +0.0,  -794.0,  -872.0,  -128.0
1734309540, +3.47, +14.395,    -0.1,  -800.0,  -872.0,  -196.0
1734310140, +3.47, +14.464,    +0.0,  -780.0,  -852.0,   -89.0
1734310740, +3.47, +14.455,    -0.0,  -784.0,  -864.0,   -96.0
1734311340, +3.47, +14.455,    +0.1,  -792.0,  -892.0,  -340.0
1734311940, +3.47, +14.524,    -0.1,  -781.0,  -860.0,   -92.0
1734312540, +3.47, +14.524,    +0.0,  -800.0,  -868.0,  -144.0
1734313140, +3.47, +14.447,    +0.0,  -784.0,  -860.0,   -93.0
1734313740, +3.47, +14.386,    -0.1,  -784.0,  -860.0,   -93.0
1734314340, +3.47, +14.334,    -0.1,  -800.0,  -868.0,  -192.0
1734314940, +3.47, +14.317,    +0.0,  -796.0,  -864.0,  -320.0
1734315540, +3.47, +14.282,    +0.0,  -800.0,  -872.0,  -157.0
1734316140, +3.47, +14.248,    -0.0,  -776.0,  -852.0,   -89.0
1734316740, +3.47, +14.213,    -0.1,  -800.0,  -872.0,  -221.0
1734317340, +3.47, +14.178,    -0.0,  -800.0,  -864.0,  -304.0
1734317940, +3.47, +14.066,    -0.0,  -765.0,  -839.0,   -80.0
1734318540, +3.47, +13.927,    +0.0,  -765.0,  -840.0,   -80.0
1734319140, +3.47, +13.788,    -0.0,  -800.0,  -864.0,  -248.0
1734319740, +3.47, +13.719,    -0.1,  -776.0,  -852.0,   -88.0
1734320340, +3.47, +13.710,    +0.1,  -793.0,  -900.0,  -321.0
1734320940, +3.47, +13.719,    -0.1,  -784.0,  -864.0,  -100.0
1734321540, +3.47, +13.658,    +0.0,  -800.0,  -868.0,  -141.0
1734322140, +3.47, +13.623,    -0.0,  -800.0,  -864.0,  -256.0
1734322740, +3.47, +13.606,    -0.0,  -794.0,  -868.0,  -122.0
1734323340, +3.47, +13.649,    -0.1,  -784.0,  -858.0,   -94.0
1734323940, +3.47, +13.684,    -0.0,  -784.0,  -858.0,   -93.0
1734324540, +3.46, +13.658,    +0.2,  -788.0,  -864.0,  -104.0
1734325140, +3.47, +13.553,    +0.3,  -788.0,  -864.0,  -100.0
1734325740, +3.46, +13.519,    +0.6,  -800.0,  -868.0,  -228.0
1734326340, +3.46, +13.545,    +1.0,  -765.0,  -842.0,   -82.0
1734326940, +3.46, +13.640,    +1.7,  -800.0,  -868.0,  -224.0
1734327540, +3.46, +13.736,    +2.5,  -776.0,  -856.0,   -84.0
1734328140, +3.46, +13.849,    +3.3,  -784.0,  -864.0,  -100.0
1734328740, +3.46, +13.979,    +4.3,  -800.0,  -908.0,  -321.0
1734329340, +3.46, +14.170,    +5.4,  -800.0,  -864.0,  -320.0
1734329940, +3.46, +14.369,    +6.3,  -800.0,  -868.0,  -154.0
1734330540, +3.46, +14.610,    +7.4,  -767.0,  -848.0,   -84.0
1734331140, +3.46, +14.921,    +8.4,  -800.0,  -864.0,  -256.0
1734331740, +3.46, +15.264,    +9.9,  -772.0,  -845.0,   -84.0
1734332340, +3.46, +15.616,   +11.0,  -768.0,  -845.0,   -82.0
1734332940, +3.46, +15.932,   +12.1,  -781.0,  -858.0,   -88.0
1734333540, +3.46, +16.265,   +13.5,  -780.0,  -856.0,   -88.0
1734334140, +3.46, +16.597,   +14.5,  -792.0,  -912.0,  -328.0
1734334740, +3.46, +16.920,   +15.4,  -797.0,  -868.0,  -128.0
1734335340, +3.46, +17.251,   +16.6,  -794.0,  -872.0,  -320.0
1734335940, +3.46, +17.581,   +17.1,  -800.0,  -872.0,  -157.0
1734336540, +3.47, +17.886,   +17.4,  -768.0,  -845.0,   -88.0
1734337140, +3.47, +18.165,   +17.2,  -800.0,  -868.0,  -252.0
1734337740, +3.47, +18.461,   +17.0,  -788.0,  -868.0,  -112.0
1734338340, +3.47, +18.714,   +17.1,  -800.0,  -872.0,  -152.0
1734338940, +3.47, +18.967,  +172.3,  -792.0,  -868.0,  -124.0
1734339540, +3.47, +19.278,  +315.7,  -781.0,  -858.0,   -90.0
1734340140, +3.47, +19.649,  +217.6,  -800.0,  -872.0,  -196.0
1734340740, +3.47, +20.086,  +124.3,  -768.0,  -848.0,   -84.0
1734341340, +3.47, +20.497,   +98.9,  -762.0,  -845.0,   -84.0
1734341940, +3.47, +20.934,   +77.3,  -764.0,  -844.0,   -82.0
1734342540, +3.47, +21.320,   +61.9,  -762.0,  -848.0,   -88.0
1734343140, +3.47, +21.655,   +51.6,  -762.0,  -845.0,   -87.0
1734343740, +3.47, +21.915,   +32.2,  -800.0,  -872.0,  -174.0
1734344340, +3.47, +22.074,   +23.7,  -800.0,  -876.0,  -168.0
1734344940, +3.47, +22.166,   +18.8,  -800.0,  -876.0,  -176.0
1734345540, +3.48, +22.224,   +16.4,  -800.0,  -872.0,  -168.0
1734346140, +3.48, +22.249,   +15.5,  -796.0,  -876.0,  -164.0
1734346740, +3.48, +22.249,   +15.0,  -800.0,  -872.0,  -164.0
1734347340, +3.48, +22.258,   +15.0,  -800.0,  -876.0,  -160.0
1734347940, +3.48, +22.291,   +15.1,  -799.0,  -876.0,  -160.0
1734348540, +3.48, +22.291,   +15.2,  -800.0,  -872.0,  -160.0
1734349140, +3.48, +22.283,   +15.7,  -797.0,  -880.0,  -160.0
1734349740, +3.48, +22.275,   +16.3,  -800.0,  -877.0,  -168.0
1734350340, +3.48, +22.258,   +17.5,  -800.0,  -872.0,  -173.0
1734350940, +3.48, +22.283,   +20.7,  -796.0,  -876.0,  -164.0
1734351540, +3.48, +22.275,   +17.0,  -800.0,  -872.0,  -164.0
1734352140, +3.48, +22.266,   +14.2,  -797.0,  -877.0,  -176.0
1734352740, +3.48, +22.216,   +12.1,  -800.0,  -876.0,  -168.0
1734353340, +3.48, +22.132,   +10.7,  -800.0,  -872.0,  -164.0
1734353940, +3.48, +22.007,    +9.9,  -800.0,  -876.0,  -173.0
1734354540, +3.48, +21.915,    +8.3,  -800.0,  -876.0,  -180.0
1734355140, +3.48, +21.755,    +7.5,  -800.0,  -874.0,  -180.0
1734355740, +3.49, +21.638,    +5.8,  -800.0,  -876.0,  -176.0
1734356340, +3.49, +21.504,    +5.4,  -762.0,  -845.0,   -88.0
1734356940, +3.49, +21.353,    +4.9,  -800.0,  -872.0,  -196.0
