7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1734183540, +3.48, +21.018,    +6.1,  -744.0,  -842.0,  -109.0
1734184140, +3.48, +20.875,    +5.3,  -744.0,  -840.0,  -109.0
1734184740, +3.48, +20.716,    +2.8,  -744.0,  -840.0,  -109.0
1734185340, +3.48, +20.539,    +1.1,  -744.0,  -842.0,  -109.0
1734185940, +3.48, +20.346,    +0.9,  -744.0,  -842.0,  -109.0
1734186540, +3.49, +20.170,    +0.6,  -768.0,  -896.0,  -372.0
1734187140, +3.49, +19.977,    +0.3,  -768.0,  -896.0,  -376.0
1734187740, +3.48, +19.775,    +0.2,  -776.0,  -872.0,  -208.0
1734188340, +3.48, +19.623,    +0.1,  -760.0,  -857.0,  -116.0
1734188940, +3.49, +19.371,    -0.1,  -756.0,  -856.0,  -116.0
1734189540, +3.49, +19.127,    -0.0,  -768.0,  -864.0,  -141.0
1734190140, +3.49, +18.908,    -0.1,  -760.0,  -860.0,  -116.0
1734190740, +3.48, +18.663,    +0.0,  -754.0,  -852.0,  -114.0
1734191340, +3.49, +18.444,    +0.1,  -780.0,  -868.0,  -256.0
1734191940, +3.48, +18.275,    -0.0,  -776.0,  -868.0,  -282.0
1734192540, +3.49, +18.097,    +0.0,  -768.0,  -864.0,  -336.0
1734193140, +3.49, +17.954,    +0.1,  -772.0,  -864.0,  -144.0
1734193740, +3.48, +17.827,    -0.1,  -762.0,  -857.0,  -121.0
1734194340, +3.48, +17.717,    -0.1,  -780.0,  -864.0,  -256.0
1734194940, +3.48, +17.615,    +0.0,  -746.0,  -842.0,  -106.0
1734195540, +3.48, +17.497,    -0.1,  -752.0,  -848.0,  -112.0
1734196140, +3.48, +17.395,    -0.0,  -768.0,  -868.0,  -350.0
1734196740, +3.48, +17.242,    -0.0,  -744.0,  -840.0,  -104.0
1734197340, +3.48, +17.056,    +0.0,  -756.0,  -848.0,  -109.0
1734197940, +3.48, +16.852,    -0.0,  -780.0,  -864.0,  -264.0
1734198540, +3.48, +16.631,    -0.0,  -768.0,  -888.0,  -365.0
1734199140, +3.48, +16.435,    +0.0,  -756.0,  -852.0,  -114.0
1734199740, +3.48, +16.231,    -0.0,  -776.0,  -872.0,  -200.0
1734200340, +3.48, +16.068,    +0.0,  -756.0,  -856.0,  -116.0
1734200940, +3.48, +15.923,    +0.0,  -780.0,  -868.0,  -208.0
1734201540, +3.48, +15.761,    -0.0,  -781.0,  -868.0,  -217.0
1734202140, +3.48, +15.547,    +0.0,  -783.0,  -864.0,  -216.0
1734202740, +3.48, +15.290,    -0.0,  -764.0,  -858.0,  -120.0
1734203340, +3.48, +15.075,    -0.0,  -768.0,  -880.0,  -364.0
1734203940, +3.48, +14.929,    +0.1,  -780.0,  -864.0,  -250.0
1734204540, +3.48, +14.809,    -0.0,  -749.0,  -840.0,  -106.0
1734205140, +3.48, +14.697,    -0.0,  -751.0,  -840.0,  -112.0
1734205740, +3.48, +14.619,    -0.1,  -749.0,  -840.0,  -112.0
1734206340, +3.48, +14.490,    -0.0,  -776.0,  -864.0,  -256.0
1734206940, +3.48, +14.351,    +0.0,  -776.0,  -864.0,  -176.0
1734207540, +3.48, +14.230,    +0.0,  -768.0,  -864.0,  -320.0
1734208140, +3.48, +14.170,    -0.0,  -768.0,  -864.0,  -349.0
1734208740, +3.48, +14.127,    -0.1,  -744.0,  -836.0,  -104.0
1734209340, +3.48, +14.049,    -0.1,  -744.0,  -836.0,  -109.0
1734209940, +3.48, +13.979,    -0.1,  -744.0,  -836.0,  -108.0
1734210540, +3.47, +13.884,    +0.0,  -749.0,  -840.0,  -112.0
1734211140, +3.48, +13.858,    +0.0,  -768.0,  -864.0,  -136.0
1734211740, +3.47, +13.823,    -0.0,  -760.0,  -856.0,  -114.0
1734212340, +3.47, +13.745,    -0.1,  -748.0,  -845.0,  -112.0
1734212940, +3.47, +13.693,    +0.0,  -768.0,  -864.0,  -136.0
1734213540, +3.47, +13.667,    -0.0,  -768.0,  -864.0,  -138.0
1734214140, +3.48, +13.667,    +0.0,  -768.0,  -864.0,  -304.0
1734214740, +3.47, +13.675,    -0.0,  -776.0,  -868.0,  -157.0
1734215340, +3.47, +13.675,    -0.1,  -776.0,  -864.0,  -308.0
1734215940, +3.47, +13.649,    +0.0,  -762.0,  -860.0,  -121.0
1734216540, +3.47, +13.588,    -0.0,  -776.0,  -864.0,  -300.0
1734217140, +3.47, +13.501,    +0.0,  -776.0,  -864.0,  -288.0
1734217740, +3.47, +13.362,    +0.0,  -776.0,  -864.0,  -306.0
1734218340, +3.47, +13.213,    -0.1,  -768.0,  -888.0,  -372.0
1734218940, +3.47, +13.117,    -0.1,  -756.0,  -852.0,  -112.0
1734219540, +3.47, +13.056,    -0.1,  -749.0,  -848.0,  -106.0
1734220140, +3.47, +13.012,    -0.1,  -756.0,  -856.0,  -116.0
1734220740, +3.47, +12.898,    +0.0,  -768.0,  -861.0,  -128.0
1734221340, +3.47, +12.784,    -0.0,  -780.0,  -864.0,  -256.0
1734221940, +3.47, +12.749,    +0.0,  -784.0,  -864.0,  -226.0
1734222540, +3.47, +12.837,    +0.1,  -784.0,  -864.0,  -264.0
1734223140, +3.47, +12.889,    +0.0,  -768.0,  -864.0,  -144.0
1734223740, +3.47, +12.933,    -0.0,  -776.0,  -864.0,  -256.0
1734224340, +3.47, +13.029,    +0.0,  -780.0,  -864.0,  -188.0
1734224940, +3.47, +13.161,    -0.0,  -768.0,  -864.0,  -340.0
1734225540, +3.47, +13.222,    -0.1,  -744.0,  -840.0,  -104.0
1734226140, +3.47, +13.152,    -0.1,  -768.0,  -864.0,  -132.0
1734226740, +3.47, +13.056,    -0.1,  -754.0,  -856.0,  -112.0
1734227340, +3.47, +12.924,    -0.0,  -760.0,  -856.0,  -114.0
1734227940, +3.47, +12.889,    +0.0,  -768.0,  -864.0,  -128.0
1734228540, +3.47, +12.845,    -0.0,  -776.0,  -864.0,  -288.0
1734229140, +3.47, +12.775,    -0.0,  -784.0,  -868.0,  -218.0
1734229740, +3.47, +12.740,    -0.0,  -782.0,  -864.0,  -232.0
1734230340, +3.46, +12.775,    +0.0,  -780.0,  -864.0,  -276.0
1734230940, +3.46, +12.845,    +0.0,  -776.0,  -868.0,  -176.0
1734231540, +3.46, +12.898,    +0.0,  -760.0,  -858.0,  -116.0
1734232140, +3.46, +12.819,    -0.1,  -776.0,  -868.0,  -164.0
1734232740, +3.46, +12.582,    +0.0,  -768.0,  -896.0,  -356.0
1734233340, +3.46, +12.591,    +0.1,  -776.0,  -864.0,  -320.0
1734233940, +3.46, +12.635,    -0.0,  -751.0,  -848.0,  -109.0
1734234540, +3.46, +12.696,    -0.0,  -776.0,  -864.0,  -285.0
1734235140, +3.46, +12.740,    -0.1,  -781.0,  -864.0,  -218.0
1734235740, +3.46, +12.793,    -0.1,  -768.0,  -864.0,  -360.0
1734236340, +3.46, +12.819,    +0.0,  -780.0,  -864.0,  -232.0
1734236940, +3.46, +12.845,    -0.0,  -776.0,  -868.0,  -228.0
1734237540, +3.46, +12.907,    +0.0,  -776.0,  -864.0,  -256.0
1734238140, +3.46, +12.942,    +0.1,  -760.0,  -856.0,  -116.0
1734238740, +3.46, +13.029,    +0.3,  -760.0,  -856.0,  -116.0
1734239340, +3.46, +13.091,    +0.7,  -760.0,  -858.0,  -112.0
1734239940, +3.46, +13.239,    +1.0,  -760.0,  -856.0,  -112.0
1734240540, +3.46, +13.397,    +1.8,  -768.0,  -872.0,  -360.0
1734241140, +3.46, +13.536,    +2.5,  -780.0,  -868.0,  -238.0
1734241740, +3.46, +13.762,    +3.3,  -776.0,  -864.0,  -288.0
1734242340, +3.46, +13.962,    +4.2,  -756.0,  -856.0,  -112.0
1734242940, +3.46, +14.153,    +5.4,  -768.0,  -864.0,  -344.0
1734243540, +3.46, +14.360,    +6.4,  -776.0,  -868.0,  -168.0
1734244140, +3.46, +14.636,    +7.3,  -768.0,  -880.0,  -372.0
1734244740, +3.46, +14.964,    +8.4,  -781.0,  -864.0,  -240.0
1734245340, +3.46, +15.290,    +9.7,  -743.0,  -842.0,  -109.0
1734245940, +3.46, +15.641,   +11.0,  -743.0,  -840.0,  -109.0
1734246540, +3.46, +15.975,   +12.2,  -756.0,  -856.0,  -112.0
1734247140, +3.46, +16.307,   +13.6,  -756.0,  -856.0,  -116.0
1734247740, +3.46, +16.622,   +14.4,  -749.0,  -852.0,  -109.0
1734248340, +3.46, +16.928,   +15.0,  -768.0,  -868.0,  -154.0
1734248940, +3.46, +17.225,   +16.5,  -768.0,  -911.0,  -353.0
1734249540, +3.46, +17.547,   +16.6,  -776.0,  -872.0,  -192.0
1734250140, +3.46, +17.844,   +17.2,  -749.0,  -848.0,  -109.0
1734250740, +3.46, +18.123,   +16.8,  -768.0,  -872.0,  -348.0
1734251340, +3.46, +18.385,   +16.4,  -776.0,  -872.0,  -228.0
1734251940, +3.46, +18.621,   +16.1,  -746.0,  -852.0,  -112.0
1734252540, +3.46, +18.832,  +136.2,  -776.0,  -868.0,  -252.0
1734253140, +3.47, +19.093,  +332.7,  -776.0,  -872.0,  -216.0
1734253740, +3.47, +19.455,  +263.1,  -746.0,  -848.0,  -112.0
1734254340, +3.47, +19.850,  +133.0,  -748.0,  -852.0,  -106.0
1734254940, +3.47, +20.245,  +109.3,  -776.0,  -872.0,  -240.0
1734255540, +3.47, +20.640,   +87.1,  -744.0,  -845.0,  -106.0
1734256140, +3.47, +20.984,   +69.8,  -744.0,  -845.0,  -106.0
1734256740, +3.47, +21.278,   +56.3,  -740.0,  -848.0,  -109.0
1734257340, +3.47, +21.496,   +33.4,  -776.0,  -872.0,  -208.0
1734257940, +3.47, +21.605,   +23.3,  -743.0,  -845.0,  -104.0
1734258540, +3.47, +21.646,   +18.4,  -776.0,  -872.0,  -208.0
1734259140, +3.47, +21.638,   +15.8,  -776.0,  -872.0,  -212.0
1734259740, +3.47, +21.613,   +15.1,  -776.0,  -872.0,  -208.0
1734260340, +3.47, +21.571,   +14.7,  -740.0,  -842.0,  -104.0
1734260940, +3.48, +21.521,   +14.3,  -776.0,  -872.0,  -208.0
1734261540, +3.48, +21.521,   +14.2,  -744.0,  -844.0,  -106.0
1734262140, +3.48, +21.504,   +14.6,  -744.0,  -845.0,  -104.0
1734262740, +3.48, +21.512,   +15.2,  -776.0,  -872.0,  -205.0
1734263340, +3.48, +21.546,   +16.1,  -776.0,  -872.0,  -208.0
1734263940, +3.48, +21.579,   +16.9,  -776.0,  -872.0,  -205.0
1734264540, +3.48, +21.613,   +20.4,  -776.0,  -872.0,  -205.0
1734265140, +3.48, +21.638,   +17.1,  -776.0,  -872.0,  -200.0
1734265740, +3.48, +21.672,   +13.5,  -768.0,  -872.0,  -208.0
1734266340, +3.48, +21.638,   +11.5,  -776.0,  -872.0,  -208.0
1734266940, +3.48, +21.596,   +10.5,  -776.0,  -872.0,  -208.0
1734267540, +3.48, +21.521,    +9.0,  -776.0,  -872.0,  -208.0
1734268140, +3.48, +21.454,    +7.1,  -740.0,  -845.0,  -105.0
1734268740, +3.48, +21.370,    +7.9,  -776.0,  -872.0,  -212.0
1734269340, +3.48, +21.294,    +6.4,  -740.0,  -845.0,  -109.0
1734269940, +3.48, +21.177,    +5.5,  -743.0,  -847.0,  -106.0
