7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1721307540, +3.54, +27.400,   +16.6, +1056.0,   +80.0,  +360.0
1721308140, +3.54, +27.301,   +15.4, +1054.0,   +71.0,  +368.0
1721308740, +3.54, +27.194,   +13.5, +1057.0,   +79.0,  +364.0
1721309340, +3.54, +27.128,   +12.5, +1055.0,   +78.0,  +364.0
1721309940, +3.54, +27.061,   +12.2, +1059.0,   +86.0,  +355.0
1721310540, +3.54, +27.053,    +5.0, +1062.0,   +78.0,  +352.0
1721311140, +3.54, +27.086,   +11.7, +1055.0,   +83.0,  +360.0
1721311740, +3.54, +27.136,   +10.2, +1057.0,   +83.0,  +360.0
1721312340, +3.54, +27.070,   +10.8, +1055.0,   +84.0,  +360.0
1721312940, +3.54, +27.004,    +8.0, +1056.0,   +88.0,  +359.0
1721313540, +3.54, +26.946,    +5.3, +1059.0,   +81.0,  +355.0
1721314140, +3.54, +26.896,    +3.6, +1056.0,   +83.0,  +355.0
1721314740, +3.54, +26.995,    +7.0, +1063.0,  +103.0,  +336.0
1721315340, +3.54, +26.979,    +5.6, +1057.0,   +92.0,  +355.0
1721315940, +3.54, +27.053,    +3.8, +1055.0,   +88.0,  +352.0
1721316540, +3.54, +27.185,    +2.8, +1056.0,   +92.0,  +352.0
1721317140, +3.54, +27.078,    +2.3, +1060.0,   +88.0,  +352.0
1721317740, +3.54, +27.028,    +1.5, +1056.0,   +83.0,  +355.0
1721318340, +3.54, +26.995,    +1.4, +1055.0,   +83.0,  +360.0
1721318940, +3.54, +26.607,    +1.1, +1063.0,   +80.0,  +352.0
1721319540, +3.54, +26.400,    +0.6, +1070.0,   +83.0,  +337.0
1721320140, +3.54, +26.242,    +0.5, +1070.0,   +76.0,  +334.0
1721320740, +3.54, +26.118,    +0.4, +1072.0,   +76.0,  +328.0
1721321340, +3.54, +25.927,    -0.0, +1073.0,   +78.0,  +332.0
1721321940, +3.54, +25.886,    +0.1, +1075.0,   +80.0,  +323.0
1721322540, +3.54, +25.877,    +0.1, +1072.0,   +78.0,  +334.0
1721323140, +3.54, +25.894,    +0.0, +1072.0,   +81.0,  +339.0
1721323740, +3.54, +25.911,    -0.1, +1072.0,   +80.0,  +336.0
1721324340, +3.54, +25.869,    +0.1, +1076.0,   +84.0,  +327.0
1721324940, +3.54, +25.861,    +0.1, +1072.0,   +88.0,  +336.0
1721325540, +3.54, +25.836,    -0.1, +1072.0,   +81.0,  +342.0
1721326140, +3.54, +25.844,    -0.0, +1075.0,   +88.0,  +334.0
