7530-303058
OS REV: 1.08 Sensor Cal: 1706256000 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1725918540, +3.54, +29.625,    +0.0, +1110.0,  +118.0,  +248.0
1725919140, +3.54, +29.625,    +0.0, +1008.0,   +44.0,  +400.0
1725919740, +3.54, +29.633,    -0.1, +1128.0,   +96.0,  +224.0
1725920340, +3.54, +29.633,    +0.0, +1132.0,  +142.0,  +216.0
1725920940, +3.54, +29.633,    +0.0, +1139.0,   +60.0,  +225.0
1725921540, +3.54, +29.649,    -0.1, +1110.0,   +99.0,  +256.0
1725922140, +3.54, +29.641,    +0.1, +1118.0,   +56.0,  +240.0
1725922740, +3.54, +29.649,    -0.0, +1134.0,   +72.0,  +216.0
1725923340, +3.54, +29.666,    -0.0, +1127.0,   +78.0,  +216.0
1725923940, +3.54, +29.649,    -0.2, +1137.0,   +72.0,  +219.0
1725924540, +3.54, +29.633,    -0.0, +1123.0,  +100.0,  +224.0
1725925140, +3.54, +29.633,    +0.1, +1127.0,   +68.0,  +208.0
1725925740, +3.54, +29.633,    -0.0, +1112.0,   +80.0,  +248.0
1725926340, +3.54, +29.641,    -0.1, +1107.0,  +134.0,  +262.0
1725926940, +3.54, +29.674,    -0.1, +1116.0,   +64.0,  +240.0
1725927540, +3.54, +29.690,    +0.1, +1116.0,   +96.0,  +236.0
1725928140, +3.54, +29.714,    +0.0, +1105.0,  +104.0,  +252.0
1725928740, +3.54, +29.722,    -0.1, +1084.0,   +83.0,  +316.0
1725929340, +3.54, +29.730,    +0.0, +1111.0,   +64.0,  +240.0
1725929940, +3.54, +29.730,    -0.0, +1116.0,   +64.0,  +236.0
1725930540, +3.54, +29.722,    -0.0, +1136.0,   +88.0,  +224.0
1725931140, +3.54, +29.714,    +0.0, +1139.0,   +35.0,  +204.0
1725931740, +3.54, +29.706,    -0.0, +1132.0,   +88.0,  +214.0
1725932340, +3.54, +29.714,    +0.0, +1014.0,   +60.0,  +392.0
1725932940, +3.54, +29.706,    -0.1, +1123.0,   +88.0,  +216.0
1725933540, +3.54, +29.714,    +0.1, +1112.0,  +108.0,  +236.0
1725934140, +3.54, +29.730,    -0.2, +1113.0,  +104.0,  +240.0
1725934740, +3.54, +29.738,    +0.0, +1136.0,   +80.0,  +222.0
1725935340, +3.54, +29.738,    +0.0, +1095.0,   +88.0,  +276.0
1725935940, +3.54, +29.755,    +0.1, +1126.0,   +99.0,  +216.0
1725936540, +3.54, +29.747,    -0.0, +1107.0,  +147.0,  +256.0
1725937140, +3.54, +29.763,    -0.2, +1059.0,   +88.0,  +360.0
1725937740, +3.54, +29.763,    +0.0, +1126.0,   +99.0,  +220.0
1725938340, +3.54, +29.779,    -0.1, +1041.0,   +71.0,  +387.0
1725938940, +3.54, +29.779,    +0.0, +1081.0,  +116.0,  +328.0
1725939540, +3.54, +29.795,    -0.1, +1096.0,  +112.0,  +284.0
1725940140, +3.54, +29.795,    +0.0, +1120.0,  +120.0,  +240.0
1725940740, +3.54, +29.803,    -0.0, +1105.0,  +136.0,  +262.0
1725941340, +3.54, +29.811,    +0.0, +1088.0,  +116.0,  +295.0
1725941940, +3.54, +29.811,    +0.0, +1128.0,   +86.0,  +208.0
